method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
proposed,0,1,255.284603,255.284603,0.618854,0.00027,14.0,5.0
proposed,0,2,446.138602,350.711603,0.640192,0.000325,17.0,7.0
proposed,0,3,250.345647,317.256284,0.679364,0.000197,17.0,8.0
proposed,0,4,89.718661,260.371878,0.684159,0.000389,17.0,8.0
proposed,0,5,221.925527,252.682608,0.743488,0.000365,16.0,9.0
proposed,0,6,476.284307,289.949558,0.755387,0.000189,17.0,7.0
proposed,0,7,386.343367,303.720102,0.717214,0.0003,18.0,6.0
proposed,0,8,292.122051,302.270346,0.697319,0.000303,18.0,7.0
proposed,0,9,429.968344,316.459012,0.746503,0.000205,17.0,9.0
proposed,0,10,364.728666,321.285978,0.728768,0.000156,16.0,7.0
proposed,0,11,204.385937,310.658701,0.714156,0.00025,16.0,7.0
proposed,0,12,106.385796,293.635959,0.693438,0.000151,15.0,6.0
proposed,0,13,268.601165,291.710206,0.738409,0.000304,18.0,8.0
proposed,0,14,237.749041,287.855837,0.727136,0.000182,16.0,7.0
proposed,0,15,97.408573,275.159352,0.710867,0.000162,16.0,7.0
proposed,0,16,345.166938,279.534827,0.663119,0.000149,14.0,6.0
proposed,0,17,592.243312,297.929443,0.696222,0.000226,14.0,8.0
proposed,0,18,248.105135,295.161426,0.699435,0.000144,15.0,8.0
proposed,0,19,224.484714,291.441599,0.70981,0.000271,16.0,7.0
proposed,0,20,386.89137,296.214088,0.677985,0.000158,12.0,7.0
proposed,0,21,747.38847,317.698582,0.743643,0.000235,18.0,8.0
proposed,0,22,110.717091,308.290333,0.719161,0.000144,15.0,7.0
proposed,0,23,500.225235,316.635328,0.689814,0.000202,16.0,6.0
proposed,0,24,595.596788,328.258723,0.674675,0.000198,17.0,7.0
proposed,0,25,319.497258,327.908264,0.699283,0.000227,15.0,8.0
proposed,0,26,406.058541,330.914044,0.736137,0.000171,15.0,8.0
proposed,0,27,321.603921,330.569224,0.690085,0.000173,14.0,6.0
proposed,0,28,440.888582,334.509201,0.665354,0.000241,16.0,7.0
proposed,0,29,447.742483,338.413797,0.711506,0.000237,18.0,9.0
proposed,0,30,476.249599,343.008324,0.739687,0.000245,17.0,7.0
proposed,0,31,272.916155,340.747286,0.674804,0.000185,14.0,7.0
proposed,0,32,529.557532,346.647607,0.68468,0.000208,17.0,6.0
proposed,0,33,587.858265,353.95702,0.724675,0.000205,16.0,9.0
proposed,0,34,332.931631,353.338627,0.699692,0.000162,13.0,8.0
proposed,0,35,541.417417,358.712306,0.712276,0.000239,16.0,6.0
proposed,0,36,280.208058,356.531633,0.68631,0.00026,19.0,7.0
proposed,0,37,133.393483,350.500872,0.722356,0.00012,15.0,9.0
proposed,0,38,259.932038,348.117482,0.71584,0.000182,15.0,7.0
