method,num_uavs,seed,avg_delay,avg_fidelity,avg_solver_time,total_solver_time,avg_throughput,avg_sync_triggers
proposed,10,7,101.667027,0.685644,7.1e-05,0.002824,8.05,7.075
baseline,10,7,54.551272,0.684001,0.0,0.0,7.05,7.05
proposed,10,13,175.142856,0.726725,5.4e-05,0.002157,7.75,6.05
baseline,10,13,57.123403,0.72052,0.0,0.0,5.225,6.05
proposed,10,21,113.489108,0.714112,5.6e-05,0.002224,7.75,6.15
baseline,10,21,63.561629,0.714382,0.0,0.0,5.875,6.175
proposed,20,7,349.630801,0.703672,0.000225,0.009017,15.9,7.225
baseline,20,7,52.606565,0.699707,0.0,0.0,9.275,7.075
proposed,20,13,572.611408,0.725153,0.000311,0.012427,15.85,6.325
baseline,20,13,63.651943,0.720632,0.0,0.0,6.35,6.3
proposed,20,21,284.480057,0.698659,0.00073,0.029182,15.775,7.05
baseline,20,21,58.525354,0.692578,0.0,0.0,8.75,7.1
proposed,30,7,446.51831,0.705038,0.001485,0.059391,23.975,7.125
baseline,30,7,48.018023,0.702833,0.0,0.0,11.475,7.125
proposed,30,13,729.253376,0.715753,0.00269,0.107598,24.125,6.175
baseline,30,13,55.813453,0.71514,0.0,0.0,7.425,6.275
proposed,30,21,619.267156,0.706965,0.002406,0.09625,23.625,6.975
baseline,30,21,54.052506,0.700646,0.0,0.0,9.3,7.125
proposed,40,7,541.815611,0.69499,0.005812,0.232481,32.175,7.1
baseline,40,7,48.59499,0.694089,0.0,0.0,12.65,7.125
proposed,40,13,869.14369,0.708334,0.005378,0.215111,32.05,6.25
baseline,40,13,53.373994,0.707325,0.0,0.0,7.55,6.55
proposed,40,21,794.606641,0.704378,0.004668,0.186732,31.375,7.05
baseline,40,21,54.374711,0.69767,0.0,0.0,9.35,7.175
proposed,50,7,657.076235,0.699879,0.007104,0.284177,40.425,7.0
baseline,50,7,50.842549,0.697757,0.0,0.0,13.075,7.975
proposed,50,13,954.008734,0.708566,0.007432,0.297264,39.8,6.2
baseline,50,13,53.06968,0.708027,0.0,0.0,7.425,6.875
proposed,50,21,913.781618,0.713919,0.006237,0.249475,39.675,7.075
baseline,50,21,55.481929,0.708105,0.0,0.0,9.475,7.05
