method,num_uavs,seed,avg_delay,avg_fidelity,avg_solver_time,total_solver_time,avg_throughput,avg_sync_triggers
proposed,10,7,111.97116,0.68517,3.7e-05,0.001464,8.05,7.775
baseline,10,7,195.389445,0.680244,0.0,0.0,8.05,9.25
proposed,10,13,122.254671,0.713508,2.8e-05,0.001119,7.75,6.725
baseline,10,13,181.993782,0.711239,0.0,0.0,7.75,8.25
proposed,10,21,106.832529,0.706869,3e-05,0.0012,7.75,6.95
baseline,10,21,205.640123,0.701672,0.0,0.0,7.75,8.05
proposed,20,7,159.119955,0.691506,0.000118,0.004711,15.9,8.025
baseline,20,7,221.872772,0.680721,0.0,0.0,14.575,9.825
proposed,20,13,181.995155,0.703065,0.000163,0.006525,15.85,7.225
baseline,20,13,205.680866,0.700135,0.0,0.0,14.725,9.3
proposed,20,21,193.925628,0.680503,0.0004,0.016019,15.775,7.95
baseline,20,21,206.442211,0.678982,0.0,0.0,14.85,8.975
proposed,30,7,255.741816,0.694463,0.001738,0.069503,23.975,8.05
baseline,30,7,224.555368,0.685369,0.0,0.0,17.25,9.7
proposed,30,13,246.558104,0.698187,0.004433,0.177322,24.125,7.625
baseline,30,13,218.548379,0.693662,0.0,0.0,17.2,8.75
proposed,30,21,233.973893,0.695922,0.003057,0.12226,23.625,8.15
baseline,30,21,214.040366,0.687151,0.0,0.0,17.025,9.3
proposed,40,7,288.883611,0.688954,0.007506,0.300257,32.175,8.225
baseline,40,7,203.418143,0.680672,0.0,0.0,17.9,9.275
proposed,40,13,293.656754,0.690893,0.008518,0.340709,32.05,7.75
baseline,40,13,194.515747,0.687828,0.0,0.0,17.875,8.85
proposed,40,21,305.786683,0.689405,0.006282,0.25127,31.375,8.275
baseline,40,21,217.465729,0.681163,0.0,0.0,17.65,9.2
proposed,50,7,388.094105,0.689917,0.012677,0.507082,40.425,8.25
baseline,50,7,188.89334,0.685485,0.0,0.0,18.3,9.5
proposed,50,13,349.373426,0.695601,0.008226,0.329026,39.8,7.75
baseline,50,13,169.129699,0.695324,0.0,0.0,18.45,9.2
proposed,50,21,346.681571,0.704806,0.007409,0.29636,39.675,8.125
baseline,50,21,177.061919,0.701043,0.0,0.0,18.6,8.75
