slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_8,BS_3,LEO_0,109.680103,109.548864,0.0,0.012207,0.095163
1,T1_UAV_1,BS_3,LEO_1,123.778743,123.64099,0.0,0.01872,0.095163
1,T1_UAV_5,BS_3,HAP_1,92.609149,92.475262,0.0,0.014854,0.095163
1,T1_UAV_9,BS_2,HAP_2,95.815533,95.662436,0.0,0.034064,0.095163
1,T1_UAV_2,BS_2,LEO_0,58.752724,58.616348,0.0,0.017344,0.095163
1,T1_UAV_7,BS_3,LEO_1,87.598305,87.467713,0.0,0.011559,0.095163
1,T1_UAV_6,HAP_0,LEO_0,138.398731,138.266958,0.0,0.01274,0.095163
1,T1_UAV_3,BS_0,LEO_1,146.959988,146.82013,0.0,0.020825,0.095163
2,T2_UAV_9,BS_2,LEO_0,106.108944,105.957738,0.0,0.01384,0.186834
2,T2_UAV_8,BS_3,LEO_1,56.704105,56.551127,0.0,0.00563,0.236739
2,T2_UAV_0,BS_0,LEO_0,163.717487,163.5661,0.0,0.01402,0.186834
2,T2_UAV_5,BS_3,BS_4,172.287609,172.23546,0.0,0.015895,0.181269
2,T2_UAV_2,BS_2,HAP_2,48.265239,48.208849,0.0,0.009534,0.23428
2,T2_UAV_1,BS_3,HAP_1,55.004743,54.855012,0.0,0.006461,0.21635
2,T2_UAV_3,BS_0,HAP_0,63.457088,63.118137,0.0,0.128902,0.550245
2,T2_UAV_6,HAP_0,BS_1,108.517107,108.464452,0.0,0.016401,0.181269
2,T2_UAV_4,HAP_0,LEO_0,172.351178,172.210126,0.0,0.003685,0.186834
3,T3_UAV_1,BS_3,LEO_1,96.822842,96.763194,0.0,0.014304,0.22672
3,T3_UAV_5,BS_3,LEO_0,71.964776,71.80154,0.0,0.011336,0.259505
3,T3_UAV_3,BS_0,HAP_1,62.468167,62.305793,0.0,0.021995,0.201896
3,T3_UAV_7,BS_3,HAP_2,39.44004,39.275555,0.0,0.022098,0.211935
3,T3_UAV_0,BS_0,HAP_0,44.885639,44.666481,0.0,0.022883,0.481377
3,T3_UAV_8,BS_3,LEO_1,96.371619,96.299613,0.0,0.026662,0.22672
3,T3_UAV_6,HAP_0,LEO_0,91.500874,91.339566,0.0,0.009407,0.259505
3,T3_UAV_4,HAP_0,LEO_1,153.285692,153.229002,0.0,0.011346,0.22672
3,T3_UAV_2,BS_2,HAP_1,197.620753,197.462935,0.0,0.01744,0.201896
4,T4_UAV_8,BS_3,LEO_0,97.644152,97.59716,0.0,0.004102,0.214445
4,T4_UAV_7,BS_3,LEO_1,64.531324,64.371361,0.0,0.01946,0.202516
4,T4_UAV_1,BS_3,HAP_2,30.556989,30.478113,0.0,0.030626,0.24125
4,T4_UAV_5,BS_3,HAP_1,39.166334,38.983331,0.0,0.030838,0.260826
4,T4_UAV_3,BS_0,HAP_0,62.052966,61.856691,0.0,0.022026,0.371242
4,T4_UAV_6,HAP_0,LEO_0,112.316205,112.267212,0.0,0.006104,0.214445
5,T5_UAV_3,BS_0,LEO_1,62.380531,62.331186,0.0,0.007093,0.211258
5,T5_UAV_5,BS_3,LEO_0,27.081551,27.011281,0.0,0.011432,0.294194
5,T5_UAV_0,BS_0,HAP_1,76.141017,76.080033,0.0,0.01134,0.248217
5,T5_UAV_7,BS_3,BS_4,76.909475,76.778256,0.0,0.010163,0.105282
5,T5_UAV_9,BS_2,BS_1,161.236167,161.089835,0.0,0.009224,0.185539
6,T6_UAV_8,BS_3,LEO_1,41.619313,41.547606,0.0,0.008915,0.313961
6,T6_UAV_7,BS_3,LEO_0,48.431581,48.355248,0.0,0.007763,0.342856
6,T6_UAV_5,BS_3,HAP_1,119.391856,119.238257,0.0,0.006088,0.237551
6,T6_UAV_0,BS_0,HAP_2,74.750396,74.67224,0.0,0.00899,0.345826
6,T6_UAV_2,BS_2,HAP_1,160.668905,160.491105,0.0,0.03029,0.237551
6,T6_UAV_9,BS_2,HAP_0,46.533138,46.28106,0.0,0.075549,0.382645
6,T6_UAV_3,BS_0,BS_4,79.7275,79.579111,0.0,0.009316,0.195365
6,T6_UAV_1,BS_3,BS_1,83.530794,83.381001,0.0,0.008661,0.205665
6,T6_UAV_6,HAP_0,BS_3,160.385378,160.218592,0.0,0.013319,0.267336
7,T7_UAV_8,BS_3,LEO_0,166.488637,166.357367,0.0,0.003628,0.138205
7,T7_UAV_5,BS_3,HAP_2,232.734079,232.609978,0.0,0.004848,0.096265
7,T7_UAV_2,BS_2,HAP_2,266.892953,266.761936,0.0,0.011764,0.096265
7,T7_UAV_1,BS_3,HAP_1,71.468888,71.40252,0.0,0.017513,0.244273
7,T7_UAV_4,HAP_0,LEO_0,98.414084,98.283227,0.0,0.003216,0.138205
7,T7_UAV_3,BS_0,HAP_2,78.162356,78.035494,0.0,0.007609,0.096265
7,T7_UAV_0,BS_0,LEO_0,113.297391,113.166652,0.0,0.003098,0.138205
7,T7_UAV_9,BS_2,HAP_1,166.509463,166.446097,0.0,0.014511,0.244273
7,T7_UAV_6,HAP_0,LEO_0,224.530822,224.39367,0.0,0.009511,0.138205
8,T8_UAV_0,BS_0,LEO_1,38.827751,38.676385,0.0,0.00585,0.227576
8,T8_UAV_1,BS_3,LEO_0,44.707108,44.548201,0.0,0.014029,0.224391
8,T8_UAV_3,BS_0,HAP_1,39.151505,38.997,0.0,0.014114,0.201956
8,T8_UAV_8,BS_3,LEO_1,66.259928,66.100152,0.0,0.01426,0.227576
8,T8_UAV_2,BS_2,HAP_2,72.271975,72.082535,0.0,0.017928,0.357558
8,T8_UAV_6,HAP_0,LEO_0,81.499157,81.3491,0.0,0.005179,0.224391
8,T8_UAV_4,HAP_0,HAP_0,89.00573,88.768161,0.0,0.055452,0.410591
9,T9_UAV_1,BS_3,HAP_1,150.039923,149.893056,0.0,0.007837,0.195151
9,T9_UAV_0,BS_0,BS_1,165.23301,165.088104,0.0,0.005323,0.197919
9,T9_UAV_4,HAP_0,LEO_0,33.944875,33.887913,0.0,0.012316,0.223232
9,T9_UAV_7,BS_3,LEO_1,18.890008,18.828765,0.0,0.011949,0.24647
9,T9_UAV_2,BS_2,HAP_2,35.33094,35.268442,0.0,0.011774,0.253617
9,T9_UAV_8,BS_3,HAP_1,84.940599,84.792817,0.0,0.008752,0.195151
9,T9_UAV_6,HAP_0,LEO_0,98.530225,98.479547,0.0,0.006032,0.223232
9,T9_UAV_3,BS_0,BS_0,137.682757,137.505071,0.0,0.051546,0.130699
10,T10_UAV_5,BS_3,LEO_1,104.581878,104.521952,0.0,0.007617,0.261541
10,T10_UAV_3,BS_0,BS_4,533.693006,533.549688,0.0,0.004517,0.194006
10,T10_UAV_8,BS_3,BS_4,702.618546,702.465159,0.0,0.014586,0.194006
10,T10_UAV_2,BS_2,BS_4,760.70415,760.551292,0.0,0.014056,0.194006
10,T10_UAV_6,HAP_0,LEO_0,31.833068,31.760719,0.0,0.008183,0.320826
10,T10_UAV_1,BS_3,HAP_1,42.149939,42.083319,0.0,0.019249,0.236854
10,T10_UAV_0,BS_0,LEO_1,99.006626,98.951547,0.0,0.002771,0.261541
10,T10_UAV_4,HAP_0,HAP_2,99.182168,99.096409,0.0,0.02071,0.325244
10,T10_UAV_9,BS_2,LEO_1,130.218273,130.152669,0.0,0.013296,0.261541
10,T10_UAV_7,BS_3,BS_4,269.914799,269.768863,0.0,0.007135,0.194006
11,T11_UAV_3,BS_0,LEO_0,126.736071,126.578857,0.0,0.017847,0.196834
11,T11_UAV_1,BS_3,LEO_1,120.038678,119.88773,0.0,0.007813,0.215678
11,T11_UAV_0,BS_0,HAP_2,32.189621,32.105724,0.0,0.007957,0.379695
11,T11_UAV_9,BS_2,LEO_0,58.726004,58.576886,0.0,0.009751,0.196834
11,T11_UAV_8,BS_3,LEO_1,82.65816,82.502205,0.0,0.01282,0.215678
11,T11_UAV_6,HAP_0,LEO_0,154.013872,153.866744,0.0,0.007761,0.196834
12,T12_UAV_7,BS_3,LEO_1,124.924243,124.870487,0.0,0.015338,0.192086
12,T12_UAV_6,HAP_0,LEO_0,37.343516,37.293485,0.0,0.010953,0.195386
12,T12_UAV_2,BS_2,HAP_2,37.798157,37.645507,0.0,0.011185,0.207328
12,T12_UAV_0,BS_0,HAP_1,38.112653,37.958334,0.0,0.016622,0.188483
12,T12_UAV_4,HAP_0,LEO_1,78.177564,78.122247,0.0,0.016899,0.192086
12,T12_UAV_8,BS_3,LEO_0,117.679255,117.626835,0.0,0.013343,0.195386
13,T13_UAV_2,BS_2,LEO_0,54.548556,54.49147,0.0,0.002871,0.271075
13,T13_UAV_7,BS_3,HAP_2,164.974241,164.81927,0.0,0.016263,0.193545
13,T13_UAV_1,BS_3,LEO_1,28.360318,28.294073,0.0,0.00693,0.296574
13,T13_UAV_5,BS_3,HAP_1,49.765537,49.719298,0.0,0.003015,0.216122
13,T13_UAV_6,HAP_0,HAP_2,166.162774,166.012781,0.0,0.011285,0.193545
13,T13_UAV_9,BS_2,BS_1,159.744169,159.606335,0.0,0.00807,0.148822
13,T13_UAV_0,BS_0,HAP_2,279.700253,279.539432,0.0,0.022112,0.193545
14,T14_UAV_9,BS_2,HAP_2,107.270204,107.114896,0.0,0.016433,0.194376
14,T14_UAV_0,BS_0,LEO_1,58.050379,57.977428,0.0,0.006263,0.333444
14,T14_UAV_8,BS_3,LEO_0,36.182346,36.102371,0.0,0.003533,0.382208
14,T14_UAV_2,BS_2,HAP_1,101.845872,101.782859,0.0,0.005619,0.286969
14,T14_UAV_3,BS_0,HAP_2,132.928014,132.771346,0.0,0.017793,0.194376
14,T14_UAV_6,HAP_0,HAP_1,161.680239,161.619462,0.0,0.003383,0.286969
15,T15_UAV_7,BS_3,LEO_1,118.14197,118.001803,0.0,0.006423,0.16872
15,T15_UAV_8,BS_3,LEO_0,131.737688,131.592781,0.0,0.008458,0.182242
15,T15_UAV_5,BS_3,HAP_2,90.602793,90.432153,0.0,0.023151,0.237446
15,T15_UAV_3,BS_0,HAP_1,34.857449,34.77683,0.0,0.00565,0.374846
15,T15_UAV_1,BS_3,LEO_1,52.400749,52.260233,0.0,0.006772,0.16872
15,T15_UAV_6,HAP_0,LEO_0,97.333132,97.192432,0.0,0.004252,0.182242
15,T15_UAV_0,BS_0,LEO_1,100.683096,100.535645,0.0,0.013708,0.16872
15,T15_UAV_2,BS_2,LEO_0,136.484529,136.336205,0.0,0.011876,0.182242
16,T16_UAV_8,BS_3,LEO_1,152.329171,152.183148,0.0,0.009488,0.182674
16,T16_UAV_7,BS_3,LEO_0,112.910526,112.759773,0.0,0.013845,0.184539
16,T16_UAV_3,BS_0,HAP_2,89.667944,89.509765,0.0,0.018286,0.199462
16,T16_UAV_1,BS_3,HAP_1,89.6645,89.528212,0.0,0.013298,0.114946
16,T16_UAV_9,BS_2,HAP_0,35.21327,35.006181,0.0,0.018005,0.445422
16,T16_UAV_0,BS_0,LEO_1,89.430536,89.283172,0.0,0.010829,0.182674
16,T16_UAV_6,HAP_0,LEO_0,63.413416,63.265372,0.0,0.011136,0.184539
16,T16_UAV_5,BS_3,LEO_1,107.818602,107.679339,0.0,0.002728,0.182674
17,T17_UAV_1,BS_3,LEO_1,149.057226,148.910396,0.0,0.009904,0.184627
17,T17_UAV_9,BS_2,LEO_0,93.146471,93.094467,0.0,0.009815,0.210943
17,T17_UAV_3,BS_0,HAP_2,170.660675,170.505125,0.0,0.015929,0.198104
17,T17_UAV_8,BS_1,HAP_1,27.772567,27.728444,0.0,0.001931,0.210954
17,T17_UAV_2,BS_2,LEO_1,74.990978,74.851231,0.0,0.002822,0.184627
17,T17_UAV_7,BS_3,LEO_1,103.735266,103.581037,0.0,0.017303,0.184627
17,T17_UAV_4,HAP_0,LEO_0,109.545135,109.487072,0.0,0.015874,0.210943
17,T17_UAV_6,HAP_0,HAP_2,154.202812,154.058588,0.0,0.004603,0.198104
17,T17_UAV_0,BS_0,LEO_1,213.498237,213.348249,0.0,0.013063,0.184627
18,T18_UAV_7,BS_3,LEO_0,113.989594,113.931612,0.0,0.005929,0.260265
18,T18_UAV_2,BS_2,LEO_1,120.981045,120.811993,0.0,0.018665,0.251939
18,T18_UAV_5,BS_3,HAP_2,126.225535,126.181466,0.0,0.005054,0.195075
18,T18_UAV_9,BS_2,HAP_1,55.886253,55.813786,0.0,0.011291,0.305885
18,T18_UAV_8,BS_1,LEO_0,70.580525,70.517139,0.0,0.011333,0.260265
18,T18_UAV_4,HAP_0,HAP_0,73.3084,73.063449,0.0,0.057004,0.439734
18,T18_UAV_1,BS_3,HAP_2,112.352006,112.29795,0.0,0.01504,0.195075
18,T18_UAV_3,BS_0,LEO_1,125.620422,125.463765,0.0,0.006269,0.251939
18,T18_UAV_6,HAP_0,BS_4,144.324381,144.186614,0.0,0.005954,0.159063
19,T19_UAV_2,BS_2,LEO_1,112.7805,112.7215,0.0,0.010723,0.241385
19,T19_UAV_0,BS_0,BS_2,450.635383,450.461982,0.0,0.036846,0.182775
19,T19_UAV_5,BS_3,LEO_0,20.058243,19.97768,0.0,0.00762,0.364716
19,T19_UAV_9,BS_2,HAP_2,56.757315,56.602115,0.0,0.015079,0.200605
19,T19_UAV_4,HAP_0,HAP_1,70.170135,70.092966,0.0,0.008712,0.342288
19,T19_UAV_6,HAP_0,LEO_1,125.052343,124.994976,0.0,0.00909,0.241385
19,T19_UAV_8,BS_1,BS_2,240.176083,240.025613,0.0,0.013915,0.182775
19,T19_UAV_3,BS_0,BS_2,274.906351,274.724489,0.0,0.045308,0.182775
20,T20_UAV_3,BS_0,LEO_1,188.155897,187.997518,0.0,0.020634,0.188727
20,T20_UAV_1,BS_3,LEO_0,130.151675,130.015531,0.0,0.0041,0.160216
20,T20_UAV_6,HAP_0,HAP_1,31.552096,31.410642,0.0,0.009367,0.160436
20,T20_UAV_0,BS_0,HAP_2,36.703169,36.65021,0.0,0.004159,0.243995
20,T20_UAV_2,BS_2,HAP_0,42.150271,41.913791,0.0,0.075327,0.305762
20,T20_UAV_5,BS_3,LEO_1,101.625388,101.477732,0.0,0.00991,0.188727
20,T20_UAV_8,BS_1,LEO_0,97.055403,96.918297,0.0,0.005063,0.160216
20,T20_UAV_4,HAP_0,LEO_1,178.634273,178.478996,0.0,0.017531,0.188727
21,T21_UAV_7,BS_3,LEO_1,143.223503,143.069804,0.0,0.016716,0.184917
21,T21_UAV_1,BS_3,LEO_0,112.256595,112.19845,0.0,0.007883,0.251311
21,T21_UAV_3,BS_0,HAP_2,87.598417,87.449983,0.0,0.003705,0.223645
21,T21_UAV_8,BS_1,HAP_1,59.585594,59.540651,0.0,0.003807,0.205679
21,T21_UAV_5,BS_3,HAP_0,38.690227,38.515064,0.0,0.015751,0.29706
21,T21_UAV_9,BS_2,LEO_1,73.342935,73.18949,0.0,0.016461,0.184917
21,T21_UAV_0,BS_0,LEO_0,52.026695,51.965273,0.0,0.01116,0.251311
21,T21_UAV_6,HAP_0,LEO_1,92.94708,92.799974,0.0,0.010123,0.184917
21,T21_UAV_4,HAP_0,HAP_1,154.846357,154.796797,0.0,0.008425,0.205679
22,T22_UAV_8,BS_1,LEO_1,35.466929,35.42704,0.0,0.003274,0.183077
22,T22_UAV_0,BS_0,LEO_0,32.553468,32.399159,0.0,0.011104,0.216028
22,T22_UAV_2,BS_2,HAP_2,45.367801,45.315294,0.0,0.012812,0.198474
22,T22_UAV_4,HAP_0,HAP_0,97.042293,96.866212,0.0,0.013584,0.312486
22,T22_UAV_1,BS_3,HAP_1,97.639982,97.490985,0.0,0.003358,0.228192
22,T22_UAV_6,HAP_0,LEO_1,112.126124,112.072731,0.0,0.016778,0.183077
23,T23_UAV_9,BS_2,LEO_0,133.03978,132.988394,0.0,0.011043,0.201717
23,T23_UAV_1,BS_3,LEO_1,89.755476,89.593103,0.0,0.016303,0.230349
23,T23_UAV_7,BS_3,HAP_2,70.929089,70.864757,0.0,0.004036,0.301479
23,T23_UAV_5,BS_3,HAP_1,27.088749,27.029172,0.0,0.015315,0.221307
23,T23_UAV_2,BS_2,LEO_0,101.283876,101.229542,0.0,0.013991,0.201717
23,T23_UAV_6,HAP_0,LEO_1,73.157208,72.990288,0.0,0.02085,0.230349
23,T23_UAV_4,HAP_0,HAP_0,75.466524,75.259151,0.0,0.042684,0.323446
23,T23_UAV_8,BS_1,BS_3,187.870835,187.72617,0.0,0.015388,0.146385
23,T23_UAV_0,BS_0,LEO_0,198.618495,198.565961,0.0,0.012191,0.201717
24,T24_UAV_1,BS_3,LEO_1,149.077028,148.915396,0.0,0.02134,0.201463
24,T24_UAV_9,BS_2,LEO_0,104.47784,104.412827,0.0,0.008198,0.284076
24,T24_UAV_0,BS_0,HAP_2,159.752882,159.664599,0.0,0.014149,0.370667
24,T24_UAV_3,BS_0,HAP_1,26.987439,26.916836,0.0,0.006837,0.318834
24,T24_UAV_2,BS_2,HAP_0,37.792673,37.567026,0.0,0.055603,0.350224
24,T24_UAV_5,BS_3,LEO_1,100.387012,100.237238,0.0,0.009482,0.201463
24,T24_UAV_6,HAP_0,LEO_0,71.055453,70.983947,0.0,0.014691,0.284076
24,T24_UAV_4,HAP_0,HAP_2,159.178051,159.093159,0.0,0.010759,0.370667
24,T24_UAV_8,BS_1,LEO_1,179.095979,178.940479,0.0,0.015208,0.201463
25,T25_UAV_1,BS_3,LEO_1,52.029155,51.966029,0.0,0.015862,0.236321
25,T25_UAV_3,BS_0,LEO_0,63.321833,63.246053,0.0,0.007802,0.339884
25,T25_UAV_7,BS_3,HAP_2,31.456205,31.301815,0.0,0.012185,0.211026
25,T25_UAV_4,HAP_0,HAP_0,43.636106,43.425217,0.0,0.034963,0.379628
25,T25_UAV_0,BS_0,BS_4,186.492131,186.352399,0.0,0.006509,0.166116
25,T25_UAV_8,BS_1,HAP_1,98.932105,98.776911,0.0,0.012959,0.211175
25,T25_UAV_9,BS_2,BS_4,235.545447,235.409648,0.0,0.002576,0.166116
26,T26_UAV_0,BS_0,LEO_0,102.662956,102.515425,0.0,0.008828,0.193515
26,T26_UAV_1,BS_3,LEO_1,161.824988,161.760595,0.0,0.010828,0.267825
26,T26_UAV_9,BS_2,HAP_2,165.671474,165.62973,0.0,0.004256,0.187442
