slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.421231,0.829419,0.764575,0.460352,1,1,1,1,0.0
1,BS_1,BS,0.904837,0.853996,0.0,0.0,1,0,0,0,0.0
1,BS_2,BS,0.399709,0.715722,0.817019,0.525672,1,1,1,1,0.0
1,BS_3,BS,0.332871,0.693375,1.0,1.985822,1,1,1,4,0.0
1,BS_4,BS,0.904837,0.811665,0.0,0.0,1,0,0,0,0.0
1,HAP_0,HAP,0.904837,0.955849,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.376219,0.872947,0.877583,0.606494,1,1,1,2,0.0
1,HAP_2,HAP,0.904837,0.840682,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.843984,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.89178,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.507631,0.820385,0.578,0.56232,1,1,1,1,0.0
2,BS_1,BS,0.481672,0.833836,0.630492,0.313047,1,1,1,1,0.0
2,BS_2,BS,0.547426,0.747693,0.502528,0.540558,1,1,1,1,0.0
2,BS_3,BS,0.550719,0.718175,0.49653,1.484936,1,1,1,3,0.0
2,BS_4,BS,0.541846,0.817718,0.512773,0.207062,1,1,1,1,0.0
2,HAP_0,HAP,0.716125,0.942781,0.2339,0.043084,1,1,1,0,0.53977
2,HAP_1,HAP,0.600235,0.867835,0.410434,0.52688,1,1,1,1,0.0
2,HAP_2,HAP,0.814196,0.876602,0.105554,0.008774,1,1,1,0,0.243587
2,LEO_0,LEO,0.801281,0.877115,0.121543,0.011634,1,1,1,0,0.280484
2,LEO_1,LEO,0.759454,0.904541,0.175155,0.02416,1,1,1,0,0.404205
3,BS_0,BS,0.619589,0.83252,0.378698,0.478445,1,1,1,1,0.0
3,BS_1,BS,0.779831,0.867778,0.148678,0.220888,1,1,1,0,0.0
3,BS_2,BS,0.612098,0.778882,0.390863,0.471672,1,1,1,1,0.0
3,BS_3,BS,0.678616,0.754329,0.287699,1.030391,1,1,1,4,0.0
3,BS_4,BS,0.547933,0.821367,0.501601,0.332729,1,1,1,1,0.0
3,HAP_0,HAP,0.776726,0.9506,0.052668,0.030189,2,0,0,0,0.283472
3,HAP_1,HAP,0.586433,0.858319,0.433696,0.490595,1,1,1,2,0.370093
3,HAP_2,HAP,0.811245,0.899795,0.109185,0.015091,1,1,1,0,0.325042
3,LEO_0,LEO,0.744622,0.890279,0.194878,0.037469,1,1,1,0,0.533865
3,LEO_1,LEO,0.7935,0.915846,0.131302,0.029281,1,1,1,0,0.424265
4,BS_0,BS,0.611054,0.837078,0.39257,0.432352,1,1,1,1,0.0
4,BS_1,BS,0.64367,0.873623,0.340569,0.234917,1,1,1,1,0.0
4,BS_2,BS,0.665764,0.810694,0.306821,0.380721,1,1,1,1,0.0
4,BS_3,BS,0.672505,0.778823,0.296746,0.7391,1,1,1,3,0.0
4,BS_4,BS,0.563252,0.824131,0.474029,0.393227,1,1,1,1,0.0
4,HAP_0,HAP,0.764586,0.943052,0.16842,0.041961,1,1,1,0,0.574176
4,HAP_1,HAP,0.602906,0.85632,0.405993,0.448691,1,1,1,1,0.33308
4,HAP_2,HAP,0.750903,0.905737,0.186479,0.037194,1,1,1,0,0.608841
4,LEO_0,LEO,0.775143,0.912413,0.054708,0.026712,2,0,0,0,0.37967
4,LEO_1,LEO,0.791023,0.934286,0.034428,0.019966,2,0,0,0,0.182228
5,BS_0,BS,0.699357,0.853181,0.257594,0.333283,1,1,1,1,0.0
5,BS_1,BS,0.505809,0.850443,0.581596,0.419071,1,1,1,1,0.0
5,BS_2,BS,0.646942,0.829921,0.335499,0.336109,1,1,1,1,0.0
5,BS_3,BS,0.638643,0.793849,0.348409,0.576008,1,1,1,3,0.0
5,BS_4,BS,0.632406,0.836355,0.358224,0.356653,1,1,1,1,0.0
5,HAP_0,HAP,0.764662,0.949641,0.068321,0.03095,2,0,0,0,0.186988
5,HAP_1,HAP,0.548819,0.843037,0.499987,0.488514,1,1,1,2,0.312861
5,HAP_2,HAP,0.816088,0.927784,0.003233,0.024184,2,0,0,0,0.345933
5,LEO_0,LEO,0.782592,0.917733,0.145144,0.033953,1,1,1,0,0.599271
5,LEO_1,LEO,0.690744,0.944794,0.069986,0.016835,3,0,0,0,0.165097
6,BS_0,BS,0.704984,0.864543,0.24958,0.265688,1,1,1,1,0.0
6,BS_1,BS,0.638826,0.856144,0.348124,0.367833,1,1,1,1,0.0
6,BS_2,BS,0.61952,0.842177,0.378811,0.331475,1,1,1,1,0.0
6,BS_3,BS,0.689248,0.809586,0.272154,0.432734,1,1,1,4,0.0
6,BS_4,BS,0.657256,0.84972,0.319682,0.312305,1,1,1,1,0.0
6,HAP_0,HAP,0.723165,0.957237,0.024119,0.020576,3,0,0,0,0.391787
6,HAP_1,HAP,0.588399,0.840414,0.430349,0.46338,1,1,1,2,0.0
6,HAP_2,HAP,0.573245,0.892231,0.456443,0.179788,1,1,1,0,1.441906
6,LEO_0,LEO,0.770177,0.931536,0.061135,0.025013,2,0,0,0,0.267915
6,LEO_1,LEO,0.818199,0.95008,0.10065,0.018921,1,1,1,0,0.123053
7,BS_0,BS,0.666437,0.871004,0.305809,0.246343,1,1,1,1,0.0
7,BS_1,BS,0.657519,0.867824,0.319282,0.31937,1,1,1,0,0.0
7,BS_2,BS,0.592573,0.846897,0.423282,0.356554,1,1,1,1,0.0
7,BS_3,BS,0.590263,0.811998,0.427188,0.424987,1,1,1,2,0.0
7,BS_4,BS,0.634836,0.8542,0.354388,0.301901,1,1,1,1,0.0
7,HAP_0,HAP,0.618263,0.955087,0.080841,0.018521,4,0,0,0,0.598299
7,HAP_1,HAP,0.666845,0.850079,0.305197,0.374549,1,1,1,2,0.267558
7,HAP_2,HAP,0.697756,0.894476,0.259886,0.17005,1,1,1,0,0.10745
7,LEO_0,LEO,0.708416,0.940293,0.044724,0.017833,3,0,0,0,0.602614
7,LEO_1,LEO,0.746582,0.940418,0.19225,0.041404,1,1,1,0,0.672768
8,BS_0,BS,0.654415,0.872492,0.324014,0.242799,1,1,1,1,0.0
8,BS_1,BS,0.70652,0.88425,0.247404,0.255792,1,1,1,0,0.0
8,BS_2,BS,0.567775,0.843939,0.46603,0.402792,1,1,1,1,0.0
8,BS_3,BS,0.742838,0.830325,0.197278,0.30689,1,1,1,3,0.0
8,BS_4,BS,0.664516,0.860977,0.308696,0.271279,1,1,1,1,0.0
8,HAP_0,HAP,0.902778,0.962523,0.002279,0.012043,1,1,0,0,0.32171
8,HAP_1,HAP,0.655824,0.855252,0.321863,0.325039,1,1,1,2,0.148497
