slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_28,BS_4,LEO_1,167.287151,167.133834,0.0,0.034284,0.095163
1,T1_UAV_23,BS_0,LEO_1,214.186543,214.050189,0.0,0.017322,0.095163
1,T1_UAV_21,BS_3,LEO_1,387.271267,387.125467,0.0,0.026767,0.095163
1,T1_UAV_1,BS_3,LEO_1,430.838734,430.691326,0.0,0.028375,0.095163
1,T1_UAV_5,BS_3,LEO_1,237.240186,237.087998,0.0,0.033156,0.095163
1,T1_UAV_4,BS_1,LEO_1,307.013957,306.871468,0.0,0.023456,0.095163
1,T1_UAV_19,BS_4,LEO_1,501.182082,501.023081,0.0,0.039968,0.095163
1,T1_UAV_7,BS_4,LEO_1,185.784704,185.64593,0.0,0.019741,0.095163
1,T1_UAV_15,BS_0,LEO_0,398.383833,398.226274,0.0,0.038526,0.095163
1,T1_UAV_3,BS_3,LEO_0,394.228589,394.096042,0.0,0.013514,0.095163
1,T1_UAV_29,BS_4,LEO_0,147.404692,147.261396,0.0,0.024263,0.095163
1,T1_UAV_26,HAP_1,LEO_0,229.80893,229.655939,0.0,0.033959,0.095163
1,T1_UAV_10,BS_4,LEO_0,183.247841,183.077135,0.0,0.051673,0.095163
1,T1_UAV_18,BS_0,HAP_0,136.316406,136.188116,0.0,0.009257,0.095163
1,T1_UAV_22,BS_0,HAP_0,169.131061,169.003441,0.0,0.008588,0.095163
1,T1_UAV_8,BS_2,LEO_0,285.864172,285.734197,0.0,0.010943,0.095163
1,T1_UAV_13,BS_4,HAP_0,171.511742,171.38262,0.0,0.010089,0.095163
1,T1_UAV_12,BS_1,HAP_2,282.794555,282.641598,0.0,0.033924,0.095163
1,T1_UAV_14,BS_3,HAP_2,292.874005,292.718252,0.0,0.03672,0.095163
1,T1_UAV_11,BS_4,HAP_2,211.53405,211.389999,0.0,0.025019,0.095163
1,T1_UAV_27,BS_0,HAP_1,159.606496,159.335816,0.0,0.043744,0.63468
1,T1_UAV_16,BS_0,HAP_1,155.732626,155.481794,0.0,0.023897,0.63468
1,T1_UAV_24,HAP_1,BS_2,199.532659,199.274435,0.0,0.036889,0.606675
2,T2_UAV_21,BS_3,BS_1,186.617649,186.352733,0.0,0.073072,0.459216
2,T2_UAV_12,BS_1,BS_1,183.96524,183.667578,0.0,0.105819,0.459216
2,T2_UAV_1,BS_3,BS_0,127.541134,127.319137,0.0,0.030572,0.457126
