slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,215.45795,0.0,0.755028,7.82063,6,6,1,1,0
2,82.40476,0.0,0.241485,2.649865,10,10,1,1,0
3,262.398266,0.0,0.899212,6.104801,9,9,1,1,0
4,225.18661,0.0,0.537972,3.804641,9,9,1,1,0
5,212.821304,0.0,0.636554,6.872393,9,9,1,1,0
6,178.077728,0.0,0.341299,2.708324,10,10,1,1,0
7,241.389477,0.0,0.683969,6.535603,9,9,1,1,0
8,224.552816,0.0,0.466532,3.933315,9,9,1,1,0
9,193.904536,0.0,0.536021,6.841428,9,9,1,1,0
10,239.92202,0.0,0.486754,3.689923,10,9,1,1,0
11,242.547388,0.0,0.577572,6.807922,9,9,1,1,0
12,294.105373,0.0,0.508365,4.661352,9,9,1,1,0
13,247.56601,0.0,0.6901,7.452514,9,9,1,1,0
14,167.289431,0.0,0.361284,3.841208,10,9,1,1,0
15,248.346965,0.0,0.486898,6.865405,9,9,1,1,0
16,187.2444,0.0,0.527202,3.868913,9,9,1,1,0
17,278.911562,0.0,0.769614,7.57777,9,9,1,1,0
18,200.397965,0.0,0.376934,3.643381,10,9,1,1,0
19,199.29982,0.0,0.503806,6.62176,9,9,1,1,0
20,221.21201,0.0,0.40922,3.721973,9,9,1,1,0
21,280.500725,0.0,0.628947,7.219305,9,9,1,1,0
22,231.556281,0.0,0.546232,3.910808,10,9,1,1,0
23,257.001235,0.0,0.464569,6.235679,10,10,1,1,0
24,195.707498,0.0,0.412232,4.108283,9,9,1,1,0
25,218.688678,0.0,0.598042,6.232107,9,9,1,1,0
26,236.738942,0.0,0.523965,5.115194,9,9,1,1,0
27,208.445782,0.0,0.452118,5.710321,10,9,1,1,0
28,191.379014,0.0,0.479077,5.2031,9,9,1,1,0
29,239.777247,0.0,0.521087,5.721379,9,9,1,1,0
30,187.106573,0.0,0.294668,3.71182,10,10,1,1,0
31,245.32157,0.0,0.466435,6.551614,9,9,1,1,0
32,262.944247,0.0,0.572086,5.477627,9,9,1,1,0
33,214.876068,0.0,0.418261,5.449802,9,9,1,1,0
34,174.202279,0.0,0.405514,3.387133,10,9,1,1,0
35,240.817705,0.0,0.580844,6.094699,10,10,1,1,0
36,163.950041,0.0,0.412918,4.173068,9,9,1,1,0
37,190.489226,0.0,0.359823,4.581955,9,9,1,1,0
38,185.885781,0.0,0.371655,4.728989,9,9,1,1,0
39,237.668827,0.0,0.449236,5.175943,10,9,1,1,0
40,172.535038,0.0,0.471929,4.031821,8,8,1,1,0
