slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,416.353304,0.0,1.121099,3.33069,6,6,1,1,0
2,229.107649,0.0,1.598308,16.211233,10,10,1,1,0
3,260.459278,0.0,1.235526,9.952697,10,10,1,1,0
4,249.130405,0.0,1.475598,10.197999,10,10,1,1,0
5,379.499637,0.0,1.04114,7.498128,8,8,1,1,0
6,273.688452,0.0,1.004122,8.795836,9,9,1,1,0
7,318.384893,0.0,1.139031,7.633591,8,8,1,1,0
8,205.273818,0.0,0.901598,7.358275,9,9,1,1,0
9,235.220185,0.0,0.790706,7.539385,6,6,1,1,0
10,255.35421,0.0,0.693753,7.357896,9,9,1,1,0
11,259.694442,0.0,0.794808,8.205795,6,6,1,1,0
12,225.810696,0.0,0.9354,8.652694,8,8,1,1,0
13,234.019215,0.0,0.835029,8.927916,7,7,1,1,0
14,244.923617,0.0,0.796558,8.071061,9,8,1,1,0
15,246.243634,0.0,0.69941,8.807037,6,6,1,1,0
16,256.757355,0.0,0.903638,9.983816,7,7,1,1,0
17,239.102925,0.0,0.743414,9.607979,6,6,1,1,0
18,271.404539,0.0,0.737519,7.361975,10,8,1,1,0
19,289.157738,0.0,0.656564,6.943895,7,7,1,1,0
20,241.926516,0.0,0.840796,8.869464,8,8,1,1,0
21,271.458397,0.0,0.930276,8.499395,8,8,1,1,0
22,266.787436,0.0,0.900415,8.223311,10,10,1,1,0
23,263.252054,0.0,0.938888,7.673414,8,8,1,1,0
24,242.067302,0.0,0.994711,9.390956,7,7,1,1,0
25,241.657903,0.0,0.891444,8.704934,9,9,1,1,0
26,403.767978,0.0,0.865856,7.660996,9,9,1,1,0
27,372.083917,0.0,0.743288,7.24628,9,9,1,1,0
28,408.765658,0.0,0.877764,8.08174,8,8,1,1,0
29,195.358119,0.0,0.785757,8.578385,6,6,1,1,0
30,303.828214,0.0,0.839144,8.513185,8,7,1,1,0
31,332.831359,0.0,0.851109,7.615505,10,9,1,1,0
32,367.72596,0.0,0.737088,7.057136,9,9,1,1,0
33,593.659186,0.0,0.796413,6.714303,9,9,1,1,0
34,262.401196,0.0,0.959537,9.310187,9,9,1,1,0
35,308.489074,0.0,0.78617,8.593081,9,9,1,1,0
36,220.364248,0.0,1.048502,8.923384,10,10,1,1,0
37,224.848004,0.0,0.860874,7.936908,7,7,1,1,0
38,249.271381,0.0,0.879212,8.380719,8,8,1,1,0
39,475.573285,0.0,0.834116,8.214457,8,8,1,1,0
40,219.641268,0.0,1.013793,9.672767,9,9,1,1,0
