slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_18,BS_1,LEO_1,124.527135,124.384017,0.0,0.024085,0.095163
1,T1_UAV_7,BS_1,LEO_1,185.084038,184.942559,0.0,0.022446,0.095163
1,T1_UAV_8,BS_0,LEO_1,303.571543,303.443046,0.0,0.009464,0.095163
1,T1_UAV_6,BS_0,LEO_1,284.435658,284.303822,0.0,0.012803,0.095163
1,T1_UAV_19,BS_4,LEO_1,195.813626,195.679328,0.0,0.015266,0.095163
1,T1_UAV_17,BS_4,LEO_1,163.351009,163.200086,0.0,0.031891,0.095163
1,T1_UAV_9,BS_4,LEO_1,154.33541,154.179002,0.0,0.037376,0.095163
1,T1_UAV_12,BS_0,LEO_0,196.042133,195.901629,0.0,0.021472,0.095163
1,T1_UAV_3,BS_4,LEO_0,157.352067,157.221575,0.0,0.01146,0.095163
1,T1_UAV_1,BS_0,LEO_0,234.342415,234.164369,0.0,0.059013,0.095163
1,T1_UAV_11,BS_4,LEO_0,156.109399,155.957608,0.0,0.032758,0.095163
1,T1_UAV_16,BS_1,LEO_0,262.026269,261.885768,0.0,0.021468,0.095163
1,T1_UAV_15,BS_3,HAP_1,99.647644,99.501996,0.0,0.026615,0.095163
2,T2_UAV_13,BS_3,HAP_2,204.708958,204.657137,0.0,0.015567,0.181269
2,T2_UAV_4,BS_2,HAP_2,210.029012,209.988748,0.0,0.004011,0.181269
2,T2_UAV_5,BS_1,HAP_2,178.199694,178.147737,0.0,0.015703,0.181269
2,T2_UAV_15,BS_3,HAP_2,278.590088,278.548569,0.0,0.005265,0.181269
2,T2_UAV_0,BS_4,HAP_2,144.113673,144.067751,0.0,0.009667,0.181269
2,T2_UAV_9,BS_4,HAP_0,403.955381,403.89718,0.0,0.021946,0.181269
2,T2_UAV_6,BS_0,HAP_0,381.027633,380.978285,0.0,0.013095,0.181269
2,T2_UAV_11,BS_4,HAP_0,570.139932,570.086803,0.0,0.016875,0.181269
2,T2_UAV_17,BS_4,HAP_0,471.957608,471.911984,0.0,0.00937,0.181269
2,T2_UAV_16,BS_1,HAP_0,500.454544,500.396139,0.0,0.022151,0.181269
2,T2_UAV_8,BS_0,HAP_1,137.160984,136.999529,0.0,0.024665,0.183944
2,T2_UAV_19,BS_4,HAP_0,467.054427,466.990238,0.0,0.027935,0.181269
2,T2_UAV_18,BS_1,HAP_1,194.960743,194.80074,0.0,0.023214,0.183944
3,T3_UAV_6,BS_0,LEO_1,131.044044,130.895196,0.0,0.008263,0.20293
3,T3_UAV_8,BS_0,LEO_1,220.266442,220.098468,0.0,0.027388,0.20293
3,T3_UAV_4,BS_2,LEO_1,223.254477,223.091372,0.0,0.022519,0.20293
3,T3_UAV_5,BS_1,LEO_1,220.219246,220.071726,0.0,0.006934,0.20293
3,T3_UAV_3,BS_4,LEO_1,144.561742,144.398378,0.0,0.022777,0.20293
3,T3_UAV_15,BS_3,LEO_1,174.743075,174.590462,0.0,0.012028,0.20293
3,T3_UAV_7,BS_1,LEO_0,108.231311,108.073863,0.0,0.016956,0.202461
3,T3_UAV_2,BS_0,LEO_0,256.339044,256.17218,0.0,0.026371,0.202461
3,T3_UAV_11,BS_4,LEO_0,104.194964,104.004163,0.0,0.050309,0.202461
3,T3_UAV_10,BS_0,LEO_0,139.832196,139.653643,0.0,0.03806,0.202461
3,T3_UAV_19,BS_4,LEO_0,132.240457,132.06428,0.0,0.035685,0.202461
3,T3_UAV_18,BS_1,LEO_0,316.762562,316.588053,0.0,0.034017,0.202461
3,T3_UAV_13,BS_3,HAP_1,56.259214,56.094435,0.0,0.010585,0.270968
3,T3_UAV_16,BS_1,BS_2,319.998715,319.766236,0.0,0.028943,0.51768
3,T3_UAV_17,BS_4,BS_3,140.390132,140.103359,0.0,0.102031,0.423715
3,T3_UAV_14,BS_0,BS_2,392.333353,392.096723,0.0,0.033094,0.51768
3,T3_UAV_9,BS_4,BS_1,160.618868,160.353748,0.0,0.087573,0.387732
3,T3_UAV_0,BS_4,BS_0,183.336625,183.123685,0.0,0.044924,0.340082
4,T4_UAV_2,BS_0,HAP_2,131.892317,131.747757,0.0,0.005236,0.196622
4,T4_UAV_11,BS_4,HAP_2,269.015403,268.861205,0.0,0.014875,0.196622
4,T4_UAV_4,BS_2,HAP_2,125.416731,125.272511,0.0,0.004896,0.196622
4,T4_UAV_15,BS_3,HAP_2,243.137465,242.971522,0.0,0.026618,0.196622
4,T4_UAV_3,BS_4,HAP_0,125.664997,125.476893,0.0,0.047432,0.203357
4,T4_UAV_9,BS_4,HAP_2,378.539145,378.376042,0.0,0.023778,0.196622
4,T4_UAV_7,BS_1,HAP_1,168.965699,168.917866,0.0,0.011046,0.183936
4,T4_UAV_10,BS_0,HAP_1,256.693778,256.647961,0.0,0.009031,0.183936
4,T4_UAV_1,BS_0,HAP_0,261.577329,261.400379,0.0,0.036279,0.203357
4,T4_UAV_18,BS_1,HAP_0,123.880583,123.701263,0.0,0.038649,0.203357
4,T4_UAV_17,BS_2,HAP_1,101.414077,101.354549,0.0,0.022741,0.183936
4,T4_UAV_6,BS_0,HAP_0,278.777649,278.609855,0.0,0.027122,0.203357
