slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,190.851266,0.0,0.37839,3.336764,6,6,1,1,0
2,235.218279,0.0,0.450887,3.664914,10,10,1,1,0
3,197.602889,0.0,0.376109,4.023296,8,8,1,1,0
4,176.644869,0.0,0.546217,4.866746,9,9,1,1,0
5,216.363371,0.0,0.324426,3.833779,9,9,1,1,0
6,181.292771,0.0,0.463334,3.517613,10,9,1,1,0
7,212.750706,0.0,0.297404,3.664244,9,9,1,1,0
8,178.008512,0.0,0.539898,5.049355,8,8,1,1,0
9,197.980556,0.0,0.24092,3.67466,8,8,1,1,0
10,140.714827,0.0,0.409581,4.217786,10,9,1,1,0
11,250.515298,0.0,0.287813,3.58816,9,9,1,1,0
12,169.289121,0.0,0.557337,4.884422,8,8,1,1,0
13,228.984365,0.0,0.266193,3.703378,9,9,1,1,0
14,194.411046,0.0,0.573208,4.692698,10,10,1,1,0
15,217.711983,0.0,0.228204,2.938257,9,9,1,1,0
16,211.679797,0.0,0.357476,4.840751,9,9,1,1,0
17,216.129906,0.0,0.311942,4.0143,9,9,1,1,0
18,185.652936,0.0,0.361553,4.556647,10,9,1,1,0
19,235.514975,0.0,0.361042,4.144446,9,9,1,1,0
20,211.298256,0.0,0.486888,5.064032,9,9,1,1,0
21,217.175038,0.0,0.375873,5.030358,8,8,1,1,0
22,242.534083,0.0,0.429586,4.030317,9,8,1,1,0
23,170.536773,0.0,0.348186,4.37138,9,9,1,1,0
24,258.20632,0.0,0.412874,3.93116,9,9,1,1,0
25,265.300339,0.0,0.372128,4.838455,9,9,1,1,0
26,185.413917,0.0,0.614549,5.947203,10,9,1,1,0
27,251.75685,0.0,0.305519,4.067586,9,9,1,1,0
28,178.516541,0.0,0.382349,5.193633,9,9,1,1,0
29,168.061852,0.0,0.223373,3.204334,9,9,1,1,0
30,189.030396,0.0,0.349463,4.33545,10,9,1,1,0
31,225.449904,0.0,0.344261,4.114443,9,9,1,1,0
32,212.905957,0.0,0.648019,5.721889,9,9,1,1,0
33,207.974874,0.0,0.333224,4.21836,9,9,1,1,0
34,185.870606,0.0,0.367142,3.923884,10,9,1,1,0
35,267.784704,0.0,0.422879,3.993993,9,9,1,1,0
36,255.828331,0.0,0.417155,5.136053,8,8,1,1,0
37,172.567858,0.0,0.256111,4.040273,8,8,1,1,0
38,155.125922,0.0,0.348491,3.538346,10,9,1,1,0
39,161.214348,0.0,0.291946,3.982872,9,9,1,1,0
40,237.8181,0.0,0.429866,5.1281,9,9,1,1,0
