slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.800543,1.0,0.923803,1,1,1,2,0.0
1,BS_1,BS,0.332871,0.747617,1.0,1.203027,1,1,1,2,0.0
1,BS_2,BS,0.332871,0.68746,1.0,1.511399,1,1,1,2,0.0
1,BS_3,BS,0.332871,0.693375,1.0,1.96234,1,1,1,3,0.0
1,BS_4,BS,0.332871,0.699165,1.0,2.09949,1,1,1,5,0.0
1,HAP_0,HAP,0.904837,0.955849,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.960845,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.840682,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.843984,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.89178,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.429455,0.774004,0.745238,1.037834,1,1,1,3,0.0
2,BS_1,BS,0.72622,0.791673,0.219902,0.820048,1,1,1,2,0.0
2,BS_2,BS,0.801861,0.757777,0.12082,0.993905,1,1,1,2,0.0
2,BS_3,BS,0.542788,0.716869,0.511037,1.481184,1,1,1,4,0.0
2,BS_4,BS,0.544666,0.721233,0.507582,1.56756,1,1,1,5,0.0
2,HAP_0,HAP,0.806105,0.956096,0.115541,0.010513,1,1,1,0,0.266633
2,HAP_1,HAP,0.448102,0.897334,0.702735,0.388896,1,1,1,1,0.898868
2,HAP_2,HAP,0.818731,0.888477,0.0,0.0,2,0,0,0,0.0
2,LEO_0,LEO,0.605545,0.845606,0.401626,0.127027,1,1,1,0,0.92683
2,LEO_1,LEO,0.595734,0.877225,0.41796,0.137569,1,1,1,0,0.964524
3,BS_0,BS,0.628148,0.787573,0.364979,0.779495,1,1,1,3,0.702193
3,BS_1,BS,0.627904,0.802509,0.365368,0.638158,1,1,1,2,0.776465
3,BS_2,BS,0.661134,0.783177,0.313799,0.723583,1,1,1,2,0.684417
3,BS_3,BS,0.674226,0.752831,0.29419,1.030926,1,1,1,4,0.743136
3,BS_4,BS,0.684886,0.757298,0.278503,1.079995,1,1,1,4,0.783574
3,HAP_0,HAP,0.694382,0.937795,0.264733,0.062024,1,1,1,0,0.690911
3,HAP_1,HAP,0.525101,0.869292,0.544165,0.485974,1,1,1,2,0.0
3,HAP_2,HAP,0.588311,0.873503,0.4305,0.145948,1,1,1,0,0.993462
3,LEO_0,LEO,0.802127,0.877918,0.120488,0.094,1,1,1,0,0.0
3,LEO_1,LEO,0.798206,0.899481,0.125388,0.101801,1,1,1,0,0.0
4,BS_0,BS,0.652324,0.806667,0.327214,0.590988,1,1,1,2,0.0
4,BS_1,BS,0.694829,0.81972,0.264089,0.469725,1,1,1,2,0.0
4,BS_2,BS,0.603496,0.802068,0.405015,0.599508,1,1,1,1,0.0
4,BS_3,BS,0.671486,0.777638,0.298262,0.740158,1,1,1,5,0.0
4,BS_4,BS,0.669286,0.78047,0.301544,0.773604,1,1,1,5,0.0
4,HAP_0,HAP,0.808727,0.950065,0.012294,0.040435,2,0,0,0,0.267558
4,HAP_1,HAP,0.551514,0.848622,0.495088,0.508909,1,1,1,2,0.839452
4,HAP_2,HAP,0.795209,0.896438,0.12915,0.108001,1,1,1,0,0.0
4,LEO_0,LEO,0.675082,0.877477,0.292922,0.12867,1,1,1,0,0.984144
4,LEO_1,LEO,0.674765,0.892352,0.29339,0.133957,1,1,1,0,0.997759
5,BS_0,BS,0.732305,0.825687,0.211558,0.419388,1,1,1,3,0.861933
5,BS_1,BS,0.745607,0.835365,0.193556,0.334824,1,1,1,1,0.846729
5,BS_2,BS,0.577508,0.803013,0.449033,0.548465,1,1,1,2,0.586745
5,BS_3,BS,0.647382,0.791713,0.334818,0.569384,1,1,1,5,0.629013
5,BS_4,BS,0.633555,0.791752,0.356408,0.602876,1,1,1,3,0.695237
5,HAP_0,HAP,0.783696,0.943314,0.143734,0.042552,1,1,1,0,0.712391
5,HAP_1,HAP,0.588753,0.843014,0.429749,0.476229,1,1,1,2,0.0
5,HAP_2,HAP,0.697055,0.893749,0.260891,0.123801,1,1,1,0,0.932382
5,LEO_0,LEO,0.735903,0.891889,0.206657,0.117267,1,1,1,0,0.0
5,LEO_1,LEO,0.732253,0.901792,0.211629,0.122342,1,1,1,0,0.0
6,BS_0,BS,0.745781,0.839962,0.193323,0.302034,1,1,1,3,0.0
6,BS_1,BS,0.741035,0.850809,0.199707,0.249044,1,1,1,2,0.0
6,BS_2,BS,0.797196,0.834075,0.126654,0.369135,1,1,1,2,0.0
6,BS_3,BS,0.651533,0.802141,0.328427,0.455043,1,1,1,4,0.0
6,BS_4,BS,0.712873,0.810266,0.238453,0.436646,1,1,1,4,0.0
6,HAP_0,HAP,0.738019,0.938901,0.203786,0.060363,1,1,1,0,0.0
6,HAP_1,HAP,0.626516,0.840114,0.367581,0.415953,1,1,1,2,0.735012
6,HAP_2,HAP,0.73669,0.903525,0.205588,0.113755,1,1,1,0,0.0
6,LEO_0,LEO,0.705616,0.890972,0.248684,0.124926,1,1,1,0,0.990524
6,LEO_1,LEO,0.708763,0.898303,0.244235,0.126497,1,1,1,0,0.98842
7,BS_0,BS,0.67068,0.83918,0.299463,0.266944,1,1,1,5,0.670546
7,BS_1,BS,0.69647,0.851795,0.261731,0.215824,1,1,1,2,0.915504
7,BS_2,BS,0.739049,0.84519,0.202392,0.272195,1,1,1,2,0.721961
7,BS_3,BS,0.649096,0.809103,0.332175,0.382671,1,1,1,4,0.748373
7,BS_4,BS,0.682196,0.819267,0.282438,0.34664,1,1,1,3,0.749625
7,HAP_0,HAP,0.707246,0.92483,0.246376,0.087038,1,1,1,0,0.938386
7,HAP_1,HAP,0.650436,0.846106,0.330113,0.356187,1,1,1,2,0.216951
7,HAP_2,HAP,0.703636,0.898958,0.251494,0.12375,1,1,1,0,0.986226
7,LEO_0,LEO,0.719044,0.899156,0.229833,0.1228,1,1,1,0,0.0
7,LEO_1,LEO,0.717899,0.904144,0.231426,0.1244,1,1,1,0,0.0
8,BS_0,BS,0.691893,0.842155,0.268325,0.230212,1,1,1,4,0.0
8,BS_1,BS,0.754525,0.859368,0.181667,0.166276,1,1,1,2,0.0
8,BS_2,BS,0.790791,0.859643,0.134722,0.19122,1,1,1,3,0.0
8,BS_3,BS,0.647093,0.813698,0.335265,0.337253,1,1,1,5,0.0
8,BS_4,BS,0.670372,0.823994,0.299923,0.296155,1,1,1,3,0.0
