slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,107.7913,0.0,0.165578,0.761301,4,4,1,1,0
2,71.835483,0.0,0.188897,1.946692,10,10,1,1,0
3,112.247464,0.0,0.194506,2.161381,9,9,1,1,0
4,114.242778,0.0,0.148986,1.974131,8,8,1,1,0
5,227.781035,0.0,0.169339,1.89897,7,7,1,1,0
6,100.303447,0.0,0.221247,2.6269,8,8,1,1,0
7,98.679466,0.0,0.143265,2.096481,8,8,1,1,0
8,160.819613,0.0,0.094365,1.072454,8,7,1,1,0
9,124.507017,0.0,0.137346,2.624776,9,9,1,1,0
10,73.81339,0.0,0.161584,2.048607,7,7,1,1,0
11,129.229403,0.0,0.083414,1.792733,9,8,1,1,0
12,175.924345,0.0,0.149904,2.232048,8,8,1,1,0
13,85.0773,0.0,0.065342,1.327723,8,7,1,1,0
14,98.857548,0.0,0.119757,2.152417,8,8,1,1,0
15,185.52003,0.0,0.120143,1.894553,9,9,1,1,0
16,120.831607,0.0,0.14872,2.216756,7,7,1,1,0
17,109.048846,0.0,0.14959,2.496479,8,8,1,1,0
18,89.088363,0.0,0.144332,2.18004,7,7,1,1,0
19,94.977405,0.0,0.129343,1.835344,8,7,1,1,0
20,127.916258,0.0,0.085526,2.011918,8,8,1,1,0
21,145.274772,0.0,0.112274,1.617064,7,6,1,1,0
22,138.270856,0.0,0.13862,2.429996,7,7,1,1,0
23,107.439149,0.0,0.097816,1.415951,7,6,1,1,0
24,148.548735,0.0,0.115495,1.786683,7,7,1,1,0
25,69.391782,0.0,0.089175,1.872946,9,9,1,1,0
26,120.692791,0.0,0.116947,2.470447,6,6,1,1,0
27,106.405342,0.0,0.062371,1.530085,9,8,1,1,0
28,163.481545,0.0,0.087851,2.039104,7,7,1,1,0
29,120.662872,0.0,0.074503,1.290175,8,8,1,1,0
30,81.121405,0.0,0.128881,2.479202,8,8,1,1,0
31,95.931768,0.0,0.073449,1.004903,7,6,1,1,0
32,100.08472,0.0,0.092368,2.272247,9,9,1,1,0
33,80.132954,0.0,0.118933,1.91497,7,7,1,1,0
34,69.833552,0.0,0.087039,1.61963,7,7,1,1,0
35,87.862897,0.0,0.09659,2.238367,8,8,1,1,0
36,97.053757,0.0,0.080485,1.450863,9,7,1,1,0
37,127.835854,0.0,0.082975,1.505125,7,7,1,1,0
38,76.970006,0.0,0.096254,2.230067,9,9,1,1,0
39,80.898631,0.0,0.101629,1.703514,9,9,1,1,0
40,52.460912,0.0,0.073465,1.115872,6,6,1,1,0
