slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,214.251331,0.0,0.483944,3.022055,6,6,1,1,0
2,904.963053,0.0,0.514044,5.245391,10,10,1,1,15
3,305.417652,0.0,0.511142,4.687193,10,10,1,1,1
4,522.945056,0.0,0.694735,5.088147,10,10,1,1,4
5,363.417408,0.0,0.49917,5.697263,10,10,1,1,2
6,810.7427,0.0,0.531765,4.515386,10,10,1,1,14
7,361.149039,0.0,0.450896,5.490615,10,10,1,1,2
8,782.841353,0.0,0.568224,4.476011,10,10,1,1,12
9,585.709461,0.0,0.432552,4.392723,10,10,1,1,8
10,694.310372,0.0,0.48825,4.646737,10,10,1,1,9
11,498.192609,0.0,0.430666,4.637009,9,9,1,1,3
12,491.209451,0.0,0.624518,5.674415,9,9,1,1,5
13,448.362556,0.0,0.353196,5.187293,9,9,1,1,4
14,521.507611,0.0,0.564614,4.898387,10,9,1,1,8
15,431.999476,0.0,0.37897,4.695051,9,9,1,1,4
16,691.39053,0.0,0.593936,5.451288,8,8,1,1,7
17,505.462762,0.0,0.497174,6.190758,8,8,1,1,7
18,441.256938,0.0,0.717057,6.418265,10,9,1,1,5
19,675.933179,0.0,0.309037,3.837301,9,9,1,1,10
20,678.794401,0.0,0.547006,5.293766,8,8,1,1,9
21,549.432942,0.0,0.442903,5.560084,8,8,1,1,6
22,740.159636,0.0,0.541077,4.37224,10,9,1,1,9
23,500.404694,0.0,0.455015,4.801696,9,9,1,1,4
24,691.385575,0.0,0.490812,4.936117,9,9,1,1,8
25,483.704319,0.0,0.279392,4.098261,9,9,1,1,4
26,561.312962,0.0,0.54092,5.692274,10,9,1,1,8
27,595.139947,0.0,0.246788,3.645052,9,9,1,1,10
28,599.689451,0.0,0.549674,5.771546,9,9,1,1,6
29,494.943209,0.0,0.464669,4.788035,9,9,1,1,5
30,723.782127,0.0,0.434888,4.232748,10,9,1,1,11
31,474.01952,0.0,0.339587,4.398996,9,9,1,1,5
32,616.568821,0.0,0.399043,4.729642,9,9,1,1,9
33,553.076996,0.0,0.378724,4.68772,9,9,1,1,6
34,503.610225,0.0,0.499172,4.046878,10,9,1,1,6
35,505.246203,0.0,0.400687,5.148443,10,10,1,1,8
36,618.899384,0.0,0.391088,4.588408,9,9,1,1,8
37,493.361891,0.0,0.247439,4.244909,9,9,1,1,5
38,543.122028,0.0,0.611341,4.896468,10,10,1,1,6
39,416.899543,0.0,0.279731,4.044907,10,10,1,1,4
40,569.277912,0.0,0.508779,5.355057,10,10,1,1,7
