slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_23,BS_2,LEO_1,240.799705,240.660092,0.0,0.02058,0.095163
1,T1_UAV_26,BS_1,LEO_1,218.282554,218.156056,0.0,0.007466,0.095163
1,T1_UAV_13,BS_3,LEO_1,273.013567,272.872798,0.0,0.021737,0.095163
1,T1_UAV_35,BS_2,LEO_1,291.107797,290.977897,0.0,0.010868,0.095163
1,T1_UAV_4,BS_2,LEO_1,280.105725,279.981092,0.0,0.0056,0.095163
1,T1_UAV_27,BS_0,LEO_1,180.245849,180.116557,0.0,0.01026,0.095163
1,T1_UAV_0,BS_4,LEO_1,429.125654,428.994747,0.0,0.011875,0.095163
1,T1_UAV_22,BS_0,LEO_1,427.066581,426.931591,0.0,0.015958,0.095163
1,T1_UAV_5,BS_1,LEO_1,237.668948,237.527988,0.0,0.021928,0.095163
1,T1_UAV_15,BS_3,LEO_1,371.519857,371.393472,0.0,0.007353,0.095163
1,T1_UAV_31,BS_2,LEO_0,104.188982,104.005419,0.0,0.064531,0.095163
1,T1_UAV_30,BS_2,LEO_0,139.822538,139.654685,0.0,0.04882,0.095163
1,T1_UAV_9,BS_4,LEO_0,269.430693,269.279659,0.0,0.032001,0.095163
1,T1_UAV_39,BS_4,LEO_0,132.228781,132.063975,0.0,0.045773,0.095163
1,T1_UAV_6,BS_0,LEO_0,254.135202,253.997075,0.0,0.019094,0.095163
1,T1_UAV_11,BS_4,LEO_0,380.223087,380.079448,0.0,0.024606,0.095163
1,T1_UAV_17,BS_4,HAP_1,393.388453,393.263768,0.0,0.005653,0.095163
1,T1_UAV_19,BS_4,HAP_1,389.299713,389.163828,0.0,0.016852,0.095163
1,T1_UAV_38,BS_3,HAP_1,395.850519,395.713435,0.0,0.018052,0.095163
1,T1_UAV_33,BS_4,HAP_1,280.59127,280.461513,0.0,0.010724,0.095163
1,T1_UAV_16,BS_1,HAP_1,417.140465,417.008069,0.0,0.013363,0.095163
1,T1_UAV_28,BS_1,HAP_2,220.242241,220.097892,0.0,0.025317,0.095163
