slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.797214,1.0,2.7125,1,1,1,13,0.0
1,BS_1,BS,0.332871,0.717848,1.0,2.638913,1,1,1,11,0.0
1,BS_2,BS,0.332871,0.805954,1.0,2.294701,1,1,1,7,0.0
1,BS_3,BS,0.332871,0.714938,1.0,1.970925,1,1,1,3,0.0
1,BS_4,BS,0.332871,0.82409,1.0,2.321678,1,1,1,9,0.0
1,HAP_0,HAP,0.904837,0.838271,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.931704,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.920331,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.834924,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.922126,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.493394,0.78097,0.606447,2.05275,1,1,1,14,0.652438
2,BS_1,BS,0.539453,0.733445,0.5172,1.925946,1,1,1,9,0.975996
2,BS_2,BS,0.550208,0.796897,0.497459,1.686435,1,1,1,5,0.649958
2,BS_3,BS,0.546689,0.732609,0.503875,1.481039,1,1,1,4,0.975975
2,BS_4,BS,0.538402,0.807639,0.51915,1.721335,1,1,1,8,0.74405
2,HAP_0,HAP,0.613295,0.843038,0.388909,0.119109,1,1,1,0,0.897481
2,HAP_1,HAP,0.593229,0.904698,0.422174,0.140357,1,1,1,0,0.974248
2,HAP_2,HAP,0.621297,0.901938,0.375947,0.111302,1,1,1,0,0.867569
2,LEO_0,LEO,0.611956,0.840448,0.391095,0.120453,1,1,1,0,0.902528
2,LEO_1,LEO,0.603148,0.899859,0.405593,0.129548,1,1,1,0,0.935984
3,BS_0,BS,0.686472,0.799322,0.27619,1.394359,1,1,1,13,0.336876
3,BS_1,BS,0.680853,0.765315,0.284409,1.315565,1,1,1,9,0.0
3,BS_2,BS,0.683091,0.810026,0.281128,1.158421,1,1,1,5,0.32162
3,BS_3,BS,0.688702,0.765762,0.272947,1.021344,1,1,1,3,0.0
3,BS_4,BS,0.685725,0.817892,0.277279,1.179414,1,1,1,6,0.0
3,HAP_0,HAP,0.805194,0.876563,0.116673,0.088141,1,1,1,0,0.0
3,HAP_1,HAP,0.797198,0.918566,0.126652,0.103864,1,1,1,0,0.0
3,HAP_2,HAP,0.770999,0.921804,0.060068,0.075188,2,0,0,0,0.121653
3,LEO_0,LEO,0.751285,0.876791,0.08597,0.084115,2,0,0,0,0.072365
3,LEO_1,LEO,0.801173,0.915756,0.121678,0.095866,1,1,1,0,0.0
4,BS_0,BS,0.670909,0.810104,0.299121,0.976794,1,1,1,12,0.574902
4,BS_1,BS,0.662826,0.785209,0.311242,0.931403,1,1,1,11,0.972884
4,BS_2,BS,0.666721,0.817034,0.305384,0.826416,1,1,1,6,0.615663
4,BS_3,BS,0.647076,0.783357,0.335291,0.752404,1,1,1,2,0.690355
4,BS_4,BS,0.65587,0.821063,0.321792,0.848165,1,1,1,7,0.562001
4,HAP_0,HAP,0.683056,0.87798,0.281178,0.119552,1,1,1,0,0.947285
4,HAP_1,HAP,0.680781,0.906666,0.284514,0.131258,1,1,1,0,0.980508
4,HAP_2,HAP,0.75299,0.919098,0.183704,0.075448,1,1,1,0,0.838996
4,LEO_0,LEO,0.758915,0.888249,0.175866,0.079031,1,1,1,0,0.856599
4,LEO_1,LEO,0.675766,0.904037,0.291909,0.129416,1,1,1,0,0.984851
5,BS_0,BS,0.655099,0.815506,0.322969,0.717059,1,1,1,14,0.346179
5,BS_1,BS,0.647687,0.797055,0.334348,0.693446,1,1,1,12,0.0
5,BS_2,BS,0.657681,0.82071,0.319035,0.617324,1,1,1,7,0.326089
5,BS_3,BS,0.735503,0.807202,0.2072,0.522872,1,1,1,3,0.282283
5,BS_4,BS,0.65489,0.823148,0.323289,0.633613,1,1,1,7,0.411654
5,HAP_0,HAP,0.741283,0.893035,0.199373,0.109012,1,1,1,0,0.0
5,HAP_1,HAP,0.733291,0.911994,0.210212,0.120117,1,1,1,0,0.0
5,HAP_2,HAP,0.775507,0.924772,0.154238,0.067775,1,1,1,0,0.137794
5,LEO_0,LEO,0.765268,0.902174,0.167529,0.073472,1,1,1,0,0.116466
5,LEO_1,LEO,0.735263,0.910397,0.207527,0.118036,1,1,1,0,0.0
6,BS_0,BS,0.651,0.818722,0.329245,0.551455,1,1,1,11,0.583633
6,BS_1,BS,0.651183,0.805832,0.328964,0.535961,1,1,1,10,0.966354
6,BS_2,BS,0.623591,0.818494,0.37226,0.510391,1,1,1,3,0.308705
6,BS_3,BS,0.699767,0.819411,0.257007,0.391883,1,1,1,3,0.599047
6,BS_4,BS,0.650753,0.824038,0.329625,0.497412,1,1,1,7,0.467061
6,HAP_0,HAP,0.70764,0.892292,0.245819,0.118444,1,1,1,0,0.968827
6,HAP_1,HAP,0.711205,0.905898,0.240794,0.123737,1,1,1,0,0.975682
6,HAP_2,HAP,0.794474,0.926778,0.130075,0.057378,1,1,1,0,0.739051
6,LEO_0,LEO,0.747369,0.904171,0.191197,0.076545,1,1,1,0,0.878029
6,LEO_1,LEO,0.711684,0.904878,0.240122,0.12213,1,1,1,0,0.971884
7,BS_0,BS,0.648506,0.820628,0.333084,0.445815,1,1,1,13,0.370372
7,BS_1,BS,0.64607,0.811266,0.336847,0.437729,1,1,1,10,0.0
7,BS_2,BS,0.627211,0.817463,0.366473,0.437517,1,1,1,6,0.669762
7,BS_3,BS,0.741255,0.833141,0.19941,0.286039,1,1,1,4,0.367088
7,BS_4,BS,0.622583,0.820677,0.373878,0.433399,1,1,1,8,0.527733
7,HAP_0,HAP,0.723736,0.900757,0.223328,0.116266,1,1,1,0,0.0
7,HAP_1,HAP,0.720011,0.909775,0.228489,0.121542,1,1,1,0,0.0
7,HAP_2,HAP,0.798972,0.932514,0.12443,0.049488,1,1,1,0,0.198183
7,LEO_0,LEO,0.743066,0.910986,0.19697,0.080307,1,1,1,0,0.067267
7,LEO_1,LEO,0.720621,0.90915,0.227642,0.120193,1,1,1,0,0.0
8,BS_0,BS,0.648106,0.821906,0.333701,0.377473,1,1,1,15,0.599521
8,BS_1,BS,0.646566,0.815139,0.336081,0.373472,1,1,1,11,0.814841
8,BS_2,BS,0.648634,0.819764,0.332887,0.371652,1,1,1,6,0.0
8,BS_3,BS,0.706225,0.838394,0.247822,0.23429,1,1,1,4,0.631969
8,BS_4,BS,0.647466,0.821852,0.334688,0.369922,1,1,1,6,0.414321
8,HAP_0,HAP,0.716132,0.89871,0.233891,0.118653,1,1,1,0,0.97
8,HAP_1,HAP,0.734139,0.907735,0.209057,0.11342,1,1,1,0,0.919607
8,HAP_2,HAP,0.774941,0.929314,0.154968,0.051079,1,1,1,0,0.793575
8,LEO_0,LEO,0.751165,0.910993,0.18613,0.079482,1,1,1,0,0.869031
8,LEO_1,LEO,0.730113,0.906699,0.214556,0.114378,1,1,1,0,0.93074
9,BS_0,BS,0.648294,0.822828,0.33341,0.332898,1,1,1,16,0.33124
9,BS_1,BS,0.6478,0.818022,0.334174,0.330698,1,1,1,10,0.0
9,BS_2,BS,0.646184,0.821035,0.336671,0.330835,1,1,1,7,0.939416
9,BS_3,BS,0.674149,0.837889,0.294304,0.220498,1,1,1,4,0.268686
9,BS_4,BS,0.648381,0.822802,0.333277,0.32792,1,1,1,7,0.491443
9,HAP_0,HAP,0.719462,0.904695,0.229252,0.118512,1,1,1,0,0.0
9,HAP_1,HAP,0.72313,0.911637,0.224167,0.113295,1,1,1,0,0.0
9,HAP_2,HAP,0.791987,0.93325,0.13321,0.047176,1,1,1,0,0.200658
9,LEO_0,LEO,0.752931,0.916811,0.183781,0.078262,1,1,1,0,0.088566
9,LEO_1,LEO,0.743545,0.91273,0.196326,0.104699,1,1,1,0,0.066738
10,BS_0,BS,0.648351,0.82348,0.333323,0.303878,1,1,1,16,0.545061
10,BS_1,BS,0.624518,0.816745,0.370775,0.323215,1,1,1,8,0.76856
10,BS_2,BS,0.625489,0.818994,0.369221,0.322398,1,1,1,8,0.0
10,BS_3,BS,0.657251,0.83525,0.319689,0.223807,1,1,1,3,0.69292
10,BS_4,BS,0.645961,0.82313,0.337015,0.302592,1,1,1,4,0.504762
10,HAP_0,HAP,0.750603,0.906688,0.186879,0.104536,1,1,1,0,0.867709
10,HAP_1,HAP,0.704932,0.904692,0.249654,0.122725,1,1,1,0,0.997339
10,HAP_2,HAP,0.753688,0.937633,0.082777,0.03606,2,0,0,0,0.650677
10,LEO_0,LEO,0.740126,0.913371,0.200935,0.082665,1,1,1,0,0.901758
10,LEO_1,LEO,0.746342,0.911411,0.192572,0.097258,1,1,1,0,0.888929
11,BS_0,BS,0.648354,0.823937,0.333319,0.285013,1,1,1,15,0.329331
11,BS_1,BS,0.631379,0.816835,0.359849,0.312064,1,1,1,10,0.221201
11,BS_2,BS,0.64334,0.820099,0.341082,0.301174,1,1,1,6,0.986413
11,BS_3,BS,0.524652,0.819019,0.54502,0.379399,1,1,1,2,0.222109
11,BS_4,BS,0.643915,0.823074,0.340189,0.287821,1,1,1,8,0.488575
11,HAP_0,HAP,0.769295,0.91542,0.162281,0.088687,1,1,1,0,0.126524
11,HAP_1,HAP,0.718951,0.908743,0.229962,0.121416,1,1,1,0,0.0
11,HAP_2,HAP,0.719904,0.94808,0.028637,0.024085,3,0,0,0,0.289051
11,LEO_0,LEO,0.744575,0.917471,0.194942,0.083659,1,1,1,0,0.075351
11,LEO_1,LEO,0.742787,0.916015,0.197346,0.093887,1,1,1,0,0.066937
12,BS_0,BS,0.648349,0.824257,0.333326,0.272755,1,1,1,13,0.487978
12,BS_1,BS,0.640296,0.818161,0.345825,0.297022,1,1,1,9,0.543142
12,BS_2,BS,0.642902,0.82081,0.341763,0.287745,1,1,1,6,0.0
12,BS_3,BS,0.737816,0.834511,0.204061,0.279401,1,1,1,5,0.598547
12,BS_4,BS,0.637112,0.822079,0.35081,0.283999,1,1,1,6,0.31335
12,HAP_0,HAP,0.755702,0.914597,0.180109,0.083192,1,1,1,0,0.857136
12,HAP_1,HAP,0.712931,0.903648,0.238371,0.123667,1,1,1,0,0.992139
12,HAP_2,HAP,0.812226,0.945179,0.107977,0.024837,1,1,1,0,0.694301
12,LEO_0,LEO,0.757029,0.916285,0.178353,0.079429,1,1,1,0,0.858644
12,LEO_1,LEO,0.751005,0.914481,0.186343,0.088372,1,1,1,0,0.870188
13,BS_0,BS,0.648346,0.82448,0.33333,0.264789,1,1,1,15,0.440544
13,BS_1,BS,0.64145,0.81925,0.344024,0.286267,1,1,1,8,0.44632
13,BS_2,BS,0.642854,0.821302,0.341837,0.279055,1,1,1,6,0.976445
13,BS_3,BS,0.721054,0.841946,0.227041,0.222205,1,1,1,6,0.362682
13,BS_4,BS,0.642755,0.822176,0.341992,0.276705,1,1,1,4,0.488872
13,HAP_0,HAP,0.757662,0.919667,0.177519,0.078891,1,1,1,0,0.110657
13,HAP_1,HAP,0.715412,0.907556,0.234897,0.123835,1,1,1,0,0.0
13,HAP_2,HAP,0.741677,0.947044,0.098842,0.023837,2,0,0,0,0.268651
13,LEO_0,LEO,0.750763,0.920312,0.186665,0.079068,1,1,1,0,0.084661
13,LEO_1,LEO,0.753732,0.919313,0.182718,0.083733,1,1,1,0,0.091727
14,BS_0,BS,0.648345,0.824636,0.333332,0.259612,1,1,1,13,0.557411
14,BS_1,BS,0.647914,0.820915,0.333997,0.273923,1,1,1,9,0.275854
14,BS_2,BS,0.639621,0.821192,0.34688,0.276142,1,1,1,5,0.0
14,BS_3,BS,0.673672,0.840564,0.295012,0.212971,1,1,1,5,0.596516
14,BS_4,BS,0.647488,0.822904,0.334655,0.268053,1,1,1,5,0.48389
14,HAP_0,HAP,0.756221,0.91761,0.179422,0.076631,1,1,1,0,0.862383
14,HAP_1,HAP,0.723749,0.90446,0.22331,0.119763,1,1,1,0,0.962166
14,HAP_2,HAP,0.704579,0.949379,0.050155,0.017475,3,0,0,0,0.722848
14,LEO_0,LEO,0.739816,0.915809,0.201354,0.083322,1,1,1,0,0.901279
14,LEO_1,LEO,0.750397,0.916645,0.187153,0.08201,1,1,1,0,0.871456
15,BS_0,BS,0.648345,0.824745,0.333333,0.256248,1,1,1,15,0.4361
15,BS_1,BS,0.648088,0.822105,0.333729,0.265758,1,1,1,10,0.519654
15,BS_2,BS,0.640443,0.821231,0.345596,0.273549,1,1,1,7,0.953777
15,BS_3,BS,0.669303,0.838847,0.301519,0.210025,1,1,1,5,0.276049
15,BS_4,BS,0.645364,0.823118,0.337941,0.26417,1,1,1,7,0.410903
15,HAP_0,HAP,0.761401,0.92208,0.172595,0.073269,1,1,1,0,0.124069
15,HAP_1,HAP,0.717597,0.9085,0.231846,0.120176,1,1,1,0,0.0
15,HAP_2,HAP,0.790099,0.947504,0.135597,0.025838,1,1,1,0,0.173846
