slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_39,BS_0,LEO_0,312.062815,311.933035,0.0,0.010747,0.095163
1,T1_UAV_19,BS_3,LEO_1,318.301943,318.163125,0.0,0.019786,0.095163
1,T1_UAV_26,BS_2,HAP_1,297.188074,297.063669,0.0,0.005372,0.095163
1,T1_UAV_44,BS_3,HAP_2,347.195613,347.025779,0.0,0.050802,0.095163
1,T1_UAV_21,BS_3,LEO_0,477.030123,476.906642,0.0,0.004449,0.095163
1,T1_UAV_42,BS_0,LEO_1,488.206945,488.080047,0.0,0.007866,0.095163
1,T1_UAV_24,BS_3,LEO_0,498.678489,498.55011,0.0,0.009346,0.095163
1,T1_UAV_34,BS_2,LEO_1,499.187303,499.060864,0.0,0.007407,0.095163
1,T1_UAV_49,BS_2,HAP_1,481.197081,481.050676,0.0,0.027373,0.095163
1,T1_UAV_38,BS_0,HAP_2,504.725405,504.565527,0.0,0.040846,0.095163
1,T1_UAV_23,BS_0,LEO_0,580.344604,580.21614,0.0,0.009432,0.095163
1,T1_UAV_16,BS_2,LEO_1,597.459336,597.328428,0.0,0.011875,0.095163
1,T1_UAV_47,BS_0,HAP_1,524.724032,524.596752,0.0,0.008248,0.095163
1,T1_UAV_6,HAP_0,HAP_2,532.652466,532.503878,0.0,0.029555,0.095163
1,T1_UAV_31,BS_2,LEO_0,620.396139,620.271514,0.0,0.005593,0.095163
1,T1_UAV_22,BS_2,LEO_1,640.686585,640.562616,0.0,0.004936,0.095163
1,T1_UAV_18,BS_1,LEO_0,642.079149,641.93798,0.0,0.022136,0.095163
1,T1_UAV_15,BS_2,LEO_1,644.178795,644.045405,0.0,0.014358,0.095163
1,T1_UAV_46,BS_1,HAP_1,577.677667,577.550669,0.0,0.007966,0.095163
1,T1_UAV_35,BS_2,HAP_2,582.698298,582.53903,0.0,0.040235,0.095163
1,T1_UAV_32,BS_2,LEO_0,673.303961,673.172339,0.0,0.01259,0.095163
1,T1_UAV_2,BS_2,LEO_1,673.707035,673.579273,0.0,0.00873,0.095163
1,T1_UAV_40,HAP_0,HAP_1,621.536995,621.398961,0.0,0.019002,0.095163
1,T1_UAV_28,BS_3,HAP_2,622.608852,622.442167,0.0,0.047653,0.095163
1,T1_UAV_9,BS_2,LEO_0,748.062576,747.936784,0.0,0.00676,0.095163
1,T1_UAV_3,BS_0,LEO_1,772.559541,772.416943,0.0,0.023565,0.095163
1,T1_UAV_29,BS_4,LEO_0,208.215449,208.08764,0.0,0.008776,0.095163
1,T1_UAV_36,BS_1,LEO_1,232.180696,232.052512,0.0,0.009152,0.095163
1,T1_UAV_37,BS_2,HAP_1,234.011947,233.874812,0.0,0.018102,0.095163
1,T1_UAV_48,BS_3,HAP_2,247.021892,246.87301,0.0,0.02985,0.095163
