slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.788625,1.0,2.252799,1,1,1,8,0.0
1,BS_1,BS,0.332871,0.816211,1.0,1.959832,1,1,1,4,0.0
1,BS_2,BS,0.332871,0.76589,1.0,2.7125,1,1,1,13,0.0
1,BS_3,BS,0.332871,0.742433,1.0,2.2303,1,1,1,7,0.0
1,BS_4,BS,0.332871,0.817566,1.0,1.790986,1,1,1,2,0.0
1,HAP_0,HAP,0.332871,0.689808,1.0,1.333605,1,1,1,4,0.0
1,HAP_1,HAP,0.904837,0.943132,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.847563,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.956594,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.933064,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.524543,0.780467,0.545229,1.698423,1,1,1,7,0.0
2,BS_1,BS,0.661071,0.823817,0.313894,1.351482,1,1,1,3,0.0
2,BS_2,BS,0.493394,0.759043,0.606447,2.05275,1,1,1,14,0.0
2,BS_3,BS,0.533684,0.749688,0.527951,1.669196,1,1,1,7,0.0
2,BS_4,BS,0.62413,0.819291,0.371396,1.272764,1,1,1,2,0.0
2,HAP_0,HAP,0.759128,0.754791,0.175585,0.891122,1,1,1,3,0.0
2,HAP_1,HAP,0.472367,0.887067,0.65,0.332719,1,1,1,0,1.677347
2,HAP_2,HAP,0.472367,0.820169,0.65,0.332719,1,1,1,0,1.619295
2,LEO_0,LEO,0.472367,0.896491,0.65,0.332719,1,1,1,0,2.062179
2,LEO_1,LEO,0.472367,0.88002,0.65,0.332719,1,1,1,0,1.866993
3,BS_0,BS,0.6765,0.797653,0.290822,1.17058,1,1,1,8,0.230114
3,BS_1,BS,0.726696,0.835759,0.219248,0.916318,1,1,1,2,0.545523
3,BS_2,BS,0.678699,0.782948,0.287577,1.399414,1,1,1,13,0.311444
3,BS_3,BS,0.666024,0.774703,0.306429,1.158923,1,1,1,10,0.732639
3,BS_4,BS,0.729181,0.832613,0.215833,0.863982,1,1,1,3,0.344809
3,HAP_0,HAP,0.622137,0.77572,0.374594,0.689732,1,1,1,4,3.289257
3,HAP_1,HAP,0.866386,0.906556,0.043425,0.217752,1,1,1,0,0.550212
3,HAP_2,HAP,0.832877,0.855289,0.082869,0.221675,1,1,1,0,0.641237
3,LEO_0,LEO,0.821131,0.907116,0.097073,0.223688,1,1,1,0,0.674015
3,LEO_1,LEO,0.746254,0.88483,0.192689,0.245506,1,1,1,0,0.894666
4,BS_0,BS,0.669767,0.808783,0.300825,0.832142,1,1,1,8,1.029375
4,BS_1,BS,0.733181,0.84406,0.210363,0.630456,1,1,1,3,0.913726
4,BS_2,BS,0.669442,0.798446,0.301311,0.981115,1,1,1,12,0.772364
