slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.367879,0.791414,1.0,1.979304,1,1,1,3,0.0
1,BS_1,BS,0.498404,0.788196,0.696344,0.381855,1,1,1,1,0.0
1,BS_2,BS,0.442443,0.715829,0.815444,0.523648,1,1,1,1,0.0
1,BS_3,BS,0.367879,0.693375,1.0,2.087127,1,1,1,4,0.0
1,BS_4,BS,0.367879,0.699165,1.0,2.069331,1,1,1,5,0.0
1,HAP_0,HAP,1.0,0.955849,0.0,0.0,1,0,1,0,0.0
1,HAP_1,HAP,0.429495,0.876732,0.845145,0.562488,1,1,1,2,0.0
1,HAP_2,HAP,1.0,0.840682,0.0,0.0,1,0,1,0,0.0
1,LEO_0,LEO,1.0,0.843984,0.0,0.0,1,0,1,0,0.0
1,LEO_1,LEO,1.0,0.89178,0.0,0.0,1,0,1,0,0.0
