slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,255.284603,0.0,0.52311,2.001387,5,5,1,1,3
2,446.138602,0.0,0.458381,4.120531,7,7,1,1,4
3,250.345647,0.0,0.770727,5.418401,8,8,1,1,2
4,89.718661,0.0,0.693334,5.289484,8,8,1,1,0
5,221.925527,0.0,0.524777,3.963761,9,7,1,1,1
6,476.284307,0.0,0.359551,3.207494,7,7,1,1,4
7,386.343367,0.0,0.384249,3.57333,6,6,1,1,5
8,292.122051,0.0,0.504821,4.589103,7,7,1,1,2
9,429.968344,0.0,0.36157,3.597965,9,6,1,1,4
10,364.728666,0.0,0.31985,3.370662,7,7,1,1,3
11,204.385937,0.0,0.481035,4.133561,7,7,1,1,1
12,106.385796,0.0,0.456763,4.50877,6,5,1,1,0
13,268.601165,0.0,0.387211,4.409008,8,6,1,1,2
14,237.749041,0.0,0.438515,4.249289,7,6,1,1,2
15,97.408573,0.0,0.541309,4.495988,7,6,1,1,0
16,345.166938,0.0,0.283609,2.953306,6,6,1,1,3
17,592.243312,0.0,0.389481,3.416592,8,6,1,1,5
18,248.105135,0.0,0.506913,5.098351,8,8,1,1,1
19,224.484714,0.0,0.331922,4.476982,7,7,1,1,2
20,386.89137,0.0,0.307065,2.970235,7,7,1,1,2
21,747.38847,0.0,0.232846,3.11505,8,6,1,1,7
22,110.717091,0.0,0.458524,4.523796,7,6,1,1,0
23,500.225235,0.0,0.356016,3.764496,6,6,1,1,4
24,595.596788,0.0,0.307513,3.639743,7,7,1,1,5
25,319.497258,0.0,0.457514,4.341631,8,6,1,1,2
26,406.058541,0.0,0.412595,3.656284,8,7,1,1,4
27,321.603921,0.0,0.493194,3.755445,6,6,1,1,2
28,440.888582,0.0,0.404147,3.941518,7,7,1,1,4
29,447.742483,0.0,0.410273,4.256098,9,7,1,1,5
30,476.249599,0.0,0.32643,4.118378,7,6,1,1,4
31,272.916155,0.0,0.40347,3.732245,7,7,1,1,2
32,529.557532,0.0,0.312901,3.688727,6,6,1,1,5
33,587.858265,0.0,0.348582,3.011575,9,7,1,1,6
34,332.931631,0.0,0.311613,3.69863,8,7,1,1,2
35,541.417417,0.0,0.262485,3.063164,6,6,1,1,5
36,280.208058,0.0,0.446011,4.541524,7,7,1,1,3
37,133.393483,0.0,0.42568,4.562585,9,7,1,1,0
38,259.932038,0.0,0.437683,4.112583,7,7,1,1,2
39,495.181544,0.0,0.380879,3.584872,7,7,1,1,5
40,261.586175,0.0,0.403881,3.434896,6,5,1,1,1
41,406.743242,0.0,0.445172,4.024445,8,6,1,1,5
42,468.163739,0.0,0.310289,4.018182,7,6,1,1,4
43,395.380713,0.0,0.486617,3.861391,8,7,1,1,5
44,324.165476,0.0,0.356112,3.34878,6,6,1,1,3
45,425.908276,0.0,0.396977,3.882572,9,7,1,1,4
46,203.321496,0.0,0.559009,5.562084,7,7,1,1,1
47,371.823117,0.0,0.441697,3.600917,6,6,1,1,2
48,493.824581,0.0,0.367078,3.547728,6,6,1,1,5
49,305.222346,0.0,0.397572,3.662209,9,6,1,1,2
50,586.269378,0.0,0.2984,3.440028,8,8,1,1,5
