slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_0,BS_4,LEO_1,89.000969,88.876005,0.0,0.005932,0.095163
1,T1_UAV_3,BS_4,LEO_0,33.77071,33.639536,0.0,0.012142,0.095163
1,T1_UAV_5,BS_1,HAP_1,25.562738,25.431352,0.0,0.012354,0.095163
1,T1_UAV_8,BS_0,HAP_2,30.305069,30.146765,0.0,0.039271,0.095163
1,T1_UAV_7,BS_1,HAP_0,42.848389,42.685123,0.0,0.044233,0.095163
1,T1_UAV_9,BS_4,LEO_1,62.416004,62.28593,0.0,0.011042,0.095163
1,T1_UAV_6,BS_0,LEO_0,71.107629,70.96483,0.0,0.023766,0.095163
2,T2_UAV_0,BS_4,LEO_1,72.335272,72.178534,0.0,0.017394,0.196723
2,T2_UAV_6,BS_0,LEO_0,86.865745,86.710921,0.0,0.015656,0.195835
2,T2_UAV_7,BS_1,HAP_2,33.119691,33.039113,0.0,0.031257,0.246603
2,T2_UAV_5,BS_1,HAP_1,39.788136,39.632809,0.0,0.017363,0.189823
2,T2_UAV_4,BS_2,HAP_0,61.085054,60.923543,0.0,0.020955,0.20278
2,T2_UAV_9,BS_4,LEO_1,62.5383,62.38548,0.0,0.013475,0.196723
2,T2_UAV_1,BS_0,LEO_0,63.042571,62.89446,0.0,0.008943,0.195835
3,T3_UAV_3,BS_4,LEO_1,132.849377,132.68002,0.0,0.025634,0.218616
3,T3_UAV_6,BS_0,LEO_0,35.713078,35.543572,0.0,0.03214,0.186828
3,T3_UAV_8,BS_0,HAP_1,28.860583,28.81366,0.0,0.00792,0.195018
3,T3_UAV_7,BS_1,HAP_0,41.991436,41.931262,0.0,0.018584,0.207953
3,T3_UAV_5,BS_1,LEO_0,46.815916,46.635994,0.0,0.042556,0.186828
3,T3_UAV_0,BS_4,HAP_2,58.927532,58.77052,0.0,0.008529,0.242414
3,T3_UAV_4,BS_2,LEO_1,104.913983,104.761705,0.0,0.008554,0.218616
4,T4_UAV_6,BS_0,LEO_1,91.406848,91.340523,0.0,0.022835,0.21745
4,T4_UAV_9,BS_4,LEO_0,63.425735,63.368974,0.0,0.012205,0.222778
4,T4_UAV_3,BS_4,HAP_2,35.688709,35.632401,0.0,0.014707,0.208006
4,T4_UAV_2,BS_0,HAP_0,42.065624,41.998745,0.0,0.005447,0.307156
4,T4_UAV_4,BS_2,HAP_1,63.571718,63.500765,0.0,0.005172,0.328905
4,T4_UAV_7,BS_1,LEO_1,89.817055,89.7629,0.0,0.010665,0.21745
5,T5_UAV_5,BS_1,BS_3,1101.757888,1101.635427,0.0,0.003429,0.095163
5,T5_UAV_8,BS_0,BS_3,1281.995216,1281.865793,0.0,0.010391,0.095163
5,T5_UAV_6,BS_0,BS_3,1364.305538,1364.17032,0.0,0.016186,0.095163
5,T5_UAV_1,BS_0,BS_3,573.421656,573.291059,0.0,0.011565,0.095163
5,T5_UAV_3,BS_4,BS_3,780.400333,780.277388,0.0,0.003912,0.095163
5,T5_UAV_7,BS_1,BS_3,1090.278297,1090.149041,0.0,0.010224,0.095163
5,T5_UAV_4,BS_2,BS_3,1168.271444,1168.144304,0.0,0.008107,0.095163
6,T6_UAV_6,BS_0,LEO_0,110.213171,110.057982,0.0,0.017467,0.188615
6,T6_UAV_0,BS_4,HAP_1,128.211638,128.082029,0.0,0.006464,0.115728
6,T6_UAV_7,BS_1,HAP_0,160.424879,160.281128,0.0,0.017076,0.133377
6,T6_UAV_5,BS_1,LEO_1,18.098942,18.015255,0.0,0.005816,0.389355
6,T6_UAV_9,BS_4,LEO_0,52.16493,52.00572,0.0,0.021487,0.188615
6,T6_UAV_1,BS_0,HAP_2,36.184151,36.100018,0.0,0.009651,0.372407
6,T6_UAV_4,BS_2,HAP_1,65.575098,65.448928,0.0,0.003024,0.115728
6,T6_UAV_8,BS_0,HAP_0,69.965011,69.824878,0.0,0.013457,0.133377
6,T6_UAV_3,BS_4,LEO_0,110.191752,110.049607,0.0,0.004422,0.188615
6,T6_UAV_2,BS_3,BS_0,111.787932,111.593575,0.0,0.036511,0.289232
7,T7_UAV_9,BS_4,LEO_1,130.85537,130.708514,0.0,0.014039,0.164082
7,T7_UAV_5,BS_1,HAP_2,140.185789,140.043208,0.0,0.015173,0.137044
7,T7_UAV_6,BS_0,LEO_1,158.436019,158.292594,0.0,0.010608,0.164082
7,T7_UAV_7,BS_1,LEO_0,22.192506,22.017037,0.0,0.018481,0.284938
7,T7_UAV_1,BS_0,HAP_1,56.145518,56.093636,0.0,0.004869,0.235065
7,T7_UAV_4,BS_2,HAP_0,80.073166,79.907196,0.0,0.012177,0.268967
7,T7_UAV_3,BS_4,HAP_2,87.428446,87.296661,0.0,0.004377,0.137044
7,T7_UAV_2,BS_3,LEO_1,196.116376,195.973768,0.0,0.009791,0.164082
8,T8_UAV_6,BS_0,LEO_1,80.724379,80.579418,0.0,0.004118,0.204213
8,T8_UAV_7,BS_1,LEO_0,100.972668,100.915725,0.0,0.017458,0.197426
8,T8_UAV_8,BS_0,HAP_0,171.146659,171.102254,0.0,0.007711,0.183473
8,T8_UAV_2,BS_3,HAP_2,50.25048,50.110195,0.0,0.002449,0.189183
8,T8_UAV_0,BS_4,LEO_1,35.280128,35.13601,0.0,0.003275,0.204213
8,T8_UAV_1,BS_0,LEO_0,41.896276,41.832489,0.0,0.024303,0.197426
