slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,106.562338,0.0,0.142314,0.761301,4,4,1,1,0
2,105.018556,0.0,0.214368,2.160652,7,7,1,1,0
3,94.793742,0.0,0.157471,2.296272,8,8,1,1,0
4,67.592311,0.0,0.113157,1.504724,6,6,1,1,0
5,80.658118,0.0,0.049252,1.04449,6,5,1,1,0
6,90.418247,0.0,0.16889,2.528756,7,7,1,1,0
7,157.495216,0.0,0.075697,1.330159,7,5,1,1,0
8,61.503076,0.0,0.126813,1.874039,9,9,1,1,0
9,90.467964,0.0,0.115528,1.665472,6,6,1,1,0
10,277.290162,0.0,0.11212,2.443572,5,5,1,1,0
11,95.586358,0.0,0.063949,1.401553,7,7,1,1,0
12,72.252816,0.0,0.084341,1.170756,7,7,1,1,0
13,128.926094,0.0,0.070545,1.51323,7,6,1,1,0
14,99.561394,0.0,0.053025,1.678341,7,7,1,1,0
15,95.14101,0.0,0.08029,1.665178,7,6,1,1,0
16,92.40187,0.0,0.097615,1.676927,9,8,1,1,0
17,121.729401,0.0,0.091245,1.767556,7,7,1,1,0
18,104.696419,0.0,0.136539,2.319238,7,6,1,1,0
19,168.700165,0.0,0.147292,1.938704,7,7,1,1,0
20,100.60784,0.0,0.146092,1.596806,9,7,1,1,0
21,90.391721,0.0,0.094031,1.989436,8,8,1,1,0
22,69.92857,0.0,0.06091,1.321335,7,7,1,1,0
23,106.249615,0.0,0.1518,2.058466,6,6,1,1,0
24,109.636834,0.0,0.156265,2.582931,6,6,1,1,0
25,101.496867,0.0,0.092857,1.710265,8,7,1,1,0
26,128.81723,0.0,0.143269,2.175642,7,7,1,1,0
27,94.692473,0.0,0.101258,1.828997,8,8,1,1,0
28,110.902791,0.0,0.15017,2.431795,6,6,1,1,0
29,126.941786,0.0,0.156274,2.110577,8,7,1,1,0
30,140.982236,0.0,0.110059,1.846551,7,7,1,1,0
31,70.388381,0.0,0.074501,1.624068,7,8,1,1,0
32,83.804778,0.0,0.070751,1.396924,6,6,1,1,0
33,128.467093,0.0,0.09075,1.29546,9,8,1,1,0
34,100.390595,0.0,0.103038,2.04773,5,5,1,1,0
35,125.513215,0.0,0.079277,1.618951,6,5,1,1,0
36,61.467524,0.0,0.082001,1.882991,7,7,1,1,0
37,105.307719,0.0,0.051862,1.432009,8,6,1,1,0
38,108.959644,0.0,0.076866,2.069175,5,5,1,1,0
39,109.743016,0.0,0.099109,2.016919,7,7,1,1,0
40,87.815987,0.0,0.107079,1.605402,8,7,1,1,0
