slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,193.443447,0.0,0.326118,1.237114,4,4,1,1,0
2,318.57468,0.0,0.209465,2.361851,8,8,1,1,0
3,190.068887,0.0,0.608457,4.890203,10,10,1,1,0
4,196.355517,0.0,0.283466,2.681447,9,9,1,1,0
5,155.562674,0.0,0.505808,4.273233,10,10,1,1,0
6,220.969969,0.0,0.276271,3.669145,9,9,1,1,0
7,229.799489,0.0,0.287647,4.504665,9,9,1,1,0
8,181.742642,0.0,0.282571,3.950834,9,9,1,1,0
9,245.377408,0.0,0.336527,3.949704,10,9,1,1,0
10,223.130399,0.0,0.326444,4.165887,9,9,1,1,0
11,225.563999,0.0,0.321596,4.467952,9,9,1,1,0
12,187.798313,0.0,0.469572,4.227332,9,9,1,1,0
13,214.075101,0.0,0.243222,3.486021,10,9,1,1,0
14,169.254619,0.0,0.475344,4.569247,10,10,1,1,0
15,240.657505,0.0,0.306587,3.59219,9,9,1,1,0
16,184.36037,0.0,0.423095,3.749451,9,9,1,1,0
17,175.591851,0.0,0.346297,3.161773,9,9,1,1,0
18,181.324536,0.0,0.460891,4.903693,10,10,1,1,0
19,198.939299,0.0,0.344549,3.747336,9,9,1,1,0
20,257.761497,0.0,0.354482,4.55794,9,9,1,1,0
21,188.529587,0.0,0.265105,3.704713,9,9,1,1,0
22,229.36472,0.0,0.313972,4.073066,10,9,1,1,0
23,215.875031,0.0,0.332983,4.060288,9,9,1,1,0
24,192.461509,0.0,0.369868,4.63485,9,9,1,1,0
25,176.459424,0.0,0.327694,3.25448,10,10,1,1,0
26,257.478849,0.0,0.365242,4.225237,10,10,1,1,0
27,205.247621,0.0,0.40758,4.220232,10,10,1,1,0
28,196.643455,0.0,0.276215,3.891876,10,10,1,1,0
29,195.651839,0.0,0.331842,4.092549,10,10,1,1,0
30,220.504591,0.0,0.301974,4.17852,10,10,1,1,0
31,199.784887,0.0,0.386428,4.337381,10,10,1,1,0
32,205.89665,0.0,0.381831,3.678551,10,10,1,1,0
33,191.220094,0.0,0.347731,3.629913,9,9,1,1,0
34,224.303513,0.0,0.317737,4.610687,9,9,1,1,0
35,194.699866,0.0,0.483083,4.012366,10,10,1,1,0
36,131.097027,0.0,0.162193,2.513785,10,10,1,1,0
37,221.07591,0.0,0.506257,4.715755,9,9,1,1,0
38,185.522229,0.0,0.234617,3.308213,9,9,1,1,0
39,250.699626,0.0,0.479576,4.529983,10,10,1,1,0
40,154.366017,0.0,0.336413,3.726245,9,9,1,1,0
