slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.788625,1.0,2.06313,1,1,1,4,0.0
1,BS_1,BS,0.390034,0.844837,0.841522,0.557676,1,1,1,1,0.0
1,BS_2,BS,0.332871,0.76589,1.0,2.09764,1,1,1,6,0.0
1,BS_3,BS,0.332871,0.742433,1.0,1.985042,1,1,1,4,0.0
1,BS_4,BS,0.355186,0.834594,0.935114,0.68862,1,1,1,2,0.0
1,HAP_0,HAP,0.415326,0.72109,0.778692,0.47751,1,1,1,2,0.0
1,HAP_1,HAP,0.904837,0.943132,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.847563,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.956594,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.933064,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.744267,0.82243,0.195355,1.371088,1,1,1,1,0.0
2,BS_1,BS,0.586837,0.84685,0.433008,0.510142,1,1,1,1,0.0
2,BS_2,BS,0.548258,0.768532,0.501009,1.561136,1,1,1,3,0.0
2,BS_3,BS,0.787174,0.790352,0.139307,1.30556,1,1,1,2,0.0
2,BS_4,BS,0.62203,0.84433,0.374767,0.558208,1,1,1,1,0.0
2,HAP_0,HAP,0.550747,0.754467,0.496479,0.504493,1,1,1,2,0.0
2,HAP_1,HAP,0.624889,0.918547,0.370181,0.107914,1,1,1,0,0.854264
2,HAP_2,HAP,0.56825,0.840959,0.465195,0.17042,1,1,1,0,1.073526
2,LEO_0,LEO,0.542629,0.912091,0.511329,0.205897,1,1,1,0,1.179989
2,LEO_1,LEO,0.572105,0.901571,0.458432,0.165501,1,1,1,0,1.05792
3,BS_0,BS,0.613642,0.821916,0.388344,1.009971,1,1,1,4,0.643977
3,BS_1,BS,0.723729,0.870747,0.223338,0.370873,1,1,1,0,0.0
3,BS_2,BS,0.668572,0.788237,0.302612,1.086853,1,1,1,6,0.0
3,BS_3,BS,0.664303,0.804925,0.309017,0.923814,1,1,1,4,0.0
3,BS_4,BS,0.498902,0.823978,0.595345,0.641953,1,1,1,2,0.0
3,HAP_0,HAP,0.558516,0.775993,0.482473,0.511235,1,1,1,2,0.139316
3,HAP_1,HAP,0.810533,0.925187,0.110063,0.079684,1,1,1,0,0.510271
3,HAP_2,HAP,0.778476,0.878465,0.050417,0.112775,2,0,0,0,0.205711
3,LEO_0,LEO,0.784771,0.928126,0.042363,0.135247,2,0,0,0,0.256236
3,LEO_1,LEO,0.764592,0.916699,0.068413,0.111261,2,0,0,0,0.475251
4,BS_0,BS,0.676654,0.827971,0.290595,0.722982,1,1,1,4,0.0
4,BS_1,BS,0.591794,0.863656,0.424597,0.38304,1,1,1,1,0.489701
4,BS_2,BS,0.663017,0.80128,0.310955,0.7826,1,1,1,4,0.0
4,BS_3,BS,0.693708,0.81773,0.265704,0.656075,1,1,1,4,0.0
4,BS_4,BS,0.745998,0.84734,0.193033,0.446613,1,1,1,2,0.0
4,HAP_0,HAP,0.602964,0.80093,0.405898,0.462046,1,1,1,1,0.165873
4,HAP_1,HAP,0.583885,0.891326,0.438052,0.202908,1,1,1,0,1.448013
4,HAP_2,HAP,0.733991,0.907497,0.009258,0.073371,3,0,0,0,0.472921
4,LEO_0,LEO,0.676038,0.931916,0.091505,0.094504,3,0,0,0,0.743928
4,LEO_1,LEO,0.771843,0.9171,0.158974,0.092222,1,1,1,0,0.758578
5,BS_0,BS,0.566367,0.824407,0.468513,0.642798,1,1,1,2,0.0
5,BS_1,BS,0.752865,0.885333,0.183869,0.2756,1,1,1,0,0.0
5,BS_2,BS,0.656906,0.809577,0.320214,0.589438,1,1,1,4,0.0
5,BS_3,BS,0.686598,0.825315,0.276007,0.48644,1,1,1,5,0.0
5,BS_4,BS,0.743991,0.861008,0.195727,0.320467,1,1,1,2,0.225315
5,HAP_0,HAP,0.511317,0.796165,0.570766,0.556876,1,1,1,2,0.441709
5,HAP_1,HAP,0.762752,0.898968,0.170822,0.154869,1,1,1,0,0.3773
5,HAP_2,HAP,0.632524,0.921915,0.058037,0.050344,4,0,0,0,0.594975
5,LEO_0,LEO,0.811728,0.932646,0.10859,0.070714,1,1,1,0,0.67523
5,LEO_1,LEO,0.781695,0.927733,0.04629,0.061632,2,0,0,0,0.663854
6,BS_0,BS,0.744706,0.847295,0.194766,0.447691,1,1,1,3,0.0
6,BS_1,BS,0.578308,0.874123,0.447649,0.336947,1,1,1,1,0.0
6,BS_2,BS,0.585841,0.809615,0.434707,0.531949,1,1,1,3,0.0
6,BS_3,BS,0.667659,0.827948,0.303977,0.388953,1,1,1,4,0.0
6,BS_4,BS,0.740179,0.869011,0.200863,0.240076,1,1,1,2,0.0
6,HAP_0,HAP,0.737149,0.829038,0.204965,0.395053,1,1,1,0,0.537428
6,HAP_1,HAP,0.803914,0.910363,0.118263,0.111679,1,1,1,0,0.504164
6,HAP_2,HAP,0.875005,0.934766,0.033526,0.033609,1,1,0,0,0.484056
6,LEO_0,LEO,0.779649,0.927034,0.148912,0.063427,1,1,1,0,0.917366
