slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.788625,1.0,2.022959,1,1,1,4,0.0
1,BS_1,BS,0.417164,0.852855,0.774275,0.472108,1,1,1,1,0.0
1,BS_2,BS,0.332871,0.76589,1.0,1.994628,1,1,1,5,0.0
1,BS_3,BS,0.332871,0.742433,1.0,2.267821,1,1,1,7,0.0
1,BS_4,BS,0.332871,0.823207,1.0,1.125779,1,1,1,2,0.0
1,HAP_0,HAP,0.393017,0.714647,0.833903,0.547622,1,1,1,2,0.0
1,HAP_1,HAP,0.904837,0.943132,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.847563,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.956594,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.933064,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.530583,0.781497,0.533779,1.539298,1,1,1,6,0.0
2,BS_1,BS,0.549363,0.846694,0.498996,0.502955,1,1,1,1,0.0
2,BS_2,BS,0.50885,0.761819,0.575603,1.557422,1,1,1,8,0.0
2,BS_3,BS,0.547888,0.752052,0.501684,1.672286,1,1,1,5,0.0
2,BS_4,BS,0.504417,0.805072,0.584351,1.000661,1,1,1,3,0.0
2,HAP_0,HAP,0.472406,0.726709,0.649916,0.688588,1,1,1,3,0.700844
2,HAP_1,HAP,0.602823,0.914502,0.406132,0.129893,1,1,1,0,0.937228
2,HAP_2,HAP,0.613704,0.849616,0.388243,0.118702,1,1,1,0,0.895946
2,LEO_0,LEO,0.608267,0.924937,0.397142,0.124206,1,1,1,0,0.916482
2,LEO_1,LEO,0.605698,0.90799,0.401374,0.126867,1,1,1,0,0.926247
3,BS_0,BS,0.688635,0.799974,0.273044,1.059254,1,1,1,4,0.747991
3,BS_1,BS,0.449739,0.813255,0.699087,0.71179,1,1,1,1,0.99777
3,BS_2,BS,0.654279,0.781593,0.324221,1.095106,1,1,1,7,0.940675
3,BS_3,BS,0.686299,0.779056,0.276441,1.147167,1,1,1,6,0.777181
3,BS_4,BS,0.671985,0.815645,0.297519,0.720137,1,1,1,3,0.954393
3,HAP_0,HAP,0.628433,0.762457,0.364526,0.552225,1,1,1,2,0.293013
3,HAP_1,HAP,0.801044,0.925988,0.12184,0.096121,1,1,1,0,0.0
3,HAP_2,HAP,0.805354,0.881192,0.116473,0.08784,1,1,1,0,0.0
3,LEO_0,LEO,0.803207,0.933606,0.119143,0.091912,1,1,1,0,0.0
3,LEO_1,LEO,0.802188,0.921595,0.120412,0.093882,1,1,1,0,0.0
4,BS_0,BS,0.672133,0.810725,0.297299,0.75812,1,1,1,4,0.0
4,BS_1,BS,0.607306,0.824847,0.398723,0.58786,1,1,1,1,0.0
4,BS_2,BS,0.665927,0.797023,0.306576,0.785835,1,1,1,6,0.0
4,BS_3,BS,0.645226,0.792406,0.338155,0.835708,1,1,1,4,0.0
4,BS_4,BS,0.715602,0.827858,0.234631,0.511442,1,1,1,3,0.0
4,HAP_0,HAP,0.618424,0.788999,0.380581,0.473009,1,1,1,1,0.484056
4,HAP_1,HAP,0.68298,0.912389,0.28129,0.124789,1,1,1,0,0.96076
4,HAP_2,HAP,0.705266,0.884827,0.249181,0.105992,1,1,1,0,0.872934
4,LEO_0,LEO,0.672089,0.916005,0.297365,0.129379,1,1,1,0,0.990957
4,LEO_1,LEO,0.701791,0.912419,0.254119,0.111877,1,1,1,0,0.894406
5,BS_0,BS,0.657315,0.816244,0.319591,0.573212,1,1,1,5,0.851151
5,BS_1,BS,0.534911,0.812468,0.525655,0.599706,1,1,1,1,0.975896
5,BS_2,BS,0.652167,0.805945,0.327455,0.595234,1,1,1,6,0.798855
5,BS_3,BS,0.648673,0.802229,0.332827,0.630445,1,1,1,6,0.964076
5,BS_4,BS,0.706646,0.834934,0.247226,0.38057,1,1,1,3,0.939618
5,HAP_0,HAP,0.572686,0.79706,0.457418,0.472226,1,1,1,3,0.478823
5,HAP_1,HAP,0.737492,0.916597,0.204501,0.114046,1,1,1,0,0.0
5,HAP_2,HAP,0.74858,0.898963,0.189577,0.097197,1,1,1,0,0.0
5,LEO_0,LEO,0.735898,0.918839,0.206664,0.11773,1,1,1,0,0.0
5,LEO_1,LEO,0.772414,0.920187,0.158235,0.092438,1,1,1,0,0.084708
6,BS_0,BS,0.651685,0.819333,0.328195,0.457411,1,1,1,4,0.0
6,BS_1,BS,0.564387,0.817937,0.472015,0.565262,1,1,1,1,0.0
6,BS_2,BS,0.647709,0.811574,0.334313,0.474917,1,1,1,8,0.0
6,BS_3,BS,0.62637,0.805957,0.367815,0.516328,1,1,1,8,0.0
6,BS_4,BS,0.733008,0.843064,0.210599,0.282297,1,1,1,3,0.0
6,HAP_0,HAP,0.608993,0.808416,0.395948,0.430407,1,1,1,3,0.270594
6,HAP_1,HAP,0.701079,0.907634,0.255134,0.125391,1,1,1,0,0.998637
6,HAP_2,HAP,0.695211,0.89478,0.26354,0.117873,1,1,1,0,0.984851
6,LEO_0,LEO,0.705239,0.909758,0.249218,0.125436,1,1,1,0,0.993025
6,LEO_1,LEO,0.738986,0.915841,0.202476,0.092369,1,1,1,0,0.879408
7,BS_0,BS,0.64953,0.821198,0.331506,0.38386,1,1,1,5,0.777787
7,BS_1,BS,0.740608,0.842185,0.200284,0.39901,1,1,1,0,0.967925
7,BS_2,BS,0.640402,0.814492,0.345659,0.402787,1,1,1,4,0.902783
7,BS_3,BS,0.646408,0.811401,0.336325,0.424691,1,1,1,7,0.911423
7,BS_4,BS,0.68658,0.842824,0.276032,0.243496,1,1,1,3,0.91651
7,HAP_0,HAP,0.612688,0.812374,0.389899,0.399481,1,1,1,3,0.668212
7,HAP_1,HAP,0.719573,0.910868,0.229097,0.122837,1,1,1,0,0.0
7,HAP_2,HAP,0.726827,0.902858,0.219067,0.11441,1,1,1,0,0.0
7,LEO_0,LEO,0.718535,0.912232,0.230541,0.123389,1,1,1,0,0.0
7,LEO_1,LEO,0.760186,0.920858,0.174192,0.083935,1,1,1,0,0.105618
8,BS_0,BS,0.636074,0.820619,0.35244,0.347327,1,1,1,6,0.0
8,BS_1,BS,0.634594,0.853279,0.35477,0.358473,1,1,1,0,0.0
8,BS_2,BS,0.648276,0.817635,0.333438,0.349366,1,1,1,6,0.0
8,BS_3,BS,0.646341,0.815202,0.336427,0.365181,1,1,1,7,0.0
8,BS_4,BS,0.722587,0.847242,0.224917,0.19811,1,1,1,4,0.0
8,HAP_0,HAP,0.697799,0.82865,0.259824,0.312826,1,1,1,3,0.283892
8,HAP_1,HAP,0.738208,0.909049,0.203529,0.112465,1,1,1,0,0.911888
8,HAP_2,HAP,0.777377,0.909423,0.15183,0.09252,1,1,1,0,0.778757
8,LEO_0,LEO,0.722921,0.907646,0.224456,0.119877,1,1,1,0,0.960839
8,LEO_1,LEO,0.763519,0.919571,0.169817,0.077268,1,1,1,0,0.836129
