slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_18,BS_0,LEO_1,167.288218,167.134901,0.0,0.034284,0.095163
1,T1_UAV_4,BS_1,LEO_1,188.342021,188.195914,0.0,0.027075,0.095163
1,T1_UAV_32,HAP_1,LEO_1,163.352124,163.184188,0.0,0.048904,0.095163
1,T1_UAV_21,BS_3,LEO_1,169.815628,169.68117,0.0,0.015425,0.095163
1,T1_UAV_13,BS_4,LEO_1,214.186278,214.049923,0.0,0.017322,0.095163
1,T1_UAV_20,BS_3,LEO_1,220.624745,220.488033,0.0,0.017679,0.095163
1,T1_UAV_1,BS_3,LEO_1,244.369391,244.217137,0.0,0.033221,0.095163
1,T1_UAV_33,HAP_1,LEO_1,414.845913,414.682689,0.0,0.044192,0.095163
1,T1_UAV_11,BS_4,LEO_0,290.492868,290.335246,0.0,0.038589,0.095163
1,T1_UAV_28,BS_4,LEO_0,123.19585,123.023264,0.0,0.053554,0.095163
1,T1_UAV_25,BS_2,LEO_0,140.095746,139.929878,0.0,0.046835,0.095163
1,T1_UAV_7,BS_4,LEO_0,127.834111,127.659659,0.0,0.05542,0.095163
1,T1_UAV_0,BS_3,LEO_0,235.850205,235.655273,0.0,0.0759,0.095163
1,T1_UAV_38,BS_1,LEO_0,231.053959,230.87506,0.0,0.059866,0.095163
1,T1_UAV_5,BS_3,HAP_0,286.524994,286.402097,0.0,0.003864,0.095163
1,T1_UAV_19,BS_4,HAP_0,110.575197,110.449298,0.0,0.006866,0.095163
1,T1_UAV_16,BS_0,HAP_0,172.377197,172.248555,0.0,0.00961,0.095163
1,T1_UAV_6,HAP_1,HAP_2,111.797186,111.634336,0.0,0.043817,0.095163
1,T1_UAV_9,BS_0,HAP_2,136.005208,135.858643,0.0,0.027532,0.095163
1,T1_UAV_26,HAP_1,HAP_1,134.634547,134.356841,0.0,0.04428,0.667129
1,T1_UAV_34,BS_3,HAP_1,143.213299,142.944246,0.0,0.035626,0.667129
1,T1_UAV_36,BS_4,HAP_2,235.614676,235.440862,0.0,0.054782,0.095163
1,T1_UAV_12,BS_1,BS_2,113.01526,112.720382,0.0,0.061452,0.667129
1,T1_UAV_29,BS_4,HAP_1,221.85129,221.602383,0.0,0.015481,0.667129
1,T1_UAV_23,BS_0,BS_1,143.231927,142.877479,0.0,0.121022,0.667129
