slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.797603,1.0,1.929827,1,1,1,4,0.0
1,BS_1,BS,0.332871,0.725159,1.0,1.157715,1,1,1,3,0.0
1,BS_2,BS,0.904837,0.918454,0.0,0.0,1,0,0,0,0.0
1,BS_3,BS,0.404142,0.747745,0.80599,0.511576,1,1,1,1,0.0
1,BS_4,BS,0.332871,0.82409,1.0,2.051858,1,1,1,5,0.0
1,HAP_0,HAP,0.904837,0.838271,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.931704,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.920331,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.834924,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.922126,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.687733,0.814921,0.274354,1.313663,1,1,1,2,0.0
2,BS_1,BS,0.551024,0.746153,0.495977,0.946234,1,1,1,3,0.0
2,BS_2,BS,0.517135,0.885237,0.559451,0.246476,1,1,1,1,0.476644
2,BS_3,BS,0.547852,0.770922,0.50175,0.53078,1,1,1,2,0.0
2,BS_4,BS,0.524819,0.80534,0.544702,1.567359,1,1,1,5,0.0
2,HAP_0,HAP,0.81488,0.87501,0.104715,0.008635,1,1,1,0,0.241649
2,HAP_1,HAP,0.724706,0.927219,0.221989,0.038807,1,1,1,0,0.512283
2,HAP_2,HAP,0.726416,0.919523,0.219633,0.037988,1,1,1,0,0.506846
2,LEO_0,LEO,0.709258,0.857049,0.243536,0.046706,1,1,1,0,0.562005
2,LEO_1,LEO,0.71484,0.918972,0.235697,0.043748,1,1,1,0,0.543916
3,BS_0,BS,0.659918,0.820864,0.31564,0.932338,1,1,1,5,0.0
3,BS_1,BS,0.612268,0.766642,0.390586,0.735191,1,1,1,4,0.0
3,BS_2,BS,0.49347,0.855905,0.606294,0.449689,1,1,1,1,0.0
3,BS_3,BS,0.576285,0.789111,0.451153,0.505294,1,1,1,2,0.0
3,BS_4,BS,0.68012,0.815544,0.285486,1.082966,1,1,1,6,0.0
3,HAP_0,HAP,0.497259,0.843628,0.598643,0.287832,1,1,1,0,1.453979
3,HAP_1,HAP,0.812962,0.945011,0.007071,0.025264,2,0,0,0,0.170004
3,HAP_2,HAP,0.809796,0.939713,0.010972,0.024787,2,0,0,0,0.126733
3,LEO_0,LEO,0.789573,0.892293,0.036262,0.031395,2,0,0,0,0.252284
3,LEO_1,LEO,0.797581,0.936889,0.026172,0.028976,2,0,0,0,0.223572
4,BS_0,BS,0.69526,0.828857,0.263469,0.660685,1,1,1,6,0.0
4,BS_1,BS,0.713849,0.799718,0.237084,0.522139,1,1,1,2,0.0
4,BS_2,BS,0.529816,0.838585,0.535226,0.51789,1,1,1,2,0.0
4,BS_3,BS,0.613243,0.804381,0.388995,0.447603,1,1,1,2,0.0
4,BS_4,BS,0.6669,0.820921,0.305115,0.77724,1,1,1,4,0.0
4,HAP_0,HAP,0.801009,0.872026,0.121883,0.19879,1,1,1,0,0.235274
4,HAP_1,HAP,0.54985,0.902224,0.49811,0.211811,1,1,1,0,1.360213
4,HAP_2,HAP,0.629095,0.913696,0.363474,0.120151,1,1,1,0,1.06179
4,LEO_0,LEO,0.773272,0.903367,0.157124,0.039848,1,1,1,0,0.570753
4,LEO_1,LEO,0.735759,0.929104,0.206853,0.05253,1,1,1,0,0.686018
5,BS_0,BS,0.679722,0.832116,0.286071,0.493891,1,1,1,5,0.0
5,BS_1,BS,0.715198,0.818552,0.235196,0.382953,1,1,1,3,0.336465
5,BS_2,BS,0.498116,0.814329,0.596922,0.617228,1,1,1,2,0.0
5,BS_3,BS,0.684875,0.829985,0.278519,0.35203,1,1,1,1,0.0
5,BS_4,BS,0.656988,0.823336,0.32009,0.585892,1,1,1,4,0.0
5,HAP_0,HAP,0.668804,0.867909,0.302265,0.201162,1,1,1,0,1.298928
5,HAP_1,HAP,0.812487,0.920164,0.007655,0.137724,2,0,0,0,0.578951
5,HAP_2,HAP,0.8121,0.923761,0.108132,0.087306,1,1,1,0,0.216244
5,LEO_0,LEO,0.776653,0.920562,0.052761,0.028094,2,0,0,0,0.467982
5,LEO_1,LEO,0.789355,0.93979,0.036539,0.035196,2,0,0,0,0.457331
6,BS_0,BS,0.661351,0.831826,0.31347,0.398412,1,1,1,5,0.0
6,BS_1,BS,0.707749,0.829223,0.245665,0.296446,1,1,1,3,0.494095
6,BS_2,BS,0.712587,0.827273,0.238853,0.446126,1,1,1,2,0.778983
6,BS_3,BS,0.607214,0.831386,0.398873,0.354111,1,1,1,3,0.0
6,BS_4,BS,0.65159,0.824285,0.32834,0.465728,1,1,1,5,0.0
6,HAP_0,HAP,0.808775,0.887036,0.112235,0.140675,1,1,1,0,0.517196
6,HAP_1,HAP,0.678867,0.927689,0.087331,0.095526,3,0,0,0,0.494381
6,HAP_2,HAP,0.763259,0.931793,0.070157,0.060625,2,0,0,0,0.65557
6,LEO_0,LEO,0.672849,0.927707,0.096235,0.025554,3,0,0,0,0.570109
