slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_1,BS_0,LEO_1,152.543392,152.406074,0.0,0.018285,0.095163
1,T1_UAV_24,BS_0,LEO_0,185.84183,185.707212,0.0,0.015586,0.095163
1,T1_UAV_3,BS_4,HAP_1,222.908651,222.766046,0.0,0.023572,0.095163
1,T1_UAV_5,BS_1,HAP_2,183.585403,183.446011,0.0,0.02036,0.095163
1,T1_UAV_15,BS_3,HAP_0,190.630416,190.492677,0.0,0.018707,0.095163
1,T1_UAV_18,BS_1,LEO_1,224.530708,224.396579,0.0,0.015096,0.095163
1,T1_UAV_17,BS_4,LEO_0,228.536948,228.349397,0.0,0.068518,0.095163
1,T1_UAV_8,BS_0,HAP_1,282.561034,282.423978,0.0,0.018023,0.095163
1,T1_UAV_28,BS_1,HAP_2,233.641945,233.503254,0.0,0.019659,0.095163
1,T1_UAV_26,BS_1,HAP_0,236.085521,235.953102,0.0,0.013386,0.095163
1,T1_UAV_25,BS_0,LEO_1,278.143456,278.009187,0.0,0.015237,0.095163
1,T1_UAV_6,BS_0,LEO_0,292.128486,291.991432,0.0,0.018022,0.095163
1,T1_UAV_29,BS_0,BS_2,183.263167,183.123685,0.0,0.02045,0.095163
1,T1_UAV_20,BS_1,LEO_1,316.856207,316.725567,0.0,0.011608,0.095163
1,T1_UAV_27,BS_0,LEO_0,324.857633,324.674114,0.0,0.064486,0.095163
1,T1_UAV_9,BS_4,HAP_1,115.384306,115.253434,0.0,0.011839,0.095163
1,T1_UAV_14,BS_0,HAP_2,107.03077,106.889304,0.0,0.022433,0.095163
1,T1_UAV_7,BS_1,HAP_0,107.42463,107.272389,0.0,0.033209,0.095163
1,T1_UAV_22,BS_0,LEO_1,136.580951,136.440181,0.0,0.021737,0.095163
1,T1_UAV_13,BS_3,LEO_0,140.131395,140.000491,0.0,0.011872,0.095163
1,T1_UAV_0,BS_4,HAP_1,221.883029,221.738897,0.0,0.0251,0.095163
2,T2_UAV_2,BS_0,LEO_1,120.518886,120.333255,0.0,0.022672,0.314795
2,T2_UAV_14,BS_0,LEO_0,116.587296,116.399183,0.0,0.020977,0.33568
2,T2_UAV_7,BS_1,HAP_2,330.320351,330.139283,0.0,0.025727,0.276702
2,T2_UAV_12,BS_0,HAP_0,168.461713,168.279024,0.0,0.022353,0.301683
2,T2_UAV_26,BS_1,HAP_1,169.120649,168.921218,0.0,0.019811,0.398104
2,T2_UAV_27,BS_0,LEO_1,201.607994,201.437231,0.0,0.007804,0.314795
2,T2_UAV_1,BS_0,LEO_0,170.981969,170.784031,0.0,0.030802,0.33568
2,T2_UAV_3,BS_4,HAP_2,334.808249,334.631756,0.0,0.021153,0.276702
2,T2_UAV_20,BS_1,LEO_1,218.032997,217.840027,0.0,0.030012,0.314795
2,T2_UAV_25,BS_0,HAP_0,209.157065,208.959498,0.0,0.03723,0.301683
2,T2_UAV_16,BS_1,HAP_1,210.288537,210.063598,0.0,0.045319,0.398104
2,T2_UAV_28,BS_1,LEO_0,202.033908,201.817385,0.0,0.049387,0.33568
2,T2_UAV_17,BS_4,BS_2,158.63062,158.357277,0.0,0.042007,0.656679
2,T2_UAV_8,BS_0,BS_3,160.644193,160.353748,0.0,0.09346,0.484924
2,T2_UAV_29,BS_0,BS_4,171.401148,171.175871,0.0,0.033224,0.460269
2,T2_UAV_13,BS_3,BS_1,196.307041,196.048362,0.0,0.065293,0.466934
2,T2_UAV_23,BS_2,BS_0,50.347856,50.130899,0.0,0.014864,0.510466
2,T2_UAV_10,BS_0,LEO_1,86.865445,86.668949,0.0,0.033537,0.314795
2,T2_UAV_6,BS_0,LEO_0,72.238554,72.051614,0.0,0.019804,0.33568
2,T2_UAV_21,BS_4,HAP_2,158.257771,158.096573,0.0,0.005857,0.276702
2,T2_UAV_18,BS_1,HAP_0,99.241567,99.041757,0.0,0.039474,0.301683
2,T2_UAV_9,BS_4,HAP_1,104.942762,104.735439,0.0,0.027702,0.398104
2,T2_UAV_22,BS_0,HAP_2,188.409345,188.216975,0.0,0.037029,0.276702
2,T2_UAV_5,BS_1,HAP_2,196.504424,196.341321,0.0,0.007762,0.276702
2,T2_UAV_15,BS_3,LEO_1,266.54201,266.360746,0.0,0.018305,0.314795
2,T2_UAV_4,BS_2,HAP_2,330.270441,330.108587,0.0,0.006513,0.276702
3,T3_UAV_8,BS_0,LEO_0,148.807849,148.748325,0.0,0.010468,0.245282
3,T3_UAV_1,BS_0,LEO_1,123.124508,122.950413,0.0,0.009708,0.321936
3,T3_UAV_27,BS_0,HAP_1,143.831765,143.641862,0.0,0.036701,0.266012
3,T3_UAV_25,BS_0,HAP_0,152.844424,152.652054,0.0,0.035243,0.285635
3,T3_UAV_12,BS_0,HAP_2,157.725982,157.498693,0.0,0.028326,0.494809
3,T3_UAV_23,BS_2,LEO_0,177.20927,177.109727,0.0,0.050487,0.245282
3,T3_UAV_11,BS_4,LEO_1,146.073927,145.877317,0.0,0.032222,0.321936
3,T3_UAV_20,BS_1,LEO_0,214.741792,214.660388,0.0,0.032347,0.245282
3,T3_UAV_21,BS_4,HAP_1,203.497472,203.313651,0.0,0.030619,0.266012
3,T3_UAV_9,BS_4,HAP_0,214.036843,213.858187,0.0,0.021529,0.285635
3,T3_UAV_29,BS_0,LEO_1,203.379067,203.205795,0.0,0.008885,0.321936
3,T3_UAV_2,BS_0,HAP_2,245.319381,245.068586,0.0,0.051834,0.494809
3,T3_UAV_10,BS_0,BS_2,193.516557,193.306105,0.0,0.028325,0.410636
3,T3_UAV_26,BS_1,BS_3,194.449773,194.202995,0.0,0.06778,0.39499
3,T3_UAV_28,BS_1,BS_4,50.808496,50.587587,0.0,0.05842,0.312447
3,T3_UAV_19,BS_4,BS_1,52.679775,52.465645,0.0,0.049166,0.32482
3,T3_UAV_7,BS_1,BS_0,62.119843,61.879507,0.0,0.075497,0.32419
3,T3_UAV_16,BS_1,LEO_0,105.687614,105.608394,0.0,0.030164,0.245282
3,T3_UAV_6,BS_0,LEO_1,90.300633,90.094193,0.0,0.042053,0.321936
3,T3_UAV_22,BS_0,HAP_1,113.312327,113.121361,0.0,0.037764,0.266012
3,T3_UAV_4,BS_2,HAP_0,145.985559,145.780607,0.0,0.047825,0.285635
3,T3_UAV_0,BS_4,HAP_2,161.543679,161.31892,0.0,0.025797,0.494809
3,T3_UAV_13,BS_3,LEO_0,289.061863,288.97391,0.0,0.038896,0.245282
4,T4_UAV_14,BS_0,LEO_1,113.833686,113.775157,0.0,0.013386,0.225713
4,T4_UAV_24,BS_0,LEO_0,92.914308,92.735863,0.0,0.009492,0.34477
4,T4_UAV_6,BS_0,HAP_1,129.184653,129.121314,0.0,0.014633,0.243528
4,T4_UAV_5,BS_1,HAP_2,514.671972,514.529492,0.0,0.00885,0.168151
4,T4_UAV_3,BS_4,HAP_0,226.765067,226.593192,0.0,0.02784,0.220173
4,T4_UAV_12,BS_0,LEO_1,204.046734,203.984688,0.0,0.016903,0.225713
4,T4_UAV_8,BS_0,LEO_0,154.45024,154.267989,0.0,0.013297,0.34477
4,T4_UAV_9,BS_4,HAP_2,702.760655,702.617904,0.0,0.00912,0.168151
4,T4_UAV_13,BS_3,HAP_1,259.111693,259.038256,0.0,0.02473,0.243528
4,T4_UAV_1,BS_0,LEO_1,256.282924,256.202846,0.0,0.034935,0.225713
4,T4_UAV_27,BS_0,HAP_0,291.177404,291.021122,0.0,0.012248,0.220173
4,T4_UAV_21,BS_4,HAP_2,736.077252,735.927227,0.0,0.016395,0.168151
4,T4_UAV_22,BS_0,HAP_2,738.766061,738.623204,0.0,0.009227,0.168151
4,T4_UAV_26,BS_1,HAP_2,809.903895,809.715132,0.0,0.055133,0.168151
4,T4_UAV_29,BS_0,HAP_2,935.885756,935.740718,0.0,0.011408,0.168151
4,T4_UAV_0,BS_4,HAP_2,1004.97352,1004.806154,0.0,0.033735,0.168151
4,T4_UAV_4,BS_2,HAP_2,1019.260847,1019.109269,0.0,0.017948,0.168151
