slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.797214,1.0,2.447215,1,1,1,9,0.0
1,BS_1,BS,0.332871,0.717848,1.0,2.096666,1,1,1,6,0.0
1,BS_2,BS,0.904837,0.918454,0.0,0.0,1,0,0,0,0.0
1,BS_3,BS,0.359908,0.73481,0.921906,0.669305,1,1,1,2,0.0
1,BS_4,BS,0.332871,0.82409,1.0,2.032362,1,1,1,4,0.0
1,HAP_0,HAP,0.904837,0.838271,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.931704,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.920331,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.834924,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.922126,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.489534,0.780263,0.614302,1.887866,1,1,1,11,0.0
2,BS_1,BS,0.533066,0.732373,0.52911,1.5833,1,1,1,7,0.0
2,BS_2,BS,0.343321,0.841075,0.96909,0.73957,1,1,1,2,0.691048
2,BS_3,BS,0.515076,0.750957,0.56344,0.685052,1,1,1,2,0.0
2,BS_4,BS,0.539731,0.807861,0.516685,1.531269,1,1,1,4,0.0
2,HAP_0,HAP,0.698317,0.857643,0.259082,0.05286,1,1,1,0,0.597882
2,HAP_1,HAP,0.601896,0.90633,0.40767,0.130878,1,1,1,0,0.940777
2,HAP_2,HAP,0.723298,0.919039,0.223935,0.039491,1,1,1,0,0.516772
2,LEO_0,LEO,0.66432,0.849685,0.308991,0.075187,1,1,1,0,0.713057
2,LEO_1,LEO,0.685205,0.914209,0.278036,0.060877,1,1,1,0,0.641623
3,BS_0,BS,0.67581,0.797418,0.291843,1.294186,1,1,1,10,0.531817
3,BS_1,BS,0.67518,0.763812,0.292776,1.096647,1,1,1,5,0.485586
3,BS_2,BS,0.589364,0.833565,0.428711,0.625457,1,1,1,2,0.347388
3,BS_3,BS,0.60501,0.771351,0.402511,0.57287,1,1,1,1,0.619516
3,BS_4,BS,0.687553,0.818287,0.274616,1.054713,1,1,1,5,0.453241
3,HAP_0,HAP,0.714365,0.869971,0.236362,0.078354,1,1,1,0,0.724814
3,HAP_1,HAP,0.733988,0.904927,0.209262,0.119556,1,1,1,0,0.765145
3,HAP_2,HAP,0.505191,0.874485,0.58282,0.293166,1,1,1,0,1.718404
3,LEO_0,LEO,0.754718,0.881102,0.081411,0.054091,2,0,0,0,0.401789
