slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,318.332224,0.0,0.755028,7.82063,6,6,1,1,2
2,1046.111868,0.0,0.241485,2.649865,10,10,1,1,25
3,262.398266,0.0,0.899212,6.104801,9,9,1,1,0
4,967.223561,0.0,0.537972,3.804641,9,9,1,1,22
5,561.307555,0.0,0.636554,6.872393,9,9,1,1,8
6,1106.413577,0.0,0.341299,2.708324,10,10,1,1,26
7,631.976636,0.0,0.683969,6.535603,9,9,1,1,10
8,932.287246,0.0,0.466532,3.933315,9,9,1,1,17
9,493.659858,0.0,0.536021,6.841428,9,9,1,1,8
10,850.611473,0.0,0.486754,3.689923,10,9,1,1,20
11,571.334314,0.0,0.577572,6.807922,9,9,1,1,7
12,860.333128,0.0,0.508365,4.661352,9,9,1,1,18
13,540.245886,0.0,0.6901,7.452514,9,9,1,1,9
14,929.057798,0.0,0.361284,3.841208,10,9,1,1,19
15,681.065865,0.0,0.486898,6.865405,9,9,1,1,13
16,1012.311959,0.0,0.527202,3.868913,9,9,1,1,23
17,456.897278,0.0,0.769614,7.57777,9,9,1,1,3
18,926.247352,0.0,0.376934,3.643381,10,9,1,1,16
19,508.947022,0.0,0.503806,6.62176,9,9,1,1,8
20,883.817687,0.0,0.40922,3.721973,9,9,1,1,22
21,657.718883,0.0,0.628947,7.219305,9,9,1,1,9
22,972.324641,0.0,0.546232,3.910808,10,9,1,1,20
23,562.65629,0.0,0.464569,6.235679,10,10,1,1,8
24,848.228001,0.0,0.412232,4.108283,9,9,1,1,19
25,628.365415,0.0,0.598042,6.232107,9,9,1,1,9
26,885.318909,0.0,0.523965,5.115194,9,9,1,1,18
27,605.733151,0.0,0.452118,5.710321,10,9,1,1,12
28,746.683689,0.0,0.479077,5.2031,9,9,1,1,13
29,608.787424,0.0,0.521087,5.721379,9,9,1,1,10
30,838.863852,0.0,0.294668,3.71182,10,10,1,1,16
31,447.75268,0.0,0.466435,6.551614,9,9,1,1,5
32,824.59317,0.0,0.572086,5.477627,9,9,1,1,16
33,627.749642,0.0,0.418261,5.449802,9,9,1,1,9
34,890.959871,0.0,0.405514,3.387133,10,9,1,1,19
35,551.070968,0.0,0.580844,6.094699,10,10,1,1,9
36,856.79891,0.0,0.412918,4.173068,9,9,1,1,21
37,514.561185,0.0,0.359823,4.581955,9,9,1,1,9
38,814.655163,0.0,0.371655,4.728989,9,9,1,1,17
39,740.695315,0.0,0.449236,5.175943,10,9,1,1,13
40,825.784826,0.0,0.471929,4.031821,8,8,1,1,21
