slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,367.071554,0.0,0.508163,2.95004,6,6,1,1,0
2,222.953252,0.0,1.294912,15.153015,10,10,1,1,0
3,313.48378,0.0,0.87124,6.537123,10,10,1,1,0
4,326.299861,0.0,1.173527,8.573623,10,10,1,1,0
5,244.05676,0.0,0.990167,9.10018,9,9,1,1,0
6,269.104597,0.0,1.251571,10.236991,8,8,1,1,0
7,323.309276,0.0,1.147058,8.621079,7,7,1,1,0
8,290.595946,0.0,0.847716,7.353308,8,8,1,1,0
9,217.464396,0.0,0.794794,8.104529,10,10,1,1,0
10,306.043819,0.0,0.92643,7.105213,7,7,1,1,0
11,278.259959,0.0,0.83563,7.937553,8,8,1,1,0
12,555.599363,0.0,1.026675,8.073475,7,7,1,1,0
13,235.380626,0.0,1.037768,9.238907,8,8,1,1,0
14,239.036444,0.0,0.736697,9.088438,6,6,1,1,0
15,664.025863,0.0,0.61144,6.202624,9,8,1,1,0
16,282.533321,0.0,1.05905,11.288295,9,9,1,1,0
17,215.853673,0.0,0.868579,6.418292,9,9,1,1,0
18,226.911867,0.0,0.789501,8.348188,10,10,1,1,0
19,190.655214,0.0,0.769364,7.264969,9,9,1,1,0
20,338.608704,0.0,0.849932,8.649555,6,6,1,1,0
21,869.262568,0.0,0.770834,7.513159,8,8,1,1,0
22,260.397158,0.0,1.037793,10.153009,10,10,1,1,0
23,327.689679,0.0,0.705966,7.585022,7,7,1,1,0
24,386.614024,0.0,0.788967,8.083365,7,7,1,1,0
25,227.776295,0.0,0.894978,8.995902,9,9,1,1,0
26,264.374388,0.0,0.961794,8.705852,8,8,1,1,0
27,239.975313,0.0,0.834466,8.278765,9,9,1,1,0
28,280.303029,0.0,0.634461,7.202329,8,8,1,1,0
29,219.731829,0.0,0.864576,8.957971,8,8,1,1,0
30,280.525556,0.0,0.629587,7.481065,9,9,1,1,0
31,202.440588,0.0,0.597508,7.041327,7,7,1,1,0
32,265.834325,0.0,0.979107,10.139881,7,7,1,1,0
33,300.700147,0.0,0.801804,7.654678,7,7,1,1,0
34,251.139288,0.0,0.856014,9.69297,10,10,1,1,0
35,297.304003,0.0,0.914486,7.440811,9,9,1,1,0
36,257.824661,0.0,0.998384,9.34283,7,7,1,1,0
37,189.215502,0.0,0.641493,6.280211,10,10,1,1,0
38,242.148367,0.0,0.867425,7.773724,7,7,1,1,0
39,517.002817,0.0,0.893899,8.702507,8,8,1,1,0
40,243.959515,0.0,1.144118,10.596207,10,10,1,1,0
