slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.788625,1.0,2.252799,1,1,1,8,0.0
1,BS_1,BS,0.332871,0.816211,1.0,1.959832,1,1,1,4,0.0
1,BS_2,BS,0.332871,0.76589,1.0,2.7125,1,1,1,13,0.0
1,BS_3,BS,0.332871,0.742433,1.0,2.2303,1,1,1,7,0.0
1,BS_4,BS,0.332871,0.817566,1.0,1.790986,1,1,1,2,0.0
1,HAP_0,HAP,0.332871,0.689808,1.0,1.333605,1,1,1,4,0.0
1,HAP_1,HAP,0.904837,0.943132,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.847563,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.956594,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.933064,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.524543,0.780467,0.545229,1.698423,1,1,1,7,0.865501
2,BS_1,BS,0.593238,0.810853,0.42216,1.414238,1,1,1,3,0.615821
2,BS_2,BS,0.493394,0.759043,0.606447,2.05275,1,1,1,14,0.609411
2,BS_3,BS,0.533684,0.749688,0.527951,1.669196,1,1,1,7,0.851321
2,BS_4,BS,0.574007,0.809242,0.455114,1.327254,1,1,1,2,0.826739
2,HAP_0,HAP,0.579639,0.722097,0.445349,1.023033,1,1,1,3,0.863066
2,HAP_1,HAP,0.613405,0.91646,0.388729,0.118999,1,1,1,0,0.897067
2,HAP_2,HAP,0.62375,0.851443,0.372006,0.108981,1,1,1,0,0.858475
2,LEO_0,LEO,0.608785,0.925033,0.39629,0.123674,1,1,1,0,0.914516
2,LEO_1,LEO,0.608673,0.908541,0.396475,0.123789,1,1,1,0,0.914942
3,BS_0,BS,0.6765,0.797653,0.290822,1.17058,1,1,1,8,0.0
3,BS_1,BS,0.775935,0.83374,0.153686,0.937855,1,1,1,2,0.311444
3,BS_2,BS,0.678699,0.782948,0.287577,1.399414,1,1,1,13,0.321296
3,BS_3,BS,0.666024,0.774703,0.306429,1.158923,1,1,1,10,0.0
3,BS_4,BS,0.794525,0.835785,0.130011,0.876026,1,1,1,3,0.0
3,HAP_0,HAP,0.720366,0.765646,0.227995,0.705907,1,1,1,4,0.107554
3,HAP_1,HAP,0.805237,0.927965,0.116619,0.08806,1,1,1,0,0.0
3,HAP_2,HAP,0.773144,0.886703,0.05729,0.073422,2,0,0,0,0.125334
3,LEO_0,LEO,0.751006,0.935899,0.086342,0.086259,2,0,0,0,0.075105
3,LEO_1,LEO,0.750945,0.924347,0.086423,0.086345,2,0,0,0,0.075046
4,BS_0,BS,0.669767,0.808783,0.300825,0.832142,1,1,1,8,0.958035
4,BS_1,BS,0.738332,0.843682,0.203362,0.642174,1,1,1,3,0.590963
4,BS_2,BS,0.669442,0.798446,0.301311,0.981115,1,1,1,12,0.673896
