slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,193.443447,0.0,0.326118,1.237114,4,4,1,1,0
2,318.57468,0.0,0.209465,2.361851,8,8,1,1,0
3,190.068887,0.0,0.608457,4.890203,10,10,1,1,0
4,394.805858,0.0,0.283466,2.681447,9,9,1,1,3
5,155.562674,0.0,0.505808,4.273233,10,10,1,1,0
6,554.001626,0.0,0.276271,3.669145,9,9,1,1,4
7,229.799489,0.0,0.287647,4.504665,9,9,1,1,0
8,181.742642,0.0,0.282571,3.950834,9,9,1,1,0
9,245.377408,0.0,0.336527,3.949704,10,9,1,1,0
10,223.130399,0.0,0.326444,4.165887,9,9,1,1,0
11,225.563999,0.0,0.321596,4.467952,9,9,1,1,0
12,239.419999,0.0,0.469572,4.227332,9,9,1,1,1
13,435.312181,0.0,0.243222,3.486021,10,9,1,1,4
14,271.645478,0.0,0.475344,4.569247,10,10,1,1,1
15,345.900663,0.0,0.306587,3.59219,9,9,1,1,1
16,184.36037,0.0,0.423095,3.749451,9,9,1,1,0
17,175.591851,0.0,0.346297,3.161773,9,9,1,1,0
18,181.324536,0.0,0.460891,4.903693,10,10,1,1,0
19,281.46757,0.0,0.344549,3.747336,9,9,1,1,1
20,257.761497,0.0,0.354482,4.55794,9,9,1,1,0
21,305.112798,0.0,0.265105,3.704713,9,9,1,1,1
22,445.748632,0.0,0.313972,4.073066,10,9,1,1,3
23,369.527022,0.0,0.332983,4.060288,9,9,1,1,2
24,383.376773,0.0,0.369868,4.63485,9,9,1,1,2
25,553.681498,0.0,0.327694,3.25448,10,10,1,1,4
26,257.478849,0.0,0.365242,4.225237,10,10,1,1,0
27,378.993834,0.0,0.40758,4.220232,10,10,1,1,2
28,472.281882,0.0,0.276215,3.891876,10,10,1,1,3
29,195.651839,0.0,0.331842,4.092549,10,10,1,1,0
30,424.974569,0.0,0.301974,4.17852,10,10,1,1,2
31,300.028236,0.0,0.386428,4.337381,10,10,1,1,1
32,205.89665,0.0,0.381831,3.678551,10,10,1,1,0
33,191.220094,0.0,0.347731,3.629913,9,9,1,1,0
34,224.303513,0.0,0.317737,4.610687,9,9,1,1,0
35,399.338531,0.0,0.483083,4.012366,10,10,1,1,3
36,131.097027,0.0,0.162193,2.513785,10,10,1,1,0
37,311.104086,0.0,0.506257,4.715755,9,9,1,1,1
38,371.132035,0.0,0.234617,3.308213,9,9,1,1,3
39,250.699626,0.0,0.479576,4.529983,10,10,1,1,0
40,373.047287,0.0,0.336413,3.726245,9,9,1,1,3
