slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_3,BS_0,LEO_0,192.952028,192.829373,0.0,0.003623,0.095163
1,T1_UAV_16,BS_2,LEO_1,215.527008,215.39387,0.0,0.014106,0.095163
1,T1_UAV_7,BS_3,HAP_1,216.974896,216.837173,0.0,0.01869,0.095163
1,T1_UAV_2,BS_2,HAP_2,164.679414,164.54279,0.0,0.017591,0.095163
1,T1_UAV_1,BS_3,LEO_0,265.142583,265.018897,0.0,0.004653,0.095163
1,T1_UAV_17,BS_2,LEO_1,274.141121,274.010383,0.0,0.011706,0.095163
1,T1_UAV_15,BS_2,LEO_0,306.58413,306.456161,0.0,0.008936,0.095163
1,T1_UAV_9,BS_2,LEO_1,339.415686,339.290943,0.0,0.005711,0.095163
1,T1_UAV_5,BS_3,HAP_2,258.450676,258.318397,0.0,0.013246,0.095163
1,T1_UAV_13,BS_0,HAP_1,395.069542,394.932612,0.0,0.017898,0.095163
1,T1_UAV_14,BS_0,LEO_0,124.738553,124.602291,0.0,0.017229,0.095163
1,T1_UAV_18,BS_1,LEO_1,157.228308,157.093789,0.0,0.015487,0.095163
1,T1_UAV_11,BS_4,HAP_1,178.793146,178.668706,0.0,0.005407,0.095163
1,T1_UAV_0,BS_0,HAP_2,143.580408,143.414247,0.0,0.047128,0.095163
1,T1_UAV_19,BS_3,LEO_0,192.739312,192.599281,0.0,0.020999,0.095163
1,T1_UAV_12,BS_4,LEO_1,193.65964,193.523235,0.0,0.017373,0.095163
1,T1_UAV_10,BS_2,LEO_0,212.045874,211.912673,0.0,0.014168,0.095163
1,T1_UAV_4,HAP_0,LEO_1,252.621627,252.468876,0.0,0.033719,0.095163
1,T1_UAV_6,HAP_0,HAP_1,344.456134,344.318938,0.0,0.018164,0.095163
2,T2_UAV_9,BS_2,LEO_1,146.584984,146.390778,0.0,0.008628,0.427895
2,T2_UAV_8,BS_3,LEO_0,128.963669,128.741245,0.0,0.030949,0.457371
2,T2_UAV_2,BS_2,HAP_1,61.162678,60.955441,0.0,0.032214,0.375111
2,T2_UAV_18,BS_1,HAP_0,38.657167,38.371071,0.0,0.096245,0.449253
2,T2_UAV_6,HAP_0,HAP_2,39.239931,38.978676,0.0,0.074905,0.43175
2,T2_UAV_16,BS_2,BS_0,81.26375,81.065065,0.0,0.047538,0.255733
2,T2_UAV_4,HAP_0,LEO_1,123.908462,123.712526,0.0,0.010357,0.427895
2,T2_UAV_11,BS_4,LEO_0,101.638218,101.4297,0.0,0.017044,0.457371
2,T2_UAV_7,BS_3,LEO_1,168.596813,168.398397,0.0,0.012837,0.427895
2,T2_UAV_14,BS_0,HAP_1,187.185081,186.997374,0.0,0.012685,0.375111
3,T3_UAV_10,BS_2,LEO_1,123.500423,123.414176,0.0,0.039166,0.235408
3,T3_UAV_9,BS_2,LEO_0,166.243232,166.184711,0.0,0.015475,0.215229
3,T3_UAV_8,BS_3,HAP_1,435.333969,435.179819,0.0,0.016256,0.189467
3,T3_UAV_1,BS_3,HAP_2,149.404221,149.338355,0.0,0.021562,0.221524
3,T3_UAV_16,BS_2,HAP_0,77.752744,77.535585,0.0,0.028862,0.441484
3,T3_UAV_7,BS_3,LEO_1,213.577291,213.524066,0.0,0.006143,0.235408
3,T3_UAV_3,BS_0,LEO_0,214.063369,213.98367,0.0,0.036653,0.215229
3,T3_UAV_0,BS_0,HAP_1,483.209876,483.055935,0.0,0.016047,0.189467
3,T3_UAV_13,BS_0,LEO_1,237.191681,237.118559,0.0,0.026041,0.235408
3,T3_UAV_17,BS_2,HAP_1,505.052955,504.893362,0.0,0.021699,0.189467
3,T3_UAV_14,BS_0,LEO_0,69.421381,69.363803,0.0,0.014532,0.215229
3,T3_UAV_12,BS_4,HAP_2,71.479634,71.396615,0.0,0.038714,0.221524
3,T3_UAV_4,HAP_0,BS_1,79.772572,79.579111,0.0,0.038206,0.276271
3,T3_UAV_2,BS_2,LEO_1,111.183699,111.12098,0.0,0.015638,0.235408
3,T3_UAV_15,BS_2,HAP_1,221.284955,221.139725,0.0,0.007337,0.189467
3,T3_UAV_6,HAP_0,LEO_0,159.020812,158.970399,0.0,0.007367,0.215229
3,T3_UAV_11,BS_4,HAP_1,254.773431,254.62847,0.0,0.007068,0.189467
3,T3_UAV_19,BS_3,HAP_1,374.46201,374.315838,0.0,0.008278,0.189467
4,T4_UAV_9,BS_2,LEO_1,165.420131,165.246872,0.0,0.027628,0.228157
4,T4_UAV_14,BS_0,LEO_0,137.539946,137.442382,0.0,0.032772,0.323962
4,T4_UAV_7,BS_3,HAP_2,183.099589,183.035517,0.0,0.01087,0.266009
4,T4_UAV_3,BS_0,HAP_0,144.393206,144.160457,0.0,0.053342,0.397036
4,T4_UAV_11,BS_4,HAP_1,165.217781,165.019336,0.0,0.015222,0.416115
4,T4_UAV_17,BS_2,LEO_1,246.349729,246.191732,0.0,0.012366,0.228157
4,T4_UAV_5,BS_3,LEO_0,177.628898,177.541356,0.0,0.02275,0.323962
4,T4_UAV_0,BS_0,LEO_1,277.563911,277.396399,0.0,0.021881,0.228157
4,T4_UAV_15,BS_2,HAP_2,76.328342,76.246967,0.0,0.028173,0.266009
4,T4_UAV_18,BS_1,BS_4,56.705673,56.510717,0.0,0.044156,0.254002
4,T4_UAV_13,BS_0,LEO_0,70.614012,70.535888,0.0,0.013332,0.323962
4,T4_UAV_1,BS_3,LEO_1,96.846461,96.689495,0.0,0.011334,0.228157
4,T4_UAV_19,BS_3,HAP_0,84.998599,84.78695,0.0,0.032242,0.397036
4,T4_UAV_2,BS_2,HAP_2,100.314162,100.231515,0.0,0.029446,0.266009
4,T4_UAV_4,HAP_0,LEO_1,130.1384,129.972242,0.0,0.020526,0.228157
4,T4_UAV_12,BS_4,HAP_1,150.088275,149.889291,0.0,0.015761,0.416115
5,T5_UAV_1,BS_3,LEO_1,99.00179,98.951731,0.0,0.006399,0.218305
5,T5_UAV_19,BS_3,LEO_0,247.663977,247.504742,0.0,0.021581,0.188272
5,T5_UAV_10,BS_2,HAP_1,130.348924,130.158554,0.0,0.04292,0.237248
5,T5_UAV_12,BS_4,HAP_2,179.918144,179.829401,0.0,0.015248,0.367476
5,T5_UAV_5,BS_3,HAP_0,198.461574,198.187696,0.0,0.076142,0.488683
5,T5_UAV_17,BS_2,LEO_0,307.879637,307.729602,0.0,0.01238,0.188272
5,T5_UAV_9,BS_2,LEO_0,351.229018,351.065288,0.0,0.026075,0.188272
5,T5_UAV_3,BS_0,LEO_0,380.260043,380.097262,0.0,0.025127,0.188272
5,T5_UAV_11,BS_4,LEO_1,64.261658,64.206742,0.0,0.011256,0.218305
5,T5_UAV_2,BS_2,LEO_1,84.224598,84.153255,0.0,0.027682,0.218305
5,T5_UAV_7,BS_3,HAP_2,95.369313,95.279924,0.0,0.015894,0.367476
5,T5_UAV_6,HAP_0,HAP_1,104.698424,104.526385,0.0,0.02459,0.237248
5,T5_UAV_8,BS_3,LEO_0,134.971298,134.820889,0.0,0.012755,0.188272
5,T5_UAV_14,BS_0,HAP_0,126.861367,126.577472,0.0,0.086158,0.488683
5,T5_UAV_4,HAP_0,LEO_0,266.794456,266.648728,0.0,0.008074,0.188272
6,T6_UAV_13,BS_0,LEO_1,163.52997,163.470688,0.0,0.00557,0.268559
6,T6_UAV_17,BS_2,HAP_2,221.490004,221.350013,0.0,0.014992,0.124995
6,T6_UAV_5,BS_3,HAP_1,175.969834,175.785553,0.0,0.045063,0.196086
6,T6_UAV_9,BS_2,LEO_0,117.796566,117.625305,0.0,0.027192,0.220351
6,T6_UAV_11,BS_4,HAP_2,372.861696,372.707321,0.0,0.029376,0.124995
6,T6_UAV_8,BS_3,HAP_1,281.151028,280.970911,0.0,0.0409,0.196086
6,T6_UAV_7,BS_3,HAP_0,28.174714,27.969842,0.0,0.052302,0.262851
6,T6_UAV_3,BS_0,LEO_1,75.355617,75.288833,0.0,0.013072,0.268559
6,T6_UAV_12,BS_4,LEO_0,56.745635,56.586457,0.0,0.015108,0.220351
6,T6_UAV_0,BS_0,HAP_2,117.296094,117.156029,0.0,0.015066,0.124995
6,T6_UAV_16,BS_2,LEO_1,99.481073,99.422436,0.0,0.004925,0.268559
6,T6_UAV_1,BS_3,HAP_1,114.04201,113.86932,0.0,0.033473,0.196086
6,T6_UAV_18,BS_1,HAP_2,219.902801,219.756197,0.0,0.021605,0.124995
7,T7_UAV_10,BS_2,LEO_1,107.277108,107.1121,0.0,0.019976,0.225163
7,T7_UAV_9,BS_2,LEO_0,108.449537,108.300518,0.0,0.007943,0.205379
7,T7_UAV_13,BS_0,HAP_1,272.751954,272.685385,0.0,0.026611,0.199786
7,T7_UAV_7,BS_3,HAP_2,161.672796,161.61563,0.0,0.006795,0.251854
7,T7_UAV_1,BS_3,HAP_0,87.169623,86.964116,0.0,0.035191,0.351579
7,T7_UAV_16,BS_2,LEO_1,181.022748,180.853849,0.0,0.023866,0.225163
7,T7_UAV_0,BS_0,HAP_1,319.140855,319.074874,0.0,0.026024,0.199786
7,T7_UAV_14,BS_0,LEO_0,69.69899,69.545656,0.0,0.012259,0.205379
7,T7_UAV_12,BS_4,BS_4,104.724317,104.569137,0.0,0.025497,0.148412
7,T7_UAV_3,BS_0,LEO_1,101.93628,101.780188,0.0,0.011059,0.225163
7,T7_UAV_18,BS_1,HAP_2,118.066855,118.002772,0.0,0.013713,0.251854
7,T7_UAV_4,HAP_0,LEO_0,132.93443,132.768487,0.0,0.024867,0.205379
7,T7_UAV_17,BS_2,HAP_1,194.437498,194.388012,0.0,0.009528,0.199786
7,T7_UAV_11,BS_4,HAP_1,201.151621,201.077103,0.0,0.034561,0.199786
7,T7_UAV_19,BS_3,BS_4,263.463962,263.305977,0.0,0.028303,0.148412
8,T8_UAV_7,BS_3,LEO_1,253.109131,253.054662,0.0,0.015125,0.196724
8,T8_UAV_15,BS_2,LEO_0,164.308431,164.227117,0.0,0.03107,0.251222
8,T8_UAV_8,BS_3,HAP_2,169.216523,169.138039,0.0,0.020578,0.289526
8,T8_UAV_9,BS_2,LEO_1,405.868685,405.815427,0.0,0.013913,0.196724
8,T8_UAV_17,BS_2,LEO_1,410.851763,410.808083,0.0,0.004335,0.196724
8,T8_UAV_11,BS_4,LEO_1,426.747049,426.691179,0.0,0.016525,0.196724
8,T8_UAV_14,BS_0,LEO_1,454.71513,454.660785,0.0,0.015,0.196724
8,T8_UAV_2,BS_2,LEO_1,477.468603,477.405178,0.0,0.02408,0.196724
8,T8_UAV_19,BS_3,HAP_0,27.91969,27.725257,0.0,0.011236,0.415984
8,T8_UAV_10,BS_2,HAP_1,70.175573,70.014711,0.0,0.00983,0.255158
8,T8_UAV_1,BS_3,LEO_0,89.354849,89.284454,0.0,0.020151,0.251222
8,T8_UAV_6,HAP_0,LEO_0,107.734763,107.679443,0.0,0.005076,0.251222
8,T8_UAV_12,BS_4,HAP_2,111.754699,111.683083,0.0,0.013711,0.289526
8,T8_UAV_13,BS_0,LEO_1,149.74599,149.703076,0.0,0.00357,0.196724
8,T8_UAV_4,HAP_0,HAP_1,179.198599,179.021264,0.0,0.026303,0.255158
8,T8_UAV_18,BS_1,LEO_1,207.221013,207.159779,0.0,0.02189,0.196724
9,T9_UAV_10,BS_2,LEO_0,111.702045,111.6192,0.0,0.022453,0.301961
9,T9_UAV_0,BS_0,LEO_1,93.292202,93.09437,0.0,0.024444,0.366943
9,T9_UAV_2,BS_2,HAP_1,561.644141,561.478558,0.0,0.026644,0.194693
9,T9_UAV_15,BS_2,HAP_2,70.16978,70.087416,0.0,0.015665,0.333492
9,T9_UAV_5,BS_3,HAP_0,73.302879,73.065266,0.0,0.053311,0.421508
9,T9_UAV_3,BS_0,LEO_0,181.302637,181.222486,0.0,0.019758,0.301961
9,T9_UAV_7,BS_3,HAP_1,720.763586,720.610848,0.0,0.013799,0.194693
9,T9_UAV_13,BS_0,HAP_1,845.591986,845.437166,0.0,0.015882,0.194693
9,T9_UAV_8,BS_3,HAP_1,854.636355,854.480695,0.0,0.016722,0.194693
9,T9_UAV_17,BS_2,HAP_1,937.623509,937.471108,0.0,0.013463,0.194693
9,T9_UAV_16,BS_2,LEO_1,40.146556,39.951962,0.0,0.021206,0.366943
9,T9_UAV_4,HAP_0,LEO_0,188.262227,188.195198,0.0,0.006637,0.301961
9,T9_UAV_19,BS_3,HAP_1,400.012757,399.864848,0.0,0.00897,0.194693
9,T9_UAV_14,BS_0,HAP_1,457.834576,457.66643,0.0,0.029207,0.194693
9,T9_UAV_9,BS_2,HAP_1,529.041995,528.871096,0.0,0.031961,0.194693
9,T9_UAV_6,HAP_0,HAP_1,631.045126,630.897235,0.0,0.008952,0.194693
9,T9_UAV_11,BS_4,HAP_1,750.590759,750.428068,0.0,0.023753,0.194693
10,T10_UAV_1,BS_3,LEO_1,146.755376,146.590384,0.0,0.007857,0.285669
10,T10_UAV_0,BS_0,LEO_0,113.296621,113.203107,0.0,0.017269,0.381223
10,T10_UAV_9,BS_2,HAP_0,145.585545,145.373579,0.0,0.02814,0.419133
10,T10_UAV_15,BS_2,HAP_2,309.717367,309.576603,0.0,0.012792,0.13986
10,T10_UAV_12,BS_4,HAP_1,168.49661,168.302254,0.0,0.023562,0.353968
10,T10_UAV_14,BS_0,LEO_1,349.941478,349.777719,0.0,0.006625,0.285669
10,T10_UAV_5,BS_3,HAP_2,357.1071,356.9647,0.0,0.014428,0.13986
