method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
proposed,0,1,122.859734,122.859734,0.618854,0.000293,14.0,5.0
proposed,0,2,235.993786,179.42676,0.626845,0.00023,17.0,10.0
proposed,0,3,132.300099,163.717873,0.677944,0.000148,17.0,8.0
proposed,0,4,131.849874,155.750873,0.705991,0.000362,17.0,9.0
proposed,0,5,164.572614,157.515221,0.705138,0.000203,16.0,7.0
proposed,0,6,185.143335,162.119907,0.727536,0.000153,17.0,8.0
proposed,0,7,152.338702,160.722592,0.682171,0.000244,18.0,8.0
proposed,0,8,165.613089,161.333904,0.747729,0.000272,18.0,8.0
proposed,0,9,123.510479,157.131301,0.699551,0.000176,17.0,8.0
proposed,0,10,211.049688,162.52314,0.722839,0.000123,16.0,10.0
proposed,0,11,151.689195,161.538236,0.703908,0.000218,16.0,7.0
proposed,0,12,159.716859,161.386455,0.713783,0.000116,15.0,9.0
proposed,0,13,196.634715,164.097859,0.733872,0.000311,18.0,8.0
proposed,0,14,254.828688,170.578633,0.702724,0.000153,16.0,9.0
proposed,0,15,162.301407,170.026818,0.689445,0.00013,16.0,8.0
proposed,0,16,120.218524,166.913799,0.648247,0.000108,14.0,9.0
proposed,0,17,146.676386,165.723363,0.704354,0.000161,14.0,8.0
proposed,0,18,151.156112,164.914072,0.694632,9.6e-05,15.0,7.0
proposed,0,19,157.61861,164.5301,0.700074,0.000151,16.0,7.0
proposed,0,20,121.378068,162.372498,0.684625,0.000128,12.0,9.0
proposed,0,21,171.76373,162.8197,0.740596,0.000226,18.0,10.0
proposed,0,22,128.04465,161.239016,0.701893,0.000113,15.0,8.0
proposed,0,23,137.215221,160.194503,0.703326,0.000173,16.0,7.0
proposed,0,24,140.539393,159.37554,0.691911,0.000156,17.0,8.0
proposed,0,25,162.98555,159.51994,0.688557,0.000177,15.0,8.0
proposed,0,26,218.416051,161.785175,0.715743,0.000125,15.0,8.0
proposed,0,27,169.913961,162.086242,0.672045,0.000119,14.0,8.0
proposed,0,28,125.417441,160.776642,0.677641,0.000167,16.0,9.0
proposed,0,29,117.701753,159.291301,0.675346,0.000189,18.0,8.0
proposed,0,30,174.117845,159.785519,0.717819,0.000189,17.0,7.0
proposed,0,31,112.05029,158.245673,0.649108,0.000163,14.0,6.0
proposed,0,32,180.221524,158.932418,0.690905,0.000289,17.0,7.0
proposed,0,33,223.880137,160.900531,0.701942,0.000176,16.0,9.0
proposed,0,34,128.482434,159.947057,0.631682,0.000123,13.0,10.0
proposed,0,35,139.448063,159.361372,0.709367,0.000171,16.0,8.0
proposed,0,36,151.214217,159.135062,0.692347,0.000203,19.0,9.0
proposed,0,37,118.613563,158.039886,0.684062,9.4e-05,15.0,7.0
proposed,0,38,114.981504,156.906771,0.676972,0.000144,15.0,7.0
proposed,0,39,265.736094,159.697266,0.683839,0.000227,17.0,6.0
proposed,0,40,136.604828,159.119955,0.664883,0.000131,14.0,9.0
proposed,1,1,108.195212,108.195212,0.683178,0.000208,13.0,4.0
proposed,1,2,297.475424,202.835318,0.651866,0.000179,13.0,10.0
proposed,1,3,221.557321,209.075986,0.672923,0.000814,18.0,6.0
proposed,1,4,192.902092,205.032512,0.670805,0.000451,16.0,10.0
proposed,1,5,123.828891,188.791788,0.70943,0.000217,15.0,7.0
proposed,1,6,265.80687,201.627635,0.701848,0.00034,18.0,7.0
proposed,1,7,160.881972,195.806826,0.661725,0.000197,15.0,7.0
proposed,1,8,198.218988,196.108346,0.714384,0.000174,13.0,7.0
proposed,1,9,168.854919,193.080188,0.693597,0.000251,16.0,8.0
proposed,1,10,187.929356,192.565105,0.705012,0.000256,14.0,8.0
proposed,1,11,203.198119,193.531742,0.72467,0.000225,16.0,8.0
proposed,1,12,554.131355,223.58171,0.699943,0.000513,16.0,7.0
proposed,1,13,185.229993,220.631578,0.693982,0.000283,18.0,8.0
proposed,1,14,228.773067,221.213113,0.732522,0.000266,17.0,8.0
proposed,1,15,142.773779,215.983824,0.688519,0.000173,15.0,8.0
proposed,1,16,147.78621,211.721473,0.678443,0.000133,13.0,6.0
proposed,1,17,131.831025,207.022035,0.707859,9.6e-05,13.0,6.0
proposed,1,18,170.84313,205.012096,0.704463,0.000299,18.0,7.0
proposed,1,19,121.866014,200.635986,0.721878,0.000156,15.0,8.0
proposed,1,20,146.944227,197.951398,0.721644,0.000248,17.0,8.0
proposed,1,21,162.598244,196.267915,0.721575,0.000147,15.0,6.0
proposed,1,22,197.540138,196.325743,0.70953,0.000353,19.0,8.0
proposed,1,23,139.653386,193.861727,0.723305,0.000281,17.0,8.0
proposed,1,24,170.811574,192.901304,0.733786,0.000265,18.0,6.0
proposed,1,25,158.257383,191.515548,0.694936,0.000195,16.0,7.0
proposed,1,26,155.858246,190.144113,0.720438,0.000143,15.0,9.0
proposed,1,27,147.926521,188.580498,0.710765,0.000325,17.0,6.0
proposed,1,28,130.802812,186.51701,0.689753,0.000217,17.0,6.0
proposed,1,29,240.926513,188.393199,0.676567,0.000184,15.0,6.0
proposed,1,30,211.494938,189.163257,0.685167,0.000374,17.0,10.0
proposed,1,31,159.870013,188.218314,0.690423,0.000165,16.0,6.0
proposed,1,32,181.605463,188.011662,0.686237,0.000134,14.0,6.0
proposed,1,33,111.813309,185.702621,0.705765,0.000118,14.0,7.0
proposed,1,34,141.637207,184.40658,0.749281,0.000158,17.0,8.0
proposed,1,35,131.019112,182.881224,0.726616,0.000321,18.0,7.0
proposed,1,36,95.06027,180.441753,0.687477,0.000164,10.0,6.0
proposed,1,37,268.924831,182.833187,0.726695,0.000402,19.0,7.0
proposed,1,38,195.739348,183.172823,0.725262,0.000418,16.0,7.0
proposed,1,39,196.953635,183.526177,0.726208,0.000199,18.0,8.0
proposed,1,40,122.285275,181.995155,0.694123,0.00023,17.0,7.0
proposed,2,1,232.959612,232.959612,0.577851,0.000758,19.0,6.0
proposed,2,2,107.504027,170.23182,0.614719,5.2e-05,10.0,10.0
proposed,2,3,219.152399,186.53868,0.686604,0.000451,18.0,7.0
proposed,2,4,141.30607,175.230527,0.673989,0.000168,16.0,8.0
proposed,2,5,184.649178,177.114257,0.690674,0.000213,15.0,8.0
proposed,2,6,157.073762,173.774175,0.724385,0.000162,13.0,9.0
proposed,2,7,161.469587,172.016376,0.717147,0.000333,15.0,8.0
proposed,2,8,231.504471,179.452388,0.694459,0.000594,16.0,7.0
proposed,2,9,437.90835,208.169717,0.658414,0.000922,17.0,8.0
proposed,2,10,195.803617,206.933107,0.667461,0.00036,17.0,9.0
proposed,2,11,174.793005,204.01128,0.691103,0.00035,15.0,9.0
proposed,2,12,249.924868,207.837412,0.69748,0.000141,16.0,9.0
proposed,2,13,163.706404,204.442719,0.681475,0.000663,18.0,9.0
proposed,2,14,149.516941,200.519449,0.695435,0.00051,17.0,8.0
proposed,2,15,132.816882,196.005945,0.675866,0.000109,14.0,6.0
proposed,2,16,184.002911,195.255755,0.672668,0.000181,14.0,9.0
proposed,2,17,215.723832,196.45976,0.699558,0.000436,15.0,8.0
proposed,2,18,132.842679,192.925478,0.654648,0.000374,14.0,7.0
proposed,2,19,173.262246,191.890571,0.656714,0.000953,16.0,8.0
proposed,2,20,137.509574,189.171521,0.710635,0.000416,16.0,8.0
proposed,2,21,176.580719,188.571959,0.687911,0.002495,18.0,7.0
proposed,2,22,153.199155,186.964104,0.676385,0.00013,13.0,8.0
proposed,2,23,227.764116,188.738018,0.677525,0.000397,17.0,7.0
proposed,2,24,252.694406,191.402867,0.694007,0.000273,15.0,8.0
proposed,2,25,538.042183,205.26844,0.661327,0.000536,17.0,8.0
proposed,2,26,136.284834,202.615224,0.685525,0.00148,19.0,10.0
proposed,2,27,152.081797,200.743616,0.687923,0.000439,17.0,6.0
proposed,2,28,264.738283,203.02914,0.655155,0.000424,15.0,6.0
proposed,2,29,147.18645,201.10353,0.671767,0.000254,18.0,9.0
proposed,2,30,158.227193,199.674318,0.710605,0.001054,16.0,9.0
proposed,2,31,250.437994,201.311856,0.690616,0.000442,17.0,8.0
proposed,2,32,200.766282,201.294807,0.664367,0.002327,18.0,8.0
proposed,2,33,147.260702,199.65741,0.687069,0.000986,18.0,8.0
proposed,2,34,128.221003,197.556339,0.693193,9.6e-05,12.0,7.0
