method,num_uavs,seed,avg_delay,avg_fidelity,avg_solver_time,total_solver_time,avg_throughput,avg_sync_triggers
proposed,10,7,111.97116,0.68517,0.000212,0.008497,8.05,7.775
baseline,10,7,195.389445,0.680244,0.0,0.0,8.05,9.25
proposed,10,13,122.254671,0.713508,0.000164,0.006559,7.75,6.725
baseline,10,13,181.993782,0.711239,0.0,0.0,7.75,8.25
proposed,10,21,106.832529,0.706869,0.000179,0.007172,7.75,6.95
baseline,10,21,205.640123,0.701672,0.0,0.0,7.75,8.05
proposed,20,7,159.119955,0.691506,0.000678,0.027129,15.9,8.025
baseline,20,7,327.738996,0.680721,0.0,0.0,15.9,9.825
proposed,20,13,181.995155,0.703065,0.00091,0.036385,15.85,7.225
baseline,20,13,295.738751,0.700135,0.0,0.0,15.85,9.3
proposed,20,21,193.925628,0.680503,0.002087,0.083475,15.775,7.95
baseline,20,21,281.492375,0.678982,0.0,0.0,15.775,8.975
proposed,30,7,255.741816,0.694463,0.003664,0.146545,23.975,8.05
baseline,30,7,555.227112,0.685369,0.0,0.0,23.975,9.7
proposed,30,13,246.558104,0.698187,0.005249,0.209961,24.125,7.625
baseline,30,13,547.815924,0.693662,0.0,0.0,24.125,8.75
proposed,30,21,233.973893,0.695922,0.004859,0.194355,23.625,8.15
baseline,30,21,554.097358,0.687151,0.0,0.0,23.625,9.3
proposed,40,7,288.883611,0.688954,0.013831,0.553256,32.175,8.225
baseline,40,7,709.873836,0.680672,0.0,0.0,32.175,9.275
proposed,40,13,293.656754,0.690893,0.009718,0.388721,32.05,7.75
baseline,40,13,716.587556,0.687828,0.0,0.0,32.05,8.85
proposed,40,21,305.786683,0.689405,0.010753,0.430107,31.375,8.275
baseline,40,21,724.747063,0.681163,0.0,0.0,31.375,9.2
proposed,50,7,388.094105,0.689917,0.022536,0.901441,40.425,8.25
baseline,50,7,817.081192,0.685485,0.0,0.0,40.425,9.5
proposed,50,13,349.373426,0.695601,0.018988,0.759504,39.8,7.75
baseline,50,13,813.091993,0.695324,0.0,0.0,39.8,9.2
proposed,50,21,346.681571,0.704806,0.016159,0.646346,39.675,8.125
baseline,50,21,830.238595,0.701043,0.0,0.0,39.675,8.75
