slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.807129,1.0,0.85922,1,1,1,2,0.0
1,BS_1,BS,0.332871,0.723931,1.0,1.223462,1,1,1,2,0.0
1,BS_2,BS,0.904837,0.918454,0.0,0.0,1,0,0,0,0.0
1,BS_3,BS,0.904837,0.827434,0.0,0.0,1,0,0,0,0.0
1,BS_4,BS,0.332871,0.828806,1.0,1.387371,1,1,1,3,0.0
1,HAP_0,HAP,0.904837,0.838271,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.931704,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.920331,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.834924,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.922126,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.562192,0.808155,0.475912,0.736856,1,1,1,2,0.0
2,BS_1,BS,0.651635,0.762525,0.32827,0.880113,1,1,1,2,0.0
2,BS_2,BS,0.557803,0.89618,0.48375,0.184286,1,1,1,1,0.0
2,BS_3,BS,0.818731,0.879204,0.0,0.0,2,0,0,0,0.0
2,BS_4,BS,0.568656,0.819824,0.46448,1.071688,1,1,1,2,0.0
2,HAP_0,HAP,0.79722,0.872545,0.126625,0.012627,1,1,1,0,0.292211
2,HAP_1,HAP,0.810177,0.939762,0.110503,0.009616,1,1,1,0,0.255006
2,HAP_2,HAP,0.753397,0.934876,0.083163,0.005446,2,0,0,0,0.191914
2,LEO_0,LEO,0.804165,0.871177,0.117951,0.010956,1,1,1,0,0.272194
2,LEO_1,LEO,0.803277,0.932094,0.119055,0.011162,1,1,1,0,0.274743
3,BS_0,BS,0.733825,0.832822,0.209485,0.513515,1,1,1,2,0.0
3,BS_1,BS,0.740089,0.799452,0.200985,0.603884,1,1,1,2,0.0
3,BS_2,BS,0.521523,0.871846,0.551001,0.358873,1,1,1,1,0.0
3,BS_3,BS,0.740818,0.915443,0.0,0.0,3,0,0,0,0.0
3,BS_4,BS,0.825897,0.850634,0.091286,0.703159,1,1,1,2,0.0
3,HAP_0,HAP,0.792047,0.905202,0.033134,0.009072,2,0,0,0,0.164127
3,HAP_1,HAP,0.804982,0.954312,0.016936,0.006476,2,0,0,0,0.115584
3,HAP_2,HAP,0.757586,0.934431,0.177619,0.028384,1,1,1,0,0.342719
3,LEO_0,LEO,0.813172,0.896083,0.106813,0.016106,1,1,1,0,0.32815
3,LEO_1,LEO,0.781384,0.934222,0.146689,0.024201,1,1,1,0,0.420935
4,BS_0,BS,0.795213,0.856378,0.129145,0.346919,1,1,1,2,0.0
4,BS_1,BS,0.5881,0.812357,0.430859,0.538716,1,1,1,1,0.0
4,BS_2,BS,0.582146,0.864947,0.441033,0.386444,1,1,1,1,0.0
4,BS_3,BS,0.67032,0.94081,0.0,0.0,4,0,0,0,0.0
4,BS_4,BS,0.717178,0.86276,0.232432,0.499598,1,1,1,2,0.0
4,HAP_0,HAP,0.692844,0.924257,0.066951,0.009427,3,0,0,0,0.2512
4,HAP_1,HAP,0.671095,0.955282,0.098844,0.011904,3,0,0,0,0.322163
4,HAP_2,HAP,0.791994,0.947769,0.033202,0.019318,2,0,0,0,0.199586
4,LEO_0,LEO,0.777222,0.918117,0.052029,0.012601,2,0,0,0,0.309018
4,LEO_1,LEO,0.78255,0.944984,0.045198,0.017339,2,0,0,0,0.321935
5,BS_0,BS,0.715828,0.860423,0.234316,0.268734,1,1,1,3,0.0
5,BS_1,BS,0.733704,0.840309,0.20965,0.384778,1,1,1,2,0.0
5,BS_2,BS,0.592342,0.861621,0.423671,0.392543,1,1,1,1,0.0
5,BS_3,BS,0.904837,0.958567,0.0,0.0,1,1,0,0,0.0
5,BS_4,BS,0.600467,0.860309,0.410048,0.457148,1,1,1,1,0.0
5,HAP_0,HAP,0.650793,0.941802,0.029564,0.006816,4,0,0,0,0.137607
5,HAP_1,HAP,0.626439,0.959465,0.067704,0.011347,4,0,0,0,0.184144
5,HAP_2,HAP,0.721639,0.95789,0.02623,0.013098,3,0,0,0,0.206892
5,LEO_0,LEO,0.71167,0.936685,0.040141,0.009459,3,0,0,0,0.084488
5,LEO_1,LEO,0.701601,0.951484,0.05439,0.0136,3,0,0,0,0.34811
6,BS_0,BS,0.710768,0.860259,0.241409,0.220571,1,1,1,3,0.0
6,BS_1,BS,0.649294,0.844558,0.33187,0.336839,1,1,1,2,0.0
