slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,232.959612,0.0,0.305833,1.808089,6,6,1,1,0
2,107.504027,0.0,0.3434,4.085383,10,10,1,1,0
3,219.152399,0.0,0.365045,4.100149,7,7,1,1,0
4,141.30607,0.0,0.391801,4.791,8,8,1,1,0
5,184.649178,0.0,0.412279,3.971362,8,8,1,1,0
6,157.073762,0.0,0.318643,2.597468,9,8,1,1,0
7,161.469587,0.0,0.306193,3.242883,8,8,1,1,0
8,231.504471,0.0,0.252393,3.832806,7,7,1,1,0
9,437.90835,0.0,0.352827,4.341696,8,8,1,1,0
10,195.803617,0.0,0.30776,4.963326,9,8,1,1,0
11,174.793005,0.0,0.324166,3.514958,9,8,1,1,0
12,249.924868,0.0,0.345464,3.583096,9,9,1,1,0
13,163.706404,0.0,0.477739,5.451999,9,9,1,1,0
14,149.516941,0.0,0.535968,4.918014,8,8,1,1,0
15,132.816882,0.0,0.321227,4.397604,6,6,1,1,0
16,184.002911,0.0,0.265198,2.961216,9,8,1,1,0
17,215.723832,0.0,0.286007,3.630826,8,8,1,1,0
18,132.842679,0.0,0.267028,3.955786,7,7,1,1,0
19,173.262246,0.0,0.272092,4.809899,8,8,1,1,0
20,137.509574,0.0,0.353496,3.988566,8,7,1,1,0
21,176.580719,0.0,0.287062,3.942112,7,6,1,1,0
22,153.199155,0.0,0.313021,3.457643,8,8,1,1,0
23,227.764116,0.0,0.234963,3.647864,7,6,1,1,0
24,252.694406,0.0,0.277727,3.66342,8,7,1,1,0
25,538.042183,0.0,0.415995,5.144078,8,8,1,1,0
26,136.284834,0.0,0.528718,5.21073,10,10,1,1,0
27,152.081797,0.0,0.321616,4.105803,6,6,1,1,0
28,264.738283,0.0,0.208791,4.483502,6,6,1,1,0
29,147.18645,0.0,0.420034,5.646262,9,9,1,1,0
30,158.227193,0.0,0.25677,3.365984,9,8,1,1,0
31,250.437994,0.0,0.286544,3.948138,8,8,1,1,0
32,200.766282,0.0,0.442826,4.734783,8,8,1,1,0
33,147.260702,0.0,0.476634,5.370348,8,8,1,1,0
34,128.221003,0.0,0.230379,3.311563,7,7,1,1,0
35,234.671874,0.0,0.356274,3.798805,8,8,1,1,0
36,131.350478,0.0,0.317636,4.161035,9,9,1,1,0
37,213.911588,0.0,0.214539,3.246811,7,7,1,1,0
38,132.428723,0.0,0.258962,3.209499,9,9,1,1,0
39,120.269057,0.0,0.277425,4.62626,8,8,1,1,0
40,207.477861,0.0,0.290502,3.542852,7,6,1,1,0
