slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.791414,1.0,2.139073,1,1,1,6,0.0
1,BS_1,BS,0.332871,0.751979,1.0,0.812264,1,1,1,2,0.0
1,BS_2,BS,0.393325,0.713804,0.833119,0.546594,1,1,1,1,0.0
1,BS_3,BS,0.332871,0.693375,1.0,2.163823,1,1,1,5,0.0
1,BS_4,BS,0.332871,0.699165,1.0,2.22305,1,1,1,7,0.0
1,HAP_0,HAP,0.904837,0.955849,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.36532,0.869535,0.906981,0.647809,1,1,1,2,0.0
1,HAP_2,HAP,0.904837,0.840682,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.843984,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.89178,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.542874,0.78551,0.510878,1.595932,1,1,1,6,0.0
2,BS_1,BS,0.540784,0.765834,0.514736,0.736622,1,1,1,2,0.0
2,BS_2,BS,0.369692,0.701759,0.895085,0.986213,1,1,1,3,0.786831
2,BS_3,BS,0.53586,0.715713,0.523882,1.622616,1,1,1,6,0.0
2,BS_4,BS,0.546664,0.721563,0.503921,1.644957,1,1,1,5,0.0
2,HAP_0,HAP,0.588716,0.92074,0.429812,0.145481,1,1,1,0,0.991874
2,HAP_1,HAP,0.4216,0.821928,0.763699,0.880374,1,1,1,4,0.739329
2,HAP_2,HAP,0.636059,0.848825,0.352464,0.097832,1,1,1,0,0.813378
2,LEO_0,LEO,0.586992,0.842105,0.432745,0.147473,1,1,1,0,0.998641
2,LEO_1,LEO,0.598334,0.877715,0.413607,0.134718,1,1,1,0,0.954477
3,BS_0,BS,0.688279,0.802737,0.273562,1.096289,1,1,1,5,0.895489
3,BS_1,BS,0.610918,0.781129,0.392792,0.600304,1,1,1,2,0.99587
3,BS_2,BS,0.552092,0.726071,0.494041,0.833249,1,1,1,3,0.0
3,BS_3,BS,0.682058,0.753061,0.28264,1.11761,1,1,1,5,0.902474
3,BS_4,BS,0.639907,0.751415,0.346433,1.163735,1,1,1,7,0.994684
3,HAP_0,HAP,0.795373,0.929529,0.128944,0.107656,1,1,1,0,0.0
3,HAP_1,HAP,0.783143,0.847231,0.14444,0.588673,1,1,1,3,0.228324
3,HAP_2,HAP,0.788681,0.886499,0.037393,0.064692,2,0,0,0,0.157722
3,LEO_0,LEO,0.794674,0.874382,0.129823,0.10913,1,1,1,0,0.0
3,LEO_1,LEO,0.79925,0.899976,0.124082,0.099691,1,1,1,0,0.0
4,BS_0,BS,0.665884,0.811818,0.30664,0.786635,1,1,1,6,0.0
4,BS_1,BS,0.838247,0.824207,0.076443,0.394799,1,1,1,2,0.0
4,BS_2,BS,0.69118,0.762139,0.269355,0.598747,1,1,1,3,0.691462
4,BS_3,BS,0.661472,0.776447,0.313287,0.803739,1,1,1,6,0.0
4,BS_4,BS,0.659773,0.775063,0.315859,0.834994,1,1,1,5,0.0
4,HAP_0,HAP,0.689093,0.915627,0.272379,0.128402,1,1,1,0,0.958365
4,HAP_1,HAP,0.689325,0.848684,0.272043,0.440918,1,1,1,3,0.743377
4,HAP_2,HAP,0.765023,0.896511,0.16785,0.064236,1,1,1,0,0.761199
4,LEO_0,LEO,0.685819,0.876459,0.277142,0.131421,1,1,1,0,0.971606
4,LEO_1,LEO,0.679398,0.893512,0.286549,0.129461,1,1,1,0,0.97863
5,BS_0,BS,0.656086,0.816841,0.321463,0.592692,1,1,1,6,0.834881
5,BS_1,BS,0.741834,0.838947,0.19863,0.287689,1,1,1,2,0.803962
5,BS_2,BS,0.694099,0.787356,0.265141,0.444546,1,1,1,3,0.28968
5,BS_3,BS,0.650866,0.791362,0.329451,0.607904,1,1,1,7,0.973617
5,BS_4,BS,0.656779,0.791208,0.320407,0.623591,1,1,1,6,0.931464
5,HAP_0,HAP,0.734305,0.918459,0.208831,0.117804,1,1,1,0,0.0
5,HAP_1,HAP,0.773794,0.862538,0.15645,0.305872,1,1,1,3,0.231506
5,HAP_2,HAP,0.78586,0.910432,0.140977,0.057405,1,1,1,0,0.134524
5,LEO_0,LEO,0.732621,0.890786,0.211127,0.120526,1,1,1,0,0.0
5,LEO_1,LEO,0.734703,0.902974,0.208289,0.118315,1,1,1,0,0.0
6,BS_0,BS,0.65168,0.81975,0.328202,0.470077,1,1,1,7,0.0
6,BS_1,BS,0.759344,0.852564,0.1753,0.211198,1,1,1,2,0.0
6,BS_2,BS,0.674403,0.802273,0.293927,0.35699,1,1,1,3,0.395996
