slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_9,BS_2,LEO_0,234.000387,233.860911,0.0,0.020443,0.095163
1,T1_UAV_27,BS_0,LEO_1,265.274914,265.136096,0.0,0.019786,0.095163
1,T1_UAV_19,BS_3,HAP_1,243.224265,243.090008,0.0,0.015224,0.095163
1,T1_UAV_34,BS_2,HAP_2,254.757136,254.623703,0.0,0.014401,0.095163
1,T1_UAV_33,BS_2,LEO_0,277.821624,277.682184,0.0,0.020408,0.095163
1,T1_UAV_5,BS_3,LEO_1,368.283709,368.159357,0.0,0.005319,0.095163
1,T1_UAV_7,BS_3,LEO_0,371.259881,371.136281,0.0,0.004567,0.095163
1,T1_UAV_32,BS_2,LEO_1,415.589371,415.455927,0.0,0.014412,0.095163
1,T1_UAV_31,BS_2,HAP_1,435.303854,435.172465,0.0,0.012357,0.095163
1,T1_UAV_12,BS_4,HAP_2,439.305864,439.173469,0.0,0.013362,0.095163
1,T1_UAV_24,BS_3,LEO_0,448.127757,448.001024,0.0,0.007701,0.095163
1,T1_UAV_14,BS_0,LEO_1,507.26927,507.13726,0.0,0.012978,0.095163
1,T1_UAV_39,BS_0,HAP_1,465.348108,465.221749,0.0,0.007327,0.095163
1,T1_UAV_26,BS_2,HAP_2,481.659861,481.46309,0.0,0.077738,0.095163
1,T1_UAV_23,BS_0,LEO_0,483.168617,483.040274,0.0,0.009311,0.095163
1,T1_UAV_10,BS_2,LEO_1,561.444241,561.316479,0.0,0.00873,0.095163
1,T1_UAV_36,BS_1,LEO_0,533.645953,533.513351,0.0,0.013569,0.095163
1,T1_UAV_4,HAP_0,LEO_1,614.027815,613.903808,0.0,0.004975,0.095163
1,T1_UAV_17,BS_2,HAP_1,561.096537,560.968649,0.0,0.008856,0.095163
1,T1_UAV_11,BS_4,HAP_2,579.489674,579.316975,0.0,0.053667,0.095163
1,T1_UAV_37,BS_2,LEO_0,156.193644,156.065835,0.0,0.008776,0.095163
1,T1_UAV_2,BS_2,LEO_1,186.429419,186.303251,0.0,0.007136,0.095163
1,T1_UAV_6,HAP_0,HAP_1,186.352751,186.208027,0.0,0.025691,0.095163
1,T1_UAV_35,BS_2,HAP_2,214.358707,214.191116,0.0,0.048558,0.095163
1,T1_UAV_0,BS_0,LEO_0,220.861662,220.729163,0.0,0.013466,0.095163
1,T1_UAV_38,BS_0,LEO_1,245.829499,245.703902,0.0,0.006564,0.095163
1,T1_UAV_21,BS_3,LEO_0,230.36139,230.225342,0.0,0.017015,0.095163
1,T1_UAV_1,BS_3,LEO_1,261.023596,260.899973,0.0,0.00459,0.095163
1,T1_UAV_25,HAP_0,HAP_1,250.161111,250.031403,0.0,0.010676,0.095163
1,T1_UAV_29,BS_4,HAP_2,357.817631,357.682974,0.0,0.015625,0.095163
1,T1_UAV_30,BS_1,LEO_1,533.928088,533.804119,0.0,0.004936,0.095163
