slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,453.79867,0.0,0.99995,9.336832,6,6,1,1,6
2,1090.345684,0.0,0.235945,2.492521,10,10,1,1,30
3,461.443662,0.0,1.003702,7.893265,7,7,1,1,8
4,1085.786425,0.0,0.25322,1.961862,10,10,1,1,34
5,661.387974,0.0,0.872109,7.453972,10,10,1,1,14
6,1118.060333,0.0,0.237617,2.349531,10,10,1,1,26
7,534.667361,0.0,0.745524,8.100181,10,10,1,1,11
8,916.743398,0.0,0.400551,3.468986,10,10,1,1,30
9,718.909143,0.0,0.719266,6.633135,10,10,1,1,14
10,906.266253,0.0,0.372257,3.28478,10,10,1,1,31
11,598.016474,0.0,0.674795,7.392332,10,10,1,1,13
12,1018.971011,0.0,0.415681,3.181105,10,10,1,1,31
13,725.995718,0.0,0.69852,6.125473,10,10,1,1,17
14,1000.947492,0.0,0.580782,3.975484,10,10,1,1,24
15,631.755067,0.0,0.490183,5.729294,9,9,1,1,12
16,964.040965,0.0,0.343145,3.629114,8,8,1,1,32
17,651.693057,0.0,0.609889,7.132083,8,8,1,1,13
18,1113.726608,0.0,0.392273,3.388617,10,9,1,1,26
19,671.348352,0.0,0.568456,6.620981,9,9,1,1,17
20,959.094316,0.0,0.392949,3.491418,9,9,1,1,23
21,678.435651,0.0,0.489866,7.469099,8,8,1,1,18
22,904.969767,0.0,0.447092,3.888031,9,8,1,1,21
23,677.366148,0.0,0.505349,7.129227,8,8,1,1,14
24,905.555254,0.0,0.335668,4.281021,9,8,1,1,21
25,612.696812,0.0,0.387414,6.335479,8,8,1,1,13
26,946.285717,0.0,0.404806,3.982588,9,8,1,1,23
27,734.142657,0.0,0.379085,5.12858,8,8,1,1,17
28,914.42081,0.0,0.530475,4.522997,9,8,1,1,25
29,754.517962,0.0,0.431239,4.643354,8,8,1,1,18
30,839.580656,0.0,0.284191,3.594705,9,8,1,1,21
31,887.747062,0.0,0.426753,5.686417,8,8,1,1,21
32,975.299155,0.0,0.393717,4.041393,8,7,1,1,31
33,856.267056,0.0,0.491419,6.192836,7,7,1,1,25
34,1120.38227,0.0,0.360334,3.863761,8,6,1,1,31
35,680.738184,0.0,0.346531,5.417039,8,7,1,1,17
36,966.645716,0.0,0.382024,3.926532,9,8,1,1,26
37,820.408513,0.0,0.446052,5.257292,6,7,1,1,20
38,972.324795,0.0,0.44804,4.961525,8,7,1,1,26
39,753.906725,0.0,0.501389,5.706391,8,7,1,1,17
40,924.854928,0.0,0.381632,4.335708,9,8,1,1,26
