slot,average_delay,average_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,161.21944,0.0,0.358735,1.332276,5,5,1,1,0
2,487.103345,0.0,0.492665,3.900252,9,9,1,1,3
3,379.951348,0.0,0.522086,4.203547,10,10,1,1,2
4,273.08589,0.0,0.577228,4.150471,9,9,1,1,1
5,419.869251,0.0,0.435145,4.009909,10,10,1,1,2
6,275.532718,0.0,0.368165,4.287998,10,10,1,1,1
7,438.889969,0.0,0.356174,4.077471,10,10,1,1,4
8,390.613252,0.0,0.45135,4.406689,10,10,1,1,2
9,338.187143,0.0,0.417775,4.66155,10,10,1,1,2
10,336.213115,0.0,0.433599,4.525812,10,10,1,1,1
11,371.907682,0.0,0.447451,4.572988,10,10,1,1,1
12,307.556261,0.0,0.434797,4.24077,10,9,1,1,0
13,278.226059,0.0,0.386876,5.555961,10,10,1,1,0
14,484.962793,0.0,0.392863,3.673567,10,10,1,1,3
15,192.379564,0.0,0.544913,5.052208,10,10,1,1,0
16,315.740926,0.0,0.29466,3.994487,10,10,1,1,1
17,184.975366,0.0,0.414413,4.267348,10,10,1,1,0
18,413.545631,0.0,0.425093,4.061487,10,10,1,1,2
19,190.583121,0.0,0.350743,4.756081,10,10,1,1,0
20,306.009673,0.0,0.267564,3.465011,10,10,1,1,1
21,424.042408,0.0,0.370228,4.779556,10,10,1,1,2
22,265.615146,0.0,0.408617,4.435461,10,10,1,1,0
23,239.503632,0.0,0.37838,4.9,10,10,1,1,0
24,519.572883,0.0,0.387609,3.911447,10,10,1,1,4
25,297.302281,0.0,0.452929,4.29081,10,10,1,1,1
26,416.586112,0.0,0.33281,3.841293,10,10,1,1,2
27,263.690758,0.0,0.361558,4.001658,10,10,1,1,0
28,202.9552,0.0,0.481996,5.402274,10,10,1,1,0
29,289.669318,0.0,0.340289,4.613586,10,10,1,1,2
30,459.899035,0.0,0.357618,4.523766,10,10,1,1,2
31,227.721309,0.0,0.350975,3.954934,10,10,1,1,0
32,361.320351,0.0,0.489926,4.620753,10,10,1,1,2
33,523.399057,0.0,0.262763,3.460084,10,10,1,1,4
34,212.688925,0.0,0.340697,4.190725,10,10,1,1,0
35,280.262331,0.0,0.408285,4.56627,10,10,1,1,1
36,553.318757,0.0,0.369893,4.833509,10,10,1,1,5
37,261.66527,0.0,0.320599,4.187877,10,10,1,1,0
38,210.136734,0.0,0.371185,4.378973,10,10,1,1,0
39,313.808542,0.0,0.40041,3.799025,10,10,1,1,2
40,239.849247,0.0,0.347079,4.159059,10,10,1,1,0
