slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.763567,1.0,1.116968,1,1,1,3,0.0
1,BS_1,BS,0.332871,0.714619,1.0,0.452517,1,1,1,1,0.0
1,BS_2,BS,0.332871,0.71448,1.0,1.194326,1,1,1,4,0.0
1,BS_3,BS,0.332871,0.716828,1.0,0.655879,1,1,1,2,0.0
1,BS_4,BS,0.332871,0.768926,1.0,0.960275,1,1,1,3,0.0
1,HAP_0,HAP,0.904837,0.764073,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.7997,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.332871,0.880145,1.0,0.696908,1,1,1,4,0.0
1,LEO_0,LEO,0.904837,0.87698,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.927737,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.658919,0.776825,0.317155,0.938838,1,1,1,3,0.0
2,BS_1,BS,0.702601,0.74966,0.252966,0.39081,1,1,1,1,0.0
2,BS_2,BS,0.661465,0.737786,0.313299,0.999631,1,1,1,5,0.0
2,BS_3,BS,0.674254,0.750249,0.294149,0.563639,1,1,1,1,0.0
2,BS_4,BS,0.695611,0.786028,0.262964,0.799338,1,1,1,3,0.0
2,HAP_0,HAP,0.693476,0.791306,0.266039,0.031849,1,1,1,0,0.498823
2,HAP_1,HAP,0.644501,0.814314,0.339279,0.0518,1,1,1,0,0.636148
2,HAP_2,HAP,0.590203,0.874143,0.427289,0.639686,1,1,1,1,0.0
2,LEO_0,LEO,0.455447,0.850098,0.686475,0.212062,1,1,1,0,1.287141
2,LEO_1,LEO,0.525225,0.901395,0.543928,0.133136,1,1,1,0,1.019865
3,BS_0,BS,0.636321,0.787995,0.352052,0.806844,1,1,1,2,0.0
3,BS_1,BS,0.533862,0.754699,0.527619,0.437919,1,1,1,2,1.669119
3,BS_2,BS,0.66198,0.756478,0.31252,0.843656,1,1,1,6,0.0
3,BS_3,BS,0.635907,0.77038,0.352702,0.506891,1,1,1,2,0.0
3,BS_4,BS,0.711858,0.800058,0.239878,0.665364,1,1,1,2,0.0
3,HAP_0,HAP,0.723628,0.813091,0.223478,0.047954,1,1,1,0,0.718315
3,HAP_1,HAP,0.812894,0.839343,0.107154,0.046607,1,1,1,0,0.582603
3,HAP_2,HAP,0.55376,0.859272,0.491023,0.620245,1,1,1,3,0.486718
3,LEO_0,LEO,0.698697,0.860207,0.258538,0.199728,1,1,1,0,0.287527
3,LEO_1,LEO,0.79392,0.908704,0.130773,0.114204,1,1,1,0,0.366719
4,BS_0,BS,0.692692,0.799897,0.267169,0.677596,1,1,1,3,0.0
4,BS_1,BS,0.702346,0.77972,0.253329,0.379214,1,1,1,1,0.0
4,BS_2,BS,0.645304,0.7699,0.338034,0.726345,1,1,1,5,0.0
4,BS_3,BS,0.606287,0.78813,0.400402,0.477657,1,1,1,1,0.0
4,BS_4,BS,0.682294,0.808235,0.282294,0.568152,1,1,1,3,0.596859
4,HAP_0,HAP,0.776444,0.833121,0.153031,0.048901,1,1,1,0,0.857593
4,HAP_1,HAP,0.602021,0.835557,0.407463,0.111997,1,1,1,0,1.291677
4,HAP_2,HAP,0.692524,0.861062,0.267412,0.528375,1,1,1,3,0.197806
4,LEO_0,LEO,0.903784,0.882978,0.001165,0.159783,1,1,1,0,0.530732
4,LEO_1,LEO,0.793694,0.912176,0.131058,0.099093,1,1,1,0,0.751327
5,BS_0,BS,0.680633,0.80794,0.284733,0.578559,1,1,1,3,0.0
5,BS_1,BS,0.774621,0.80621,0.155381,0.314236,1,1,1,2,0.0
5,BS_2,BS,0.649003,0.780981,0.332319,0.630772,1,1,1,5,0.0
5,BS_3,BS,0.616284,0.800564,0.384047,0.448497,1,1,1,1,0.0
5,BS_4,BS,0.562524,0.807062,0.475322,0.55619,1,1,1,2,0.0
5,HAP_0,HAP,0.773295,0.851717,0.157094,0.050226,1,1,1,0,0.465029
5,HAP_1,HAP,0.532488,0.83434,0.530195,0.216096,1,1,1,0,0.0
5,HAP_2,HAP,0.715892,0.864147,0.234226,0.447388,1,1,1,4,0.0
5,LEO_0,LEO,0.534289,0.86175,0.526819,0.252719,1,1,1,0,1.697663
5,LEO_1,LEO,0.786661,0.921412,0.039958,0.079993,2,0,0,0,0.568305
6,BS_0,BS,0.653187,0.81182,0.325892,0.51064,1,1,1,3,0.758423
6,BS_1,BS,0.619493,0.809328,0.378854,0.315978,1,1,1,2,0.22817
6,BS_2,BS,0.642011,0.789196,0.343149,0.557606,1,1,1,4,0.0
6,BS_3,BS,0.523216,0.794206,0.547762,0.493817,1,1,1,2,0.646095
6,BS_4,BS,0.68231,0.814512,0.282271,0.480807,1,1,1,3,0.0
6,HAP_0,HAP,0.768907,0.86334,0.162785,0.052106,1,1,1,0,0.899549
6,HAP_1,HAP,0.874838,0.861059,0.033717,0.173388,1,1,1,0,0.491425
6,HAP_2,HAP,0.717045,0.863384,0.232617,0.38226,1,1,1,3,0.589894
