slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,232.959612,0.004409,4426.232635,0.083764,0.349524,1.808089,6,6,1,1,0
2,102.464748,0.033875,1024.647482,0.338747,0.392562,4.464603,10,10,1,1,0
3,224.067285,0.028343,4033.211121,0.510175,0.442005,4.662632,9,9,1,1,0
4,168.432486,0.036033,2694.919774,0.576521,0.462498,4.0497,8,8,1,1,0
5,140.24741,0.014352,2103.711146,0.215273,0.466024,4.814058,7,7,1,1,0
6,115.527781,0.012844,1501.861155,0.166968,0.423332,4.146472,7,7,1,1,0
7,133.77987,0.033392,2006.698044,0.500887,0.385158,3.223664,9,7,1,1,0
8,160.371606,0.02309,2565.945693,0.369436,0.358288,4.00843,8,8,1,1,0
9,146.109378,0.026101,2483.859433,0.443723,0.454064,5.39049,8,8,1,1,0
10,141.795449,0.034113,2410.522632,0.579917,0.421312,4.451976,9,8,1,1,0
11,143.10872,0.02326,2146.630806,0.348901,0.379858,4.12947,8,8,1,1,0
12,349.621573,0.027871,5593.945174,0.445943,0.349684,3.724048,9,9,1,1,0
13,219.925531,0.018778,3958.659554,0.33801,0.378069,5.202346,8,8,1,1,0
14,229.421795,0.038805,3900.170509,0.659688,0.417075,4.687438,10,9,1,1,0
15,187.009305,0.02213,2618.130267,0.309826,0.340102,3.610256,9,9,1,1,0
16,193.115261,0.025818,2703.613647,0.361451,0.31739,4.270353,9,9,1,1,0
17,128.389961,0.036949,1925.849412,0.554237,0.415478,4.566497,10,10,1,1,0
18,142.971665,0.008072,2001.60331,0.113001,0.28032,3.637668,7,7,1,1,0
19,142.315207,0.023214,2277.043309,0.37143,0.392113,5.355171,8,8,1,1,0
20,159.827464,0.011649,2557.239431,0.186391,0.395802,4.370621,7,7,1,1,0
21,162.407602,0.031546,2923.336835,0.567833,0.384139,4.193278,9,9,1,1,0
