slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_12,BS_4,LEO_0,239.61734,239.568238,0.001931,0.028139,0.095163
1,T1_UAV_16,BS_2,LEO_1,200.483596,200.430197,0.00865,0.025716,0.095163
1,T1_UAV_5,BS_2,HAP_1,196.807497,196.722053,0.006704,0.059708,0.095163
1,T1_UAV_6,BS_3,HAP_0,226.658254,226.520582,0.00585,0.112789,0.095163
1,T1_UAV_13,BS_2,LEO_0,305.311283,305.254705,0.002534,0.035011,0.095163
1,T1_UAV_18,BS_4,LEO_1,260.489937,260.438276,0.012049,0.020579,0.095163
1,T1_UAV_9,HAP_2,LEO_0,338.990045,338.958908,0.002165,0.009939,0.095163
1,T1_UAV_8,BS_0,LEO_1,289.288206,289.233471,0.01466,0.021042,0.095163
1,T1_UAV_19,HAP_2,HAP_1,270.895199,270.828513,0.006851,0.040803,0.095163
1,T1_UAV_10,BS_0,HAP_0,285.41328,285.288526,0.011074,0.094648,0.095163
1,T1_UAV_1,BS_3,LEO_1,111.475103,111.421108,0.004433,0.030529,0.095163
1,T1_UAV_15,HAP_2,LEO_0,177.311295,177.274766,0.00114,0.016357,0.095163
1,T1_UAV_4,BS_0,HAP_1,142.718516,142.612046,0.004871,0.082567,0.095163
1,T1_UAV_0,BS_4,HAP_0,156.981224,156.884192,0.005198,0.072802,0.095163
1,T1_UAV_3,HAP_2,LEO_0,225.381859,225.336243,0.001319,0.025265,0.095163
1,T1_UAV_17,BS_2,LEO_1,188.436286,188.401824,0.007928,0.007502,0.095163
1,T1_UAV_11,BS_1,LEO_0,327.630755,327.593672,0.002395,0.015655,0.095163
2,T2_UAV_16,BS_2,LEO_1,82.84578,82.582735,0.047739,0.020351,0.474775
2,T2_UAV_14,BS_2,LEO_0,89.731293,89.466381,0.041156,0.014846,0.544553
2,T2_UAV_4,BS_0,HAP_2,147.279967,147.044639,0.027981,0.025387,0.409797
2,T2_UAV_12,BS_4,HAP_0,178.417409,178.186868,0.032032,0.037203,0.306524
2,T2_UAV_10,BS_0,BS_1,510.12568,509.767839,0.137368,0.060993,0.297399
2,T2_UAV_0,BS_4,BS_1,530.048834,529.711965,0.142352,0.035038,0.297399
2,T2_UAV_17,BS_2,BS_1,781.910114,781.518449,0.205272,0.026913,0.297399
2,T2_UAV_9,HAP_2,HAP_1,60.105693,59.872376,0.027041,0.035176,0.355499
2,T2_UAV_5,BS_2,LEO_1,51.003131,50.743851,0.044496,0.01983,0.474775
2,T2_UAV_18,BS_4,LEO_0,67.471332,67.146676,0.040821,0.074925,0.544553
2,T2_UAV_11,BS_1,HAP_0,101.938129,101.730078,0.028132,0.018614,0.306524
2,T2_UAV_8,BS_0,HAP_2,124.858984,124.610624,0.027749,0.038651,0.409797
2,T2_UAV_1,BS_3,HAP_1,138.082779,137.845239,0.028703,0.037738,0.355499
2,T2_UAV_7,BS_2,BS_1,423.664104,423.36187,0.115778,0.026976,0.297399
3,T3_UAV_17,BS_2,LEO_1,142.965795,142.7469,0.047189,0.03049,0.20608
3,T3_UAV_16,BS_2,LEO_0,152.142042,151.897462,0.041517,0.042802,0.301303
3,T3_UAV_7,BS_2,HAP_1,192.745119,192.683435,0.00577,0.01074,0.22587
3,T3_UAV_1,BS_3,HAP_0,132.720935,132.513393,0.02906,0.033729,0.223762
3,T3_UAV_12,BS_4,HAP_2,174.120739,173.863299,0.028178,0.030036,0.496125
3,T3_UAV_3,HAP_2,LEO_1,215.142614,214.943613,0.049919,0.007866,0.20608
