slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,54.097625,0.00877,703.269119,0.114011,0.405072,1.237114,4,4,1,1,0
2,64.279,0.039551,835.627005,0.514159,0.331084,3.825863,10,10,1,1,0
3,79.528436,0.007899,1431.511849,0.142188,0.481876,3.997532,5,5,1,1,0
4,52.268279,0.038477,836.292465,0.615633,0.456531,4.88697,10,10,1,1,0
5,76.086236,0.017303,1141.293536,0.259545,0.397864,3.053141,6,6,1,1,0
6,69.681284,0.028627,1254.263116,0.515288,0.43555,5.241838,7,7,1,1,0
7,71.290585,0.018675,1069.358779,0.280124,0.262661,4.412536,7,7,1,1,0
8,67.596927,0.030029,878.760053,0.390373,0.186913,2.46497,9,7,1,1,0
9,76.573669,0.011889,1225.178709,0.190227,0.292803,3.920209,6,6,1,1,0
10,114.347465,0.031171,1600.864504,0.436388,0.205104,2.860711,7,6,1,1,0
11,58.756771,0.026486,940.108331,0.423775,0.290723,5.175602,8,8,1,1,0
12,125.529756,0.037483,2008.476099,0.599727,0.27538,3.049504,8,7,1,1,0
13,122.823809,0.026356,2210.828555,0.4744,0.302611,4.393715,7,6,1,1,0
14,70.718659,0.022979,1202.217195,0.390642,0.424263,5.725373,7,7,1,1,0
15,104.54877,0.031105,1568.231556,0.466568,0.280216,3.653185,9,9,1,1,0
16,63.776065,0.031036,829.088851,0.403474,0.32913,3.136146,9,9,1,1,0
17,55.013533,0.011223,715.175933,0.145897,0.280265,3.114419,6,6,1,1,0
18,64.081201,0.021287,1153.46162,0.383169,0.381488,5.493362,7,7,1,1,0
19,61.652494,0.031212,924.787406,0.468177,0.312156,3.332254,8,7,1,1,0
20,78.712858,0.035676,1338.118589,0.606486,0.329599,4.220309,8,8,1,1,0
21,94.20351,0.025332,1413.052655,0.379985,0.231109,3.500813,6,6,1,1,0
22,122.88971,0.02959,2334.904491,0.562211,0.307914,5.289449,8,8,1,1,0
23,78.534624,0.037949,1335.088611,0.645134,0.362938,5.639698,9,9,1,1,0
24,87.336114,0.031806,1572.050057,0.572502,0.351403,3.994224,9,8,1,1,0
25,74.861917,0.032242,1197.790679,0.515875,0.388781,4.464964,9,9,1,1,0
26,69.397277,0.037436,1040.959151,0.561535,0.37932,3.262127,9,9,1,1,0
27,69.375409,0.024912,1179.381957,0.423505,0.37512,4.181615,7,7,1,1,0
28,101.273899,0.037187,1721.65629,0.632173,0.268207,3.566357,8,8,1,1,0
29,62.248589,0.030024,933.728835,0.450357,0.271893,4.279488,9,9,1,1,0
30,96.813991,0.016768,1645.837851,0.285063,0.280659,4.198053,6,6,1,1,0
31,130.659083,0.008949,2090.545334,0.143178,0.280936,4.148009,6,6,1,1,0
32,205.276529,0.114515,2873.871404,1.603215,0.463353,3.382769,9,9,1,1,0
33,84.212226,0.027314,1178.971169,0.382402,0.241395,3.055969,9,8,1,1,0
34,66.238938,0.040294,1126.061941,0.685006,0.363582,4.448996,10,10,1,1,0
35,75.780334,0.01892,1364.046005,0.340566,0.429383,4.014652,6,6,1,1,0
36,78.461698,0.02983,784.616981,0.298298,0.14558,2.281819,8,8,1,1,0
37,102.242976,0.025951,1942.616536,0.49306,0.405026,5.561335,8,8,1,1,0
38,97.931151,0.037973,1566.898423,0.607569,0.272999,3.310381,10,9,1,1,0
39,81.098612,0.029994,1459.775024,0.539895,0.526592,5.297738,8,8,1,1,0
40,57.208875,0.032718,972.550872,0.556214,0.452412,4.48883,9,9,1,1,0
41,69.314017,0.013253,970.396231,0.185544,0.295686,3.175567,6,6,1,1,0
42,67.648063,0.016334,1150.017065,0.277686,0.344695,4.982885,6,6,1,1,0
43,177.975313,0.032713,2847.605013,0.523402,0.266504,2.775654,6,5,1,1,0
44,62.768385,0.039233,941.525776,0.588492,0.376793,5.527502,10,10,1,1,0
45,67.498818,0.041356,1147.479899,0.703046,0.39307,4.405312,10,10,1,1,0
46,104.407411,0.019388,1983.740804,0.368379,0.353276,4.322017,7,7,1,1,0
47,52.887434,0.025836,687.53664,0.335874,0.31611,3.363108,8,8,1,1,0
48,91.846202,0.01826,1469.539231,0.292165,0.291712,3.759897,7,7,1,1,0
49,76.150216,0.025811,1523.004321,0.51623,0.481573,6.358609,7,7,1,1,0
50,72.845904,0.036459,1384.072182,0.692723,0.450541,5.440748,8,8,1,1,0
51,72.523598,0.02008,1087.853968,0.301204,0.354762,3.093305,8,7,1,1,0
52,67.22886,0.012536,1142.890614,0.213119,0.426762,4.382488,5,5,1,1,0
53,76.369024,0.02199,1069.166337,0.307855,0.148404,3.821099,6,6,1,1,0
54,84.344331,0.038733,1349.50929,0.619727,0.234094,3.333928,8,7,1,1,0
55,118.135778,0.025929,2244.579777,0.492653,0.294246,4.44841,8,8,1,1,0
56,62.834708,0.032794,879.685917,0.459117,0.288437,3.96077,8,8,1,1,0
57,72.530165,0.019567,1233.012803,0.332643,0.369446,4.649868,6,6,1,1,0
58,77.784829,0.032296,1477.911745,0.613626,0.440384,4.544503,9,9,1,1,0
59,67.542144,0.022802,1013.132159,0.342026,0.369518,4.254929,7,7,1,1,0
60,102.246494,0.027593,1738.190393,0.469081,0.240269,3.600556,7,6,1,1,0
61,92.600338,0.017486,1481.605401,0.279779,0.240408,4.775289,6,6,1,1,0
62,94.900782,0.033068,1613.313302,0.562153,0.349637,4.294125,8,8,1,1,0
63,53.593562,0.032391,535.935619,0.323906,0.15434,2.395406,9,8,1,1,0
64,163.884925,0.031621,2786.043717,0.537559,0.314137,4.0057,8,8,1,1,0
65,66.348675,0.015079,928.881447,0.211112,0.211325,3.538029,7,7,1,1,0
66,211.139888,0.10595,2955.958438,1.483306,0.493857,3.146918,7,7,1,1,0
67,65.677146,0.042026,985.15719,0.630389,0.317915,4.505047,10,10,1,1,0
68,106.151098,0.038456,1592.26647,0.57684,0.326353,3.393977,10,10,1,1,0
69,102.082586,0.020547,1735.40397,0.349292,0.354892,3.964298,7,7,1,1,0
70,145.176421,0.022007,2467.999155,0.374111,0.249719,3.818117,7,7,1,1,0
71,65.649379,0.031304,1181.688819,0.56347,0.470124,5.652263,8,8,1,1,0
72,60.697451,0.02981,789.066868,0.387536,0.177282,2.491033,9,7,1,1,0
73,92.80814,0.024927,1484.930236,0.398825,0.290924,2.918288,8,8,1,1,0
74,78.409341,0.026687,1332.958801,0.453686,0.278186,4.476472,7,7,1,1,0
75,68.964958,0.029487,1172.404283,0.501286,0.45353,5.572977,8,8,1,1,0
76,63.109036,0.038057,946.635537,0.570848,0.342333,3.170561,9,7,1,1,0
77,71.577163,0.021654,1216.811773,0.368115,0.543201,4.425606,6,6,1,1,0
78,88.851742,0.031048,1510.479615,0.527824,0.31515,3.559783,9,9,1,1,0
79,54.674955,0.022364,874.799286,0.357827,0.3884,4.334978,7,7,1,1,0
80,75.163341,0.024793,1277.776799,0.421477,0.314935,3.704665,6,5,1,1,0
81,79.866335,0.027067,1357.727694,0.460131,0.293519,5.074406,7,7,1,1,0
82,95.154262,0.039353,1712.776708,0.708346,0.312494,2.992016,9,7,1,1,0
83,116.615954,0.015994,1749.239314,0.239916,0.280362,3.30947,7,7,1,1,0
84,159.03832,0.03471,2544.613119,0.555365,0.224562,4.241219,9,9,1,1,0
85,64.915931,0.028154,584.243378,0.253383,0.1596,2.276552,8,8,1,1,0
86,67.171911,0.033474,1007.578666,0.502107,0.380849,4.701683,9,9,1,1,0
87,56.204741,0.030608,786.866375,0.428516,0.278811,2.690721,9,9,1,1,0
88,59.968923,0.019733,1019.471683,0.335463,0.419294,3.83293,7,7,1,1,0
89,75.872301,0.015024,1062.212216,0.210335,0.215598,3.421058,7,7,1,1,0
90,109.672628,0.024343,1974.107303,0.438165,0.307352,4.255489,6,5,1,1,0
91,78.095163,0.032332,1171.427449,0.484977,0.270056,3.704724,8,8,1,1,0
92,95.73672,0.026581,1723.260958,0.478449,0.421197,4.482046,7,7,1,1,0
93,97.177268,0.031953,1554.836286,0.511243,0.296376,3.198374,8,7,1,1,0
94,66.818941,0.040986,1069.103057,0.655779,0.440357,5.341429,10,10,1,1,0
95,100.593987,0.038502,1408.31582,0.539031,0.305009,2.902584,9,9,1,1,0
96,103.64793,0.033701,1451.071027,0.471817,0.283227,3.201656,9,9,1,1,0
97,76.349546,0.03922,1221.592732,0.627515,0.343606,3.982636,9,9,1,1,0
98,79.51688,0.031851,1192.753202,0.477764,0.31319,3.371142,7,7,1,1,0
99,74.071251,0.023794,1111.068764,0.356906,0.306259,4.058956,7,7,1,1,0
100,124.072784,0.020162,1985.164549,0.322586,0.278417,3.672889,6,6,1,1,0
