slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_13,BS_2,LEO_0,152.68393,152.627352,0.002534,0.035011,0.095163
1,T1_UAV_18,BS_4,LEO_1,130.270799,130.219138,0.012049,0.020579,0.095163
1,T1_UAV_10,BS_0,HAP_1,142.754848,142.644325,0.011135,0.080355,0.095163
1,T1_UAV_1,BS_3,HAP_0,50.259505,50.138154,0.002646,0.099673,0.095163
1,T1_UAV_15,HAP_2,LEO_0,88.673913,88.637383,0.00114,0.016357,0.095163
1,T1_UAV_4,BS_0,LEO_1,79.288025,79.231353,0.007851,0.029788,0.095163
1,T1_UAV_0,BS_4,LEO_1,87.210471,87.160624,0.008515,0.022299,0.095163
1,T1_UAV_3,HAP_2,LEO_0,112.713738,112.668121,0.001319,0.025265,0.095163
1,T1_UAV_17,BS_2,HAP_1,84.825216,84.779538,0.005852,0.020793,0.095163
1,T1_UAV_12,BS_4,HAP_0,89.921477,89.84256,0.005919,0.053965,0.095163
1,T1_UAV_16,BS_2,LEO_1,100.268497,100.215099,0.00865,0.025716,0.095163
1,T1_UAV_5,BS_2,LEO_0,131.19863,131.141011,0.001915,0.036671,0.095163
1,T1_UAV_6,BS_3,HAP_1,113.379613,113.259632,0.005191,0.095758,0.095163
1,T1_UAV_11,BS_1,HAP_0,122.907916,122.852346,0.006515,0.030023,0.095163
1,T1_UAV_9,HAP_2,LEO_0,169.510591,169.479454,0.002165,0.009939,0.095163
1,T1_UAV_8,BS_0,LEO_1,144.671471,144.616736,0.01466,0.021042,0.095163
1,T1_UAV_19,HAP_2,LEO_0,180.591422,180.545268,0.002061,0.02506,0.095163
2,T2_UAV_14,BS_2,LEO_0,67.305127,67.056985,0.041434,0.013654,0.465268
2,T2_UAV_4,BS_0,LEO_1,49.330589,49.071974,0.050748,0.019033,0.444169
2,T2_UAV_12,BS_4,HAP_1,89.332985,89.093328,0.031927,0.033437,0.371464
2,T2_UAV_17,BS_2,BS_1,391.150889,390.759224,0.205272,0.026913,0.297399
2,T2_UAV_9,HAP_2,HAP_0,30.204953,29.93649,0.027343,0.043806,0.48657
2,T2_UAV_5,BS_2,HAP_2,19.250703,19.017628,0.025806,0.02531,0.409797
2,T2_UAV_18,BS_4,LEO_1,33.862137,33.579329,0.046812,0.047163,0.444169
2,T2_UAV_11,BS_1,LEO_0,51.139172,50.892864,0.040957,0.012297,0.465268
2,T2_UAV_16,BS_2,HAP_1,62.101435,61.858187,0.030244,0.038711,0.371464
2,T2_UAV_8,BS_0,HAP_0,62.607182,62.308208,0.030645,0.071015,0.48657
2,T2_UAV_1,BS_3,LEO_0,69.211981,68.949912,0.040996,0.028019,0.465268
2,T2_UAV_7,BS_2,BS_1,211.983169,211.680935,0.115778,0.026976,0.297399
2,T2_UAV_10,BS_0,BS_1,255.24176,254.883919,0.137368,0.060993,0.297399
2,T2_UAV_0,BS_4,BS_1,265.192852,264.855983,0.142352,0.035038,0.297399
3,T3_UAV_7,BS_2,LEO_0,85.68072,85.633234,0.001281,0.008022,0.190912
3,T3_UAV_16,BS_2,LEO_1,101.459858,101.245059,0.050441,0.026423,0.189677
3,T3_UAV_19,HAP_2,HAP_0,41.956532,41.868605,0.002469,0.045634,0.199126
3,T3_UAV_13,BS_2,HAP_1,29.34122,29.243643,0.002614,0.053866,0.205489
3,T3_UAV_6,BS_3,HAP_2,30.392243,30.173868,0.025794,0.009439,0.415712
3,T3_UAV_5,BS_2,LEO_0,40.582788,40.526996,0.000681,0.016929,0.190912
3,T3_UAV_14,BS_2,LEO_1,41.847966,41.639589,0.044662,0.025779,0.189677
3,T3_UAV_2,BS_1,LEO_0,61.291892,61.235733,0.001091,0.016886,0.190912
3,T3_UAV_17,BS_2,HAP_1,53.56326,53.465392,0.004446,0.052325,0.205489
3,T3_UAV_15,HAP_2,HAP_0,80.878955,80.775743,0.005145,0.058241,0.199126
3,T3_UAV_4,BS_0,LEO_1,73.546698,73.33062,0.048731,0.029412,0.189677
3,T3_UAV_1,BS_3,BS_4,66.48859,66.250735,0.043099,0.037127,0.288142
3,T3_UAV_8,BS_0,HAP_2,88.287188,88.033875,0.028878,0.041292,0.415712
3,T3_UAV_11,BS_1,BS_1,91.172569,90.869244,0.055402,0.054696,0.466138
3,T3_UAV_18,BS_4,LEO_0,97.671396,97.582646,0.001769,0.048798,0.190912
3,T3_UAV_3,HAP_2,LEO_1,107.667096,107.471806,0.049919,0.007435,0.189677
3,T3_UAV_12,BS_4,HAP_0,130.406319,130.318816,0.008609,0.039069,0.199126
4,T4_UAV_13,BS_2,LEO_0,101.252815,101.178336,0.00197,0.018342,0.270831
4,T4_UAV_18,BS_4,LEO_1,85.665465,85.446667,0.052129,0.02486,0.209044
4,T4_UAV_10,BS_0,HAP_1,90.6738,90.434769,0.033608,0.059469,0.229776
4,T4_UAV_17,BS_2,HAP_0,91.922486,91.714262,0.033645,0.032458,0.210602
4,T4_UAV_7,BS_2,LEO_0,124.495057,124.426652,0.001864,0.012374,0.270831
4,T4_UAV_3,HAP_2,HAP_2,25.318279,25.075415,0.025509,0.048401,0.344768
4,T4_UAV_16,BS_2,LEO_1,43.732445,43.519882,0.045704,0.02505,0.209044
4,T4_UAV_12,BS_4,LEO_0,67.270668,67.18385,0.001271,0.031381,0.270831
4,T4_UAV_14,BS_2,HAP_1,52.788337,52.584836,0.029403,0.028142,0.229776
4,T4_UAV_0,BS_4,HAP_0,57.938395,57.705909,0.029553,0.060812,0.210602
4,T4_UAV_6,BS_3,LEO_1,68.095321,67.872736,0.048141,0.032636,0.209044
4,T4_UAV_8,BS_0,BS_1,68.618246,68.353125,0.044149,0.077445,0.217633
4,T4_UAV_9,HAP_2,HAP_2,81.561857,81.306228,0.026875,0.059799,0.344768
4,T4_UAV_2,BS_1,BS_3,87.561808,87.242002,0.053589,0.087474,0.393713
4,T4_UAV_15,HAP_2,BS_4,96.783343,96.465961,0.058199,0.095642,0.317706
4,T4_UAV_4,BS_0,LEO_0,107.592727,107.529072,0.00217,0.007319,0.270831
5,T5_UAV_5,BS_2,LEO_0,85.728588,85.633677,0.001608,0.021574,0.358643
5,T5_UAV_8,BS_0,HAP_1,284.565971,284.365096,0.039987,0.024384,0.182523
5,T5_UAV_17,BS_2,HAP_1,305.056267,304.856832,0.040231,0.0227,0.182523
5,T5_UAV_2,BS_1,LEO_1,25.844389,25.77172,0.003707,0.018502,0.2523
5,T5_UAV_4,BS_0,HAP_0,46.375326,46.113151,0.028764,0.076181,0.286146
5,T5_UAV_7,BS_2,HAP_2,56.812138,56.604529,0.026435,0.011738,0.347176
5,T5_UAV_3,HAP_2,LEO_0,61.956199,61.857548,0.000881,0.026042,0.358643
5,T5_UAV_15,HAP_2,HAP_1,96.619891,96.4427,0.029141,0.011545,0.182523
5,T5_UAV_13,BS_2,LEO_1,65.395382,65.330085,0.009169,0.005667,0.2523
5,T5_UAV_12,BS_4,LEO_1,69.510503,69.427341,0.010226,0.022476,0.2523
5,T5_UAV_11,BS_1,HAP_1,121.974023,121.784502,0.02995,0.023066,0.182523
5,T5_UAV_0,BS_4,LEO_0,75.434789,75.328998,0.001671,0.032392,0.358643
5,T5_UAV_1,BS_3,HAP_0,83.364249,83.108307,0.030086,0.068627,0.286146
5,T5_UAV_19,HAP_2,HAP_2,89.613619,89.372855,0.026891,0.044439,0.347176
5,T5_UAV_9,HAP_2,HAP_1,154.550721,154.371752,0.031727,0.010738,0.182523
5,T5_UAV_14,BS_2,HAP_1,188.483537,188.276995,0.034453,0.035585,0.182523
5,T5_UAV_10,BS_0,HAP_1,247.743081,247.53953,0.038573,0.028473,0.182523
6,T6_UAV_14,BS_2,LEO_1,83.443562,83.357453,0.011926,0.01283,0.306765
6,T6_UAV_13,BS_2,LEO_0,141.043926,140.85284,0.042511,0.023227,0.126744
6,T6_UAV_4,BS_0,HAP_0,130.170364,130.109527,0.008847,0.013609,0.191905
6,T6_UAV_12,BS_4,HAP_1,93.274142,93.022507,0.032288,0.026437,0.464546
6,T6_UAV_0,BS_4,HAP_2,37.859859,37.661148,0.026324,0.042509,0.149387
6,T6_UAV_16,BS_2,LEO_1,26.488516,26.395794,0.003461,0.027909,0.306765
6,T6_UAV_15,HAP_2,LEO_0,49.604294,49.423843,0.04067,0.014432,0.126744
6,T6_UAV_9,HAP_2,HAP_0,55.40949,55.328409,0.003634,0.039066,0.191905
6,T6_UAV_1,BS_3,LEO_1,43.345491,43.259757,0.005197,0.019183,0.306765
6,T6_UAV_2,BS_1,LEO_0,99.207272,99.016163,0.041624,0.024135,0.126744
6,T6_UAV_8,BS_0,HAP_2,92.180365,92.012713,0.028586,0.009187,0.149387
6,T6_UAV_6,BS_3,HAP_1,65.175028,64.929957,0.028425,0.023737,0.464546
6,T6_UAV_5,BS_2,BS_4,71.489929,71.274434,0.045609,0.013656,0.281143
6,T6_UAV_19,HAP_2,LEO_0,125.28819,125.107236,0.041491,0.014114,0.126744
6,T6_UAV_10,BS_0,HAP_0,122.364284,122.298623,0.009463,0.017817,0.191905
6,T6_UAV_18,BS_4,HAP_2,132.568441,132.397279,0.029115,0.01217,0.149387
6,T6_UAV_11,BS_1,LEO_0,166.534211,166.348768,0.04259,0.017504,0.126744
7,T7_UAV_13,BS_2,LEO_0,81.800127,81.595934,0.041801,0.015814,0.232889
7,T7_UAV_5,BS_2,LEO_1,96.60883,96.387836,0.052054,0.021304,0.238177
7,T7_UAV_19,HAP_2,HAP_0,25.401848,25.328115,0.001764,0.009528,0.312198
7,T7_UAV_18,BS_4,HAP_1,26.404309,26.155348,0.027053,0.057877,0.320154
7,T7_UAV_3,HAP_2,HAP_2,36.121463,35.917936,0.025746,0.015981,0.308998
7,T7_UAV_15,HAP_2,LEO_0,32.663866,32.440416,0.040521,0.036351,0.232889
7,T7_UAV_8,BS_0,LEO_1,39.859413,39.660467,0.046164,0.005146,0.238177
7,T7_UAV_16,BS_2,LEO_0,43.075014,42.858137,0.040849,0.02945,0.232889
7,T7_UAV_2,BS_1,HAP_0,57.023068,56.916318,0.00383,0.04048,0.312198
7,T7_UAV_12,BS_4,HAP_1,58.68803,58.46859,0.029588,0.025821,0.320154
7,T7_UAV_11,BS_1,LEO_1,61.503679,61.294716,0.048524,0.012804,0.238177
7,T7_UAV_6,BS_3,BS_1,62.345655,62.125587,0.041037,0.037906,0.205625
7,T7_UAV_1,BS_3,HAP_2,65.832719,65.585854,0.02666,0.058406,0.308998
7,T7_UAV_0,BS_4,BS_3,67.480571,67.251596,0.043599,0.041146,0.22115
7,T7_UAV_7,BS_2,BS_4,68.496357,68.26503,0.044105,0.023916,0.316529
7,T7_UAV_10,BS_0,BS_0,75.612315,75.385044,0.047664,0.017187,0.312099
8,T8_UAV_12,BS_4,LEO_0,28.975068,28.764001,0.040618,0.022926,0.237622
8,T8_UAV_7,BS_2,LEO_1,34.031126,33.821888,0.044216,0.020787,0.221179
8,T8_UAV_11,BS_1,HAP_0,34.909179,34.819922,0.002122,0.011135,0.38
8,T8_UAV_1,BS_3,HAP_1,39.437509,39.240291,0.02709,0.009287,0.304203
8,T8_UAV_19,HAP_2,HAP_2,47.182552,46.981624,0.026009,0.009876,0.325215
8,T8_UAV_0,BS_1,LEO_0,39.393161,39.171105,0.040868,0.033664,0.237622
8,T8_UAV_13,BS_2,LEO_1,43.790477,43.592055,0.046103,0.008083,0.221179
8,T8_UAV_5,BS_2,LEO_0,48.975981,48.762724,0.040913,0.024819,0.237622
8,T8_UAV_16,BS_2,HAP_0,50.91962,50.817585,0.004797,0.021238,0.38
8,T8_UAV_8,BS_0,LEO_1,52.462247,52.240028,0.048117,0.029867,0.221179
8,T8_UAV_2,BS_1,HAP_1,60.958075,60.738571,0.029141,0.029523,0.304203
8,T8_UAV_9,HAP_2,HAP_2,66.877393,66.670339,0.026548,0.015463,0.325215
