slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.763567,1.0,1.116968,1,1,1,3,0.0
1,BS_1,BS,0.332871,0.714619,1.0,0.452517,1,1,1,1,0.0
1,BS_2,BS,0.332871,0.71448,1.0,1.194326,1,1,1,4,0.0
1,BS_3,BS,0.332871,0.716828,1.0,0.655879,1,1,1,2,0.0
1,BS_4,BS,0.332871,0.768926,1.0,0.960275,1,1,1,3,0.0
1,HAP_0,HAP,0.904837,0.764073,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.7997,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.332871,0.880145,1.0,0.696908,1,1,1,4,0.0
1,LEO_0,LEO,0.904837,0.87698,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.927737,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.658919,0.776825,0.317155,0.938838,1,1,1,3,0.0
2,BS_1,BS,0.702601,0.74966,0.252966,0.39081,1,1,1,1,0.0
2,BS_2,BS,0.661465,0.737786,0.313299,0.999631,1,1,1,5,0.0
2,BS_3,BS,0.674254,0.750249,0.294149,0.563639,1,1,1,1,0.0
2,BS_4,BS,0.695611,0.786028,0.262964,0.799338,1,1,1,3,0.0
2,HAP_0,HAP,0.51343,0.768761,0.566641,0.144487,1,1,1,0,1.062452
2,HAP_1,HAP,0.628536,0.812432,0.364363,0.059742,1,1,1,0,0.68318
2,HAP_2,HAP,0.590203,0.874143,0.427289,0.639686,1,1,1,1,0.0
2,LEO_0,LEO,0.534732,0.862135,0.525989,0.124499,1,1,1,0,0.98623
2,LEO_1,LEO,0.555831,0.905642,0.48729,0.106853,1,1,1,0,0.913669
3,BS_0,BS,0.636321,0.787995,0.352052,0.806844,1,1,1,2,0.0
3,BS_1,BS,0.533862,0.754699,0.527619,0.437919,1,1,1,2,1.669119
3,BS_2,BS,0.66198,0.756478,0.31252,0.843656,1,1,1,6,0.0
3,BS_3,BS,0.635907,0.77038,0.352702,0.506891,1,1,1,2,0.0
3,BS_4,BS,0.711858,0.800058,0.239878,0.665364,1,1,1,2,0.0
3,HAP_0,HAP,0.800874,0.807216,0.022052,0.115808,2,0,0,0,0.596124
3,HAP_1,HAP,0.794511,0.843321,0.030029,0.048199,2,0,0,0,0.466212
3,HAP_2,HAP,0.584288,0.863662,0.437361,0.597827,1,1,1,3,0.340365
3,LEO_0,LEO,0.809088,0.882863,0.011848,0.099663,2,0,0,0,0.569523
3,LEO_1,LEO,0.810323,0.913702,0.110322,0.09096,1,1,1,0,0.341347
4,BS_0,BS,0.692692,0.799897,0.267169,0.677596,1,1,1,3,0.0
4,BS_1,BS,0.782367,0.78221,0.145431,0.359853,1,1,1,1,0.497982
4,BS_2,BS,0.645304,0.7699,0.338034,0.726345,1,1,1,5,0.0
4,BS_3,BS,0.606287,0.78813,0.400402,0.477657,1,1,1,1,0.0
4,BS_4,BS,0.682294,0.808235,0.282294,0.568152,1,1,1,3,0.612583
4,HAP_0,HAP,0.789398,0.828737,0.136485,0.101029,1,1,1,0,0.944148
4,HAP_1,HAP,0.770224,0.858204,0.161074,0.050235,1,1,1,0,0.727988
4,HAP_2,HAP,0.655232,0.860166,0.322766,0.525141,1,1,1,3,0.363039
4,LEO_0,LEO,0.729169,0.899265,0.01585,0.079843,3,0,0,0,0.605911
4,LEO_1,LEO,0.790956,0.91635,0.134512,0.08091,1,1,1,0,0.712846
5,BS_0,BS,0.680633,0.80794,0.284733,0.578559,1,1,1,3,0.0
5,BS_1,BS,0.753853,0.80025,0.182558,0.30288,1,1,1,2,0.706825
5,BS_2,BS,0.649003,0.780981,0.332319,0.630772,1,1,1,5,0.0
5,BS_3,BS,0.478228,0.779415,0.637667,0.565104,1,1,1,1,0.770627
5,BS_4,BS,0.602639,0.807227,0.406438,0.528857,1,1,1,2,0.496497
5,HAP_0,HAP,0.713854,0.843884,0.237077,0.106116,1,1,1,0,0.388994
5,HAP_1,HAP,0.817477,0.875689,0.101533,0.044827,1,1,1,0,0.42807
5,HAP_2,HAP,0.652824,0.854266,0.326448,0.468069,1,1,1,4,0.578185
5,LEO_0,LEO,0.641357,0.911113,0.044169,0.064752,4,0,0,0,0.554314
5,LEO_1,LEO,0.7477,0.922858,0.090754,0.068434,2,0,0,0,0.433524
6,BS_0,BS,0.647814,0.812696,0.334151,0.513093,1,1,1,3,0.0
6,BS_1,BS,0.692171,0.811777,0.267922,0.274606,1,1,1,2,0.0
6,BS_2,BS,0.642011,0.789196,0.343149,0.557606,1,1,1,4,0.0
6,BS_3,BS,0.665438,0.794819,0.30731,0.494581,1,1,1,2,0.0
6,BS_4,BS,0.718857,0.816981,0.230092,0.44691,1,1,1,3,0.0
6,HAP_0,HAP,0.808095,0.868534,0.013076,0.08497,2,0,0,0,0.601556
6,HAP_1,HAP,0.535454,0.856116,0.52464,0.159723,1,1,1,0,1.829945
6,HAP_2,HAP,0.850613,0.865455,0.061798,0.376174,1,1,1,3,0.533225
