slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_0,BS_4,LEO_0,418.39585,418.337109,0.001747,0.037961,0.095163
1,T1_UAV_3,HAP_2,LEO_1,375.626344,375.585178,0.007292,0.014841,0.095163
1,T1_UAV_17,BS_2,HAP_1,339.163829,339.118151,0.005852,0.020793,0.095163
1,T1_UAV_12,BS_4,HAP_0,359.449157,359.370241,0.005919,0.053965,0.095163
1,T1_UAV_16,BS_2,LEO_0,481.063028,480.998365,0.001853,0.043778,0.095163
1,T1_UAV_5,BS_2,LEO_1,437.215781,437.16623,0.008977,0.021541,0.095163
1,T1_UAV_6,BS_3,LEO_0,604.110308,604.030708,0.001756,0.058812,0.095163
1,T1_UAV_13,BS_2,LEO_1,508.84728,508.796024,0.011657,0.020566,0.095163
1,T1_UAV_18,BS_4,HAP_1,468.860101,468.776326,0.007701,0.057041,0.095163
1,T1_UAV_11,BS_1,HAP_0,491.464954,491.409383,0.006515,0.030023,0.095163
1,T1_UAV_9,HAP_2,LEO_0,677.948953,677.917816,0.002165,0.009939,0.095163
1,T1_UAV_8,BS_0,LEO_1,578.521678,578.466943,0.01466,0.021042,0.095163
1,T1_UAV_19,HAP_2,HAP_1,541.723712,541.657026,0.006851,0.040803,0.095163
1,T1_UAV_10,BS_0,HAP_0,570.701806,570.577052,0.011074,0.094648,0.095163
1,T1_UAV_1,BS_3,LEO_1,222.89621,222.842215,0.004433,0.030529,0.095163
1,T1_UAV_15,HAP_2,LEO_0,354.586061,354.549532,0.00114,0.016357,0.095163
1,T1_UAV_4,BS_0,LEO_0,380.35072,380.279343,0.001633,0.05071,0.095163
2,T2_UAV_18,BS_4,LEO_1,134.603536,134.317316,0.046812,0.048031,0.456887
2,T2_UAV_11,BS_1,LEO_0,136.080279,135.828123,0.040759,0.012662,0.493679
2,T2_UAV_16,BS_2,HAP_1,247.673449,247.432749,0.030244,0.038434,0.36011
2,T2_UAV_8,BS_0,HAP_0,249.518878,249.232831,0.030645,0.068741,0.433302
2,T2_UAV_14,BS_2,HAP_2,134.388029,134.167104,0.026501,0.012464,0.409797
2,T2_UAV_1,BS_3,LEO_0,184.248519,183.980167,0.040764,0.028851,0.493679
2,T2_UAV_4,BS_0,LEO_1,196.549404,196.287895,0.050748,0.019383,0.456887
2,T2_UAV_7,BS_2,BS_1,847.025974,846.723741,0.115778,0.026976,0.297399
2,T2_UAV_12,BS_4,HAP_1,356.61046,356.373314,0.031927,0.033198,0.36011
2,T2_UAV_10,BS_0,BS_1,1019.893518,1019.535677,0.137368,0.060993,0.297399
2,T2_UAV_0,BS_4,BS_1,1059.7608,1059.42393,0.142352,0.035038,0.297399
2,T2_UAV_17,BS_2,BS_1,1563.428562,1563.036897,0.205272,0.026913,0.297399
2,T2_UAV_9,HAP_2,HAP_0,120.002367,119.74596,0.027343,0.042403,0.433302
2,T2_UAV_5,BS_2,BS_3,152.094761,151.850425,0.028962,0.050225,0.325746
3,T3_UAV_5,BS_2,LEO_0,162.651928,162.447982,0.040681,0.018421,0.224222
3,T3_UAV_14,BS_2,LEO_1,125.218755,125.007653,0.044468,0.026464,0.200853
3,T3_UAV_17,BS_2,HAP_1,213.960971,213.861566,0.004446,0.052164,0.213978
3,T3_UAV_4,BS_0,HAP_0,219.839247,219.728632,0.004491,0.063894,0.211147
3,T3_UAV_18,BS_4,HAP_2,293.23835,292.972604,0.027493,0.05641,0.409214
3,T3_UAV_7,BS_2,LEO_0,343.06779,342.872936,0.041281,0.008729,0.224222
3,T3_UAV_1,BS_3,LEO_1,265.367023,265.162431,0.047971,0.01645,0.200853
3,T3_UAV_16,BS_2,HAP_1,303.57161,303.474563,0.006427,0.047824,0.213978
3,T3_UAV_3,HAP_2,HAP_0,322.218418,322.154162,0.005875,0.016152,0.211147
3,T3_UAV_12,BS_4,LEO_0,463.886788,463.673927,0.042186,0.025831,0.224222
3,T3_UAV_8,BS_0,HAP_2,352.387234,352.135501,0.028878,0.041011,0.409214
3,T3_UAV_11,BS_1,LEO_1,363.818549,363.605974,0.052651,0.019753,0.200853
3,T3_UAV_19,HAP_2,BS_1,112.0541,111.778852,0.023955,0.058065,0.466138
3,T3_UAV_13,BS_2,BS_4,117.353585,117.102597,0.024621,0.06874,0.288142
3,T3_UAV_6,BS_3,BS_3,120.851203,120.612531,0.025059,0.017063,0.48275
3,T3_UAV_15,HAP_2,BS_0,215.849664,215.575956,0.036924,0.064048,0.363679
3,T3_UAV_2,BS_1,LEO_0,245.487241,245.282932,0.041091,0.018375,0.224222
4,T4_UAV_12,BS_4,LEO_0,201.634981,201.552042,0.001076,0.034935,0.234638
4,T4_UAV_14,BS_2,LEO_1,210.199567,210.131835,0.007526,0.015751,0.22228
4,T4_UAV_0,BS_4,HAP_0,230.717194,230.603636,0.004553,0.055542,0.267315
4,T4_UAV_13,BS_2,HAP_1,303.652331,303.556253,0.006789,0.024735,0.32277
4,T4_UAV_2,BS_1,HAP_2,349.211253,348.946097,0.028112,0.059614,0.38715
4,T4_UAV_6,BS_3,LEO_0,271.213904,271.122255,0.000969,0.043753,0.234638
4,T4_UAV_8,BS_0,LEO_1,273.321909,273.238566,0.010666,0.02822,0.22228
4,T4_UAV_4,BS_0,LEO_0,322.645022,322.588099,0.001848,0.008148,0.234638
4,T4_UAV_9,HAP_2,LEO_1,325.125628,325.03727,0.009964,0.033938,0.22228
4,T4_UAV_18,BS_4,HAP_0,341.533293,341.426305,0.007038,0.046487,0.267315
4,T4_UAV_10,BS_0,HAP_1,361.64921,361.519076,0.008608,0.056973,0.32277
4,T4_UAV_17,BS_2,HAP_2,367.068525,366.835477,0.028253,0.027366,0.38715
4,T4_UAV_7,BS_2,BS_1,373.766274,373.541,0.056659,0.026588,0.210137
4,T4_UAV_15,HAP_2,BS_3,386.215139,385.863844,0.058199,0.114193,0.394512
4,T4_UAV_3,HAP_2,BS_4,100.46209,100.209663,0.02251,0.066376,0.317706
4,T4_UAV_16,BS_2,BS_0,174.136667,173.883567,0.031715,0.059923,0.307308
5,T5_UAV_11,BS_1,LEO_1,325.157736,324.961521,0.045679,0.014052,0.182419
5,T5_UAV_7,BS_2,LEO_0,301.656734,301.594357,0.001132,0.007681,0.267824
5,T5_UAV_3,HAP_2,HAP_1,247.55137,247.441904,0.003809,0.033666,0.359951
