slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.347384,0.724174,0.957324,0.412411,1,1,1,2,0.0
1,BS_1,BS,0.904837,0.91859,0.0,0.0,1,0,0,0,0.0
1,BS_2,BS,0.904837,0.763831,0.0,0.0,1,0,0,0,0.0
1,BS_3,BS,0.332871,0.861484,1.0,0.53939,1,1,1,2,0.0
1,BS_4,BS,0.332871,0.777702,1.0,0.567114,1,1,1,3,0.0
1,HAP_0,HAP,0.904837,0.924044,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.332871,0.789093,1.0,0.938879,1,1,1,6,0.0
1,HAP_2,HAP,0.904837,0.879443,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.835385,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.948381,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.575811,0.742753,0.451975,0.421855,1,1,1,2,0.0
2,BS_1,BS,0.449248,0.886489,0.700181,0.220614,1,1,1,1,0.541695
2,BS_2,BS,0.779939,0.799925,0.148539,0.009929,1,1,1,0,0.278511
2,BS_3,BS,0.470521,0.836158,0.653915,0.623934,1,1,1,3,0.0
2,BS_4,BS,0.476204,0.769825,0.64191,0.639113,1,1,1,3,0.0
2,HAP_0,HAP,0.710534,0.921105,0.241738,0.026297,1,1,1,0,0.453259
2,HAP_1,HAP,0.616652,0.793589,0.38345,0.817268,1,1,1,8,0.0
2,HAP_2,HAP,0.773471,0.89179,0.156867,0.011073,1,1,1,0,0.294126
2,LEO_0,LEO,0.728536,0.852054,0.216718,0.021135,1,1,1,0,0.406347
2,LEO_1,LEO,0.67235,0.936431,0.296976,0.039688,1,1,1,0,0.556831
3,BS_0,BS,0.675856,0.768751,0.291775,0.375794,1,1,1,1,0.409886
3,BS_1,BS,0.446054,0.855675,0.707314,0.401623,1,1,1,1,0.626751
3,BS_2,BS,0.665861,0.815157,0.306674,0.050265,1,1,1,0,0.74212
3,BS_3,BS,0.680096,0.837036,0.285521,0.535832,1,1,1,4,0.633939
3,BS_4,BS,0.695378,0.785297,0.2633,0.542487,1,1,1,3,0.413867
3,HAP_0,HAP,0.746339,0.92704,0.092575,0.024894,2,0,0,0,0.445534
