slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,524.403963,0.008994,6817.251513,0.11692,0.320391,1.237114,4,4,1,1,0
2,2002.483364,0.126618,34042.217186,2.152509,0.70617,4.034085,10,10,1,1,0
3,557.419111,0.038075,8361.286665,0.571128,0.446431,4.61988,9,9,1,1,0
4,706.415732,0.023605,12009.067445,0.401285,0.535568,4.047793,9,9,1,1,0
5,508.768824,0.026355,7122.763535,0.368974,0.436935,3.384614,8,8,1,1,0
6,1402.823023,0.084919,25250.81441,1.528535,0.485288,4.378556,7,7,1,1,0
7,1216.652887,0.00715,17033.140421,0.100101,0.298452,3.949513,6,6,1,1,0
8,938.112835,0.028817,16886.031033,0.518699,0.433562,4.763601,9,8,1,1,0
9,1178.750713,0.047089,16502.509976,0.659249,0.342984,3.074516,10,9,1,1,0
10,511.125309,0.039987,8689.130254,0.679771,0.505691,5.90247,10,10,1,1,0
11,2292.52468,0.154469,36680.394877,2.471506,0.480589,3.861369,9,9,1,1,0
12,758.990622,0.030243,12902.840571,0.514128,0.461796,3.642585,8,8,1,1,0
13,505.817233,0.024623,9104.710202,0.443214,0.524767,5.677285,7,7,1,1,0
14,570.268735,0.039454,7983.762293,0.552361,0.336636,3.123429,10,9,1,1,0
15,1343.294775,0.082252,22836.011169,1.398287,0.480392,3.56145,8,8,1,1,0
16,460.160157,0.013963,7362.562518,0.223405,0.433434,4.70638,6,6,1,1,0
17,511.382184,0.030585,7670.732765,0.458774,0.336667,3.854729,8,8,1,1,0
18,672.688291,0.035736,12781.077538,0.678992,0.35644,4.375766,9,8,1,1,0
19,930.153752,0.025636,16742.767541,0.461452,0.322548,3.681519,8,8,1,1,0
20,730.791974,0.038128,13885.047501,0.724428,0.446001,4.862531,10,10,1,1,0
21,453.779129,0.02134,6352.907801,0.298761,0.27805,3.428868,9,9,1,1,0
22,436.719696,0.036135,6987.515128,0.57816,0.380005,5.152974,9,9,1,1,0
23,906.94268,0.009519,14511.082875,0.152296,0.358189,3.703075,5,5,1,1,0
24,691.668261,0.035935,8991.687399,0.46715,0.326876,3.419968,8,8,1,1,0
25,1421.570173,0.040702,21323.552595,0.610529,0.271529,2.302213,9,8,1,1,0
26,1076.88706,0.072488,15076.418835,1.014834,0.419836,3.503726,10,10,1,1,0
27,613.023023,0.018569,11647.437436,0.352807,0.509438,5.43992,6,6,1,1,0
28,945.16653,0.030633,15122.664483,0.490128,0.381743,3.482906,8,8,1,1,0
29,479.396885,0.029916,8149.747037,0.508579,0.436793,5.640169,7,7,1,1,0
30,543.380979,0.025907,7063.952721,0.336795,0.301965,3.108646,8,7,1,1,0
31,515.520031,0.022729,8248.320498,0.363658,0.339174,4.985756,7,7,1,1,0
32,396.252873,0.034582,4755.034471,0.414983,0.251676,2.348083,9,8,1,1,0
33,663.072264,0.02697,10609.156231,0.431518,0.380324,3.677606,8,8,1,1,0
34,478.132614,0.013161,5737.591365,0.157927,0.22494,3.287704,7,7,1,1,0
35,551.64673,0.035127,8274.700949,0.526907,0.250349,3.857422,8,8,1,1,0
36,1255.592161,0.039387,20089.474573,0.6302,0.324904,3.50458,10,9,1,1,0
37,813.390775,0.020597,14641.033943,0.370744,0.371467,4.53586,7,7,1,1,0
38,676.946798,0.042064,6769.467983,0.420635,0.312752,2.554894,8,8,1,1,0
