slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_8,BS_3,LEO_0,109.584212,109.548864,0.002365,0.013951,0.095163
1,T1_UAV_1,BS_3,LEO_1,123.683523,123.64099,0.002106,0.021395,0.095163
1,T1_UAV_5,BS_3,HAP_1,92.519944,92.475262,0.008672,0.016976,0.095163
1,T1_UAV_9,BS_2,HAP_2,95.723221,95.662436,0.002822,0.038931,0.095163
1,T1_UAV_2,BS_2,LEO_0,58.656054,58.616348,0.000853,0.019821,0.095163
1,T1_UAV_7,BS_3,LEO_1,87.501407,87.467713,0.00145,0.01321,0.095163
1,T1_UAV_6,HAP_0,LEO_0,138.303095,138.266958,0.002544,0.01456,0.095163
1,T1_UAV_3,BS_0,LEO_1,146.865367,146.82013,0.002404,0.0238,0.095163
2,T2_UAV_9,BS_2,LEO_0,35.689275,35.490535,0.041242,0.016172,0.206634
2,T2_UAV_8,BS_3,LEO_1,56.922714,56.721127,0.0418,0.006561,0.266129
2,T2_UAV_0,BS_0,BS_4,327.419925,327.2804,0.081779,0.021492,0.181269
2,T2_UAV_5,BS_3,BS_1,344.614067,344.47092,0.086075,0.020818,0.181269
2,T2_UAV_2,BS_2,HAP_2,48.27169,48.208849,0.00149,0.012147,0.246017
2,T2_UAV_1,BS_3,HAP_1,55.150801,54.965012,0.029871,0.007532,0.241927
2,T2_UAV_3,BS_0,HAP_0,63.600114,63.228137,0.026098,0.134547,0.55666
2,T2_UAV_6,HAP_0,BS_4,217.040725,216.928903,0.054205,0.021363,0.181269
2,T2_UAV_4,HAP_0,BS_1,344.706718,344.578699,0.086102,0.005664,0.181269
3,T3_UAV_1,BS_3,LEO_0,64.563877,64.510565,0.001984,0.011167,0.200805
3,T3_UAV_5,BS_3,LEO_1,107.752136,107.699087,0.001964,0.013613,0.18736
3,T3_UAV_3,BS_0,HAP_1,62.605095,62.415793,0.028234,0.024587,0.182405
3,T3_UAV_7,BS_3,HAP_2,39.587092,39.385555,0.026425,0.029677,0.227176
3,T3_UAV_8,BS_3,HAP_0,48.593787,48.260074,0.025888,0.121079,0.433731
3,T3_UAV_0,BS_0,LEO_1,89.376799,89.331741,0.001444,0.006142,0.18736
3,T3_UAV_2,BS_2,LEO_0,131.694988,131.638884,0.002402,0.013541,0.200805
3,T3_UAV_6,HAP_0,LEO_1,137.056694,137.00623,0.001696,0.011297,0.18736
3,T3_UAV_4,HAP_0,HAP_1,153.530501,153.34908,0.032188,0.012752,0.182405
4,T4_UAV_8,BS_3,LEO_0,97.665776,97.59716,0.00276,0.003633,0.31111
4,T4_UAV_7,BS_3,LEO_1,64.746085,64.541361,0.042194,0.022358,0.200856
4,T4_UAV_1,BS_3,HAP_2,30.566284,30.478113,0.001109,0.042816,0.221228
4,T4_UAV_5,BS_3,HAP_1,39.296724,39.093331,0.02864,0.030266,0.222436
4,T4_UAV_3,BS_0,HAP_0,62.192213,61.966691,0.026082,0.024007,0.377162
