slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.763567,1.0,1.222405,1,1,1,6,0.0
1,BS_1,BS,0.437702,0.736217,0.726217,0.237326,1,1,1,1,0.0
1,BS_2,BS,0.332871,0.71448,1.0,1.317568,1,1,1,8,0.0
1,BS_3,BS,0.332871,0.713101,1.0,1.017384,1,1,1,2,0.0
1,BS_4,BS,0.332871,0.771115,1.0,0.731404,1,1,1,2,0.0
1,HAP_0,HAP,0.904837,0.764073,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.7997,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.332871,0.880854,1.0,0.63155,1,1,1,4,0.0
1,LEO_0,LEO,0.904837,0.87698,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.927737,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.630258,0.774156,0.361627,1.036772,1,1,1,6,0.0
2,BS_1,BS,0.760997,0.778047,0.173126,0.203349,1,1,1,0,0.0
2,BS_2,BS,0.597103,0.731644,0.415665,1.131805,1,1,1,9,0.0
2,BS_3,BS,0.711056,0.747001,0.241003,0.840044,1,1,1,1,0.0
2,BS_4,BS,0.533385,0.770901,0.528512,0.710819,1,1,1,4,0.0
2,HAP_0,HAP,0.530741,0.771248,0.533481,0.128071,1,1,1,0,1.000277
2,HAP_1,HAP,0.465041,0.789837,0.665629,0.199378,1,1,1,0,1.248055
2,HAP_2,HAP,0.630893,0.871321,0.360619,0.563761,1,1,1,4,0.0
2,LEO_0,LEO,0.44768,0.848808,0.703677,0.222823,1,1,1,0,1.319394
2,LEO_1,LEO,0.457906,0.891107,0.68109,0.208748,1,1,1,0,1.277044
3,BS_0,BS,0.653955,0.784842,0.324717,0.876866,1,1,1,7,0.362968
3,BS_1,BS,0.361616,0.755299,0.917173,0.541222,1,1,1,1,2.17607
3,BS_2,BS,0.664889,0.751827,0.308135,0.94817,1,1,1,8,0.247861
3,BS_3,BS,0.659874,0.764854,0.315706,0.716887,1,1,1,2,2.627473
3,BS_4,BS,0.685715,0.785228,0.277293,0.603257,1,1,1,4,0.330467
3,HAP_0,HAP,0.788879,0.808925,0.037142,0.103077,2,0,0,0,0.530524
3,HAP_1,HAP,0.772173,0.816748,0.158547,0.170814,1,1,1,0,0.451557
3,HAP_2,HAP,0.752385,0.872534,0.184507,0.466328,1,1,1,4,0.404261
3,LEO_0,LEO,0.878746,0.869286,0.02926,0.178643,1,1,1,0,0.736775
3,LEO_1,LEO,0.814984,0.900006,0.104587,0.171921,1,1,1,0,0.570126
4,BS_0,BS,0.618601,0.790056,0.380294,0.766574,1,1,1,7,0.671906
4,BS_1,BS,0.37788,0.737427,0.873178,0.776075,1,1,1,2,0.524876
4,BS_2,BS,0.653116,0.766902,0.326,0.80636,1,1,1,8,0.646095
4,BS_3,BS,0.679457,0.783224,0.286462,0.610437,1,1,1,2,0.483927
4,BS_4,BS,0.623798,0.791401,0.371929,0.544854,1,1,1,3,0.370515
4,HAP_0,HAP,0.731204,0.839758,0.013063,0.082539,3,0,0,0,0.678599
4,HAP_1,HAP,0.766339,0.834853,0.166131,0.149071,1,1,1,0,0.931886
4,HAP_2,HAP,0.755132,0.873737,0.180862,0.387782,1,1,1,3,0.59496
4,LEO_0,LEO,0.733152,0.871556,0.210402,0.162836,1,1,1,0,1.205999
4,LEO_1,LEO,0.79925,0.903781,0.124081,0.144465,1,1,1,0,0.9323
5,BS_0,BS,0.635632,0.795857,0.353135,0.669376,1,1,1,6,0.411944
5,BS_1,BS,0.837496,0.770949,0.077338,0.623551,1,1,1,2,0.394544
5,BS_2,BS,0.636564,0.777421,0.35167,0.700741,1,1,1,7,0.797408
5,BS_3,BS,0.450073,0.778475,0.698345,0.707808,1,1,1,0,0.488599
5,BS_4,BS,0.736088,0.805843,0.206406,0.455055,1,1,1,3,0.690517
5,HAP_0,HAP,0.625853,0.860257,0.068639,0.068151,4,0,0,0,0.763977
5,HAP_1,HAP,0.782754,0.848934,0.144937,0.12871,1,1,1,0,1.067154
5,HAP_2,HAP,0.780649,0.875444,0.147629,0.320033,1,1,1,3,0.637076
5,LEO_0,LEO,0.794852,0.880795,0.129599,0.137827,1,1,1,0,0.803004
5,LEO_1,LEO,0.802318,0.913099,0.02025,0.115756,2,0,0,0,0.869364
6,BS_0,BS,0.607205,0.797752,0.398889,0.607101,1,1,1,5,0.752837
6,BS_1,BS,0.669872,0.783849,0.300669,0.539522,1,1,1,1,1.053277
6,BS_2,BS,0.64854,0.786955,0.333032,0.610502,1,1,1,7,0.0
6,BS_3,BS,0.440287,0.76632,0.720328,0.799739,1,1,1,2,0.63664
6,BS_4,BS,0.690992,0.813518,0.269628,0.396759,1,1,1,4,0.551878
6,HAP_0,HAP,0.836478,0.878269,0.078555,0.057298,1,1,0,0,0.467146
6,HAP_1,HAP,0.648685,0.854353,0.332808,0.15281,1,1,1,0,0.346897
6,HAP_2,HAP,0.78101,0.876588,0.147167,0.265773,1,1,1,4,0.587764
6,LEO_0,LEO,0.759662,0.887703,0.174882,0.124024,1,1,1,0,0.588081
6,LEO_1,LEO,0.749311,0.907927,0.188602,0.108612,1,1,1,0,1.186736
7,BS_0,BS,0.637508,0.80219,0.350188,0.540865,1,1,1,6,0.0
7,BS_1,BS,0.681335,0.795317,0.283701,0.467836,1,1,1,2,0.279828
7,BS_2,BS,0.647591,0.794494,0.334496,0.538751,1,1,1,8,0.0
7,BS_3,BS,0.733593,0.788835,0.209801,0.659598,1,1,1,2,0.0
7,BS_4,BS,0.655009,0.816433,0.323106,0.364386,1,1,1,4,0.0
7,HAP_0,HAP,0.545689,0.859228,0.505706,0.16092,1,1,1,0,1.767659
7,HAP_1,HAP,0.804373,0.876862,0.017692,0.122389,2,0,0,0,0.5742
7,HAP_2,HAP,0.820441,0.880408,0.097914,0.216932,1,1,1,5,0.995434
7,LEO_0,LEO,0.811964,0.895076,0.108299,0.104497,1,1,1,0,0.912583
7,LEO_1,LEO,0.758241,0.912218,0.076754,0.08954,2,0,0,0,0.908964
8,BS_0,BS,0.643613,0.806313,0.340658,0.484914,1,1,1,7,0.640381
8,BS_1,BS,0.817056,0.816714,0.102048,0.378955,1,1,1,2,0.21871
8,BS_2,BS,0.648352,0.800596,0.333321,0.480997,1,1,1,8,0.0
8,BS_3,BS,0.667704,0.801645,0.30391,0.569241,1,1,1,1,0.644827
8,BS_4,BS,0.579858,0.812761,0.444972,0.380609,1,1,1,2,0.291079
8,HAP_0,HAP,0.644636,0.860597,0.33907,0.180472,1,1,1,0,0.479074
8,HAP_1,HAP,0.662919,0.872333,0.311103,0.141465,1,1,1,0,1.172364
8,HAP_2,HAP,0.77044,0.879681,0.160794,0.185181,1,1,1,3,1.291679
8,LEO_0,LEO,0.732982,0.892,0.210634,0.103563,1,1,1,0,1.213181
8,LEO_1,LEO,0.730325,0.918462,0.014266,0.071724,3,0,0,0,1.069058
9,BS_0,BS,0.642704,0.809526,0.342071,0.440587,1,1,1,5,0.0
9,BS_1,BS,0.710147,0.824151,0.242283,0.32958,1,1,1,3,4.006136
9,BS_2,BS,0.642249,0.80491,0.342779,0.437671,1,1,1,7,0.0
9,BS_3,BS,0.553117,0.806589,0.492186,0.564404,1,1,1,1,0.0
9,BS_4,BS,0.759018,0.825609,0.17573,0.318383,1,1,1,2,0.0
9,HAP_0,HAP,0.731789,0.871467,0.212263,0.164653,1,1,1,0,0.37331
9,HAP_1,HAP,0.599872,0.869812,0.411039,0.189201,1,1,1,0,0.161704
9,HAP_2,HAP,0.886198,0.887497,0.020815,0.148339,1,1,0,4,0.540211
9,LEO_0,LEO,0.767827,0.89542,0.164191,0.094982,1,1,1,0,0.75547
9,LEO_1,LEO,0.782581,0.917567,0.145158,0.066861,1,1,1,0,0.800202
10,BS_0,BS,0.647191,0.812514,0.335115,0.403005,1,1,1,6,0.559746
10,BS_1,BS,0.722284,0.830864,0.225337,0.286513,1,1,1,3,0.763072
10,BS_2,BS,0.647456,0.808846,0.334704,0.400549,1,1,1,9,0.0
10,BS_3,BS,0.433609,0.788096,0.735611,0.695029,1,1,1,2,0.242282
10,BS_4,BS,0.691414,0.830751,0.269016,0.287273,1,1,1,3,0.27697
