slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,441.817496,0.006272,14579.977379,0.206971,0.851731,3.140365,6,6,1,1,0
2,222.97649,0.04551,7135.247683,1.456331,1.620925,16.547303,10,10,1,1,0
3,432.120188,0.039168,13827.846003,1.253367,0.900234,4.629452,10,10,1,1,0
4,434.672757,0.087028,13909.528234,2.784882,1.333087,7.486736,10,10,1,1,0
5,717.135629,0.040895,23665.475762,1.349549,1.00705,8.10863,10,10,1,1,0
6,242.217972,0.039283,8235.411064,1.335617,1.291077,9.287568,9,9,1,1,0
7,238.95476,0.041851,7168.642798,1.255532,1.157122,8.356045,10,10,1,1,0
8,238.428052,0.040956,7868.125727,1.351532,1.19048,8.240887,10,10,1,1,0
9,267.502077,0.044077,9897.576858,1.630837,1.205285,11.118973,10,10,1,1,0
10,271.245641,0.026978,8951.106138,0.890287,0.957394,8.038139,9,9,1,1,0
11,219.396887,0.037512,6801.303485,1.162881,1.077956,9.118729,8,8,1,1,0
12,343.131431,0.038615,9607.680069,1.081231,0.876661,6.797529,10,10,1,1,0
13,258.374086,0.044128,8784.718916,1.50035,1.256777,10.281403,9,9,1,1,0
14,251.995129,0.046182,8315.839252,1.523997,1.095832,10.08823,9,9,1,1,0
15,229.490619,0.023887,6425.737343,0.668833,0.870459,7.40017,7,7,1,1,0
16,301.718473,0.020754,8448.117239,0.581116,0.807614,7.210443,7,7,1,1,0
17,221.400055,0.033441,6199.201531,0.93635,0.863333,8.613272,9,9,1,1,0
18,295.645082,0.042337,9756.287719,1.397136,1.003742,8.972963,9,9,1,1,0
19,298.557081,0.026152,8359.598258,0.732246,0.931407,6.723323,8,8,1,1,0
20,371.234864,0.039337,12250.750509,1.29811,1.002986,8.931443,10,10,1,1,0
21,339.920221,0.044428,12577.048161,1.643851,1.023503,10.165789,10,10,1,1,0
22,341.823905,0.050409,11622.012786,1.713904,1.099978,9.051281,10,10,1,1,0
23,354.17073,0.025642,12750.146268,0.923098,1.161749,8.98285,9,9,1,1,0
24,307.78638,0.037507,10464.736928,1.275254,0.98444,9.033675,9,9,1,1,0
25,237.939653,0.024812,7852.008535,0.818796,0.990747,9.56744,7,7,1,1,0
26,214.618222,0.039479,6223.928426,1.144899,0.768546,7.766305,10,10,1,1,0
27,247.209769,0.041996,8157.922362,1.385856,1.174096,8.733746,9,9,1,1,0
28,365.777537,0.024388,13533.768856,0.902368,1.224054,9.306356,7,7,1,1,0
29,352.872346,0.028362,10939.042725,0.879207,1.030554,8.26023,8,8,1,1,0
30,203.84902,0.035862,5707.772551,1.004138,0.778684,7.63698,8,8,1,1,0
31,279.526206,0.029588,8665.312385,0.917238,0.926782,8.470388,8,8,1,1,0
32,356.487231,0.017102,10338.129685,0.495958,0.87011,7.22312,7,7,1,1,0
33,237.630726,0.041501,6891.291047,1.203536,0.912168,8.918464,9,9,1,1,0
34,272.014474,0.030195,8704.46317,0.966239,0.85323,8.136971,9,9,1,1,0
35,255.426836,0.032256,8429.085585,1.064455,0.935559,9.523785,8,8,1,1,0
36,237.961548,0.031445,7614.769548,1.006235,0.836627,9.860858,8,8,1,1,0
37,364.638516,0.030972,10209.878442,0.867217,0.757384,6.59269,9,9,1,1,0
38,258.744536,0.03349,8538.569684,1.105154,1.034822,8.831463,8,8,1,1,0
39,296.445155,0.015444,8596.909498,0.447874,0.985405,8.795052,7,7,1,1,0
40,261.855418,0.049657,8117.517943,1.539371,0.95929,9.55831,10,10,1,1,0
41,194.062888,0.036974,5045.635093,0.961324,0.809057,6.386998,10,10,1,1,0
42,239.024862,0.042123,7409.770725,1.305826,0.982687,9.147939,9,9,1,1,0
43,339.346045,0.016543,10859.073434,0.529381,0.9029,8.365193,6,6,1,1,0
44,232.317819,0.035564,7666.488018,1.173615,0.894766,11.051943,8,8,1,1,0
45,307.706445,0.035647,10462.019145,1.211999,0.924584,7.64402,9,8,1,1,0
46,295.504258,0.02274,9751.640498,0.750406,0.88402,8.285713,8,8,1,1,0
47,327.934824,0.03409,11477.718837,1.193153,0.963495,8.720537,9,9,1,1,0
48,237.496372,0.028703,7362.387538,0.889779,0.891577,8.437657,7,7,1,1,0
49,232.957946,0.030089,8386.48605,1.083201,1.094571,10.265541,7,7,1,1,0
50,270.525576,0.030918,7304.190563,0.834795,0.668956,5.879172,9,8,1,1,0
51,225.840492,0.021147,6775.214753,0.634417,0.722552,9.297758,7,7,1,1,0
52,221.915547,0.034696,6657.466401,1.040865,0.87684,9.071206,8,8,1,1,0
53,331.099696,0.024537,10926.289978,0.809719,0.910126,8.914177,8,8,1,1,0
54,264.532288,0.046171,9523.162367,1.662154,1.129803,10.375998,10,10,1,1,0
55,249.650361,0.039241,7988.811549,1.255727,0.839434,9.309739,9,9,1,1,0
