slot,ap_id,tier,fidelity,trust,mismatch,uncertainty,twin_age,sync_triggered,coordination_triggered,queue_size,local_load
1,BS_0,BS,0.332871,0.822075,1.0,1.102758,1,1,1,4,0.0
1,BS_1,BS,0.332871,0.735986,1.0,0.661551,1,1,1,3,0.0
1,BS_2,BS,0.904837,0.906805,0.0,0.0,1,0,0,0,0.0
1,BS_3,BS,0.404142,0.749656,0.80599,0.292329,1,1,1,1,0.0
1,BS_4,BS,0.332871,0.852531,1.0,1.17249,1,1,1,5,0.0
1,HAP_0,HAP,0.904837,0.815167,0.0,0.0,1,0,0,0,0.0
1,HAP_1,HAP,0.904837,0.921948,0.0,0.0,1,0,0,0,0.0
1,HAP_2,HAP,0.904837,0.90895,0.0,0.0,1,0,0,0,0.0
1,LEO_0,LEO,0.904837,0.811342,0.0,0.0,1,0,0,0,0.0
1,LEO_1,LEO,0.904837,0.911001,0.0,0.0,1,0,0,0,0.0
2,BS_0,BS,0.795428,0.837978,0.128875,0.88968,1,1,1,2,0.0
2,BS_1,BS,0.643026,0.75683,0.34157,0.581743,1,1,1,3,0.0
2,BS_2,BS,0.507291,0.888522,0.57867,0.150687,1,1,1,1,0.0
2,BS_3,BS,0.581806,0.768303,0.441618,0.321625,1,1,1,2,0.0
2,BS_4,BS,0.628717,0.845181,0.364075,0.99764,1,1,1,5,0.0
2,HAP_0,HAP,0.818731,0.852134,0.0,0.0,2,0,0,0,0.0
2,HAP_1,HAP,0.796837,0.928025,0.127105,0.00727,1,1,1,0,0.238322
2,HAP_2,HAP,0.818731,0.92716,0.0,0.0,2,0,0,0,0.0
2,LEO_0,LEO,0.545945,0.81118,0.505237,0.114869,1,1,1,0,0.94732
2,LEO_1,LEO,0.531069,0.888836,0.532864,0.127775,1,1,1,0,0.99912
3,BS_0,BS,0.647207,0.835888,0.33509,0.762273,1,1,1,5,0.0
3,BS_1,BS,0.644332,0.770799,0.339541,0.517274,1,1,1,4,0.0
3,BS_2,BS,0.470797,0.865739,0.653329,0.312626,1,1,1,1,0.0
3,BS_3,BS,0.593406,0.782305,0.421877,0.337391,1,1,1,2,0.0
3,BS_4,BS,0.670353,0.843147,0.29995,0.838598,1,1,1,6,0.0
3,HAP_0,HAP,0.53179,0.841844,0.531507,0.127125,1,1,1,0,0.996575
3,HAP_1,HAP,0.727085,0.924492,0.218712,0.027342,1,1,1,0,0.553077
3,HAP_2,HAP,0.555482,0.905134,0.487919,0.107129,1,1,1,0,0.914847
3,LEO_0,LEO,0.668217,0.82924,0.303142,0.133248,1,1,1,0,0.0
3,LEO_1,LEO,0.657232,0.890287,0.319718,0.148219,1,1,1,0,0.0
4,BS_0,BS,0.686175,0.837235,0.276622,0.644252,1,1,1,6,0.691048
4,BS_1,BS,0.625384,0.779757,0.36939,0.475221,1,1,1,2,0.619516
4,BS_2,BS,0.457002,0.838431,0.683068,0.460063,1,1,1,2,0.895045
4,BS_3,BS,0.526444,0.779942,0.54161,0.401917,1,1,1,2,0.956134
4,BS_4,BS,0.639076,0.838654,0.347731,0.725291,1,1,1,4,0.0
4,HAP_0,HAP,0.657767,0.852747,0.318904,0.147465,1,1,1,0,0.0
4,HAP_1,HAP,0.789489,0.929307,0.13637,0.030242,1,1,1,0,0.142883
4,HAP_2,HAP,0.675197,0.905078,0.292751,0.12427,1,1,1,0,0.0
4,LEO_0,LEO,0.649249,0.836072,0.331939,0.156181,1,1,1,0,0.887635
4,LEO_1,LEO,0.619037,0.881203,0.37959,0.183415,1,1,1,0,0.991485
5,BS_0,BS,0.659751,0.835859,0.315892,0.560306,1,1,1,5,0.0
5,BS_1,BS,0.715579,0.794782,0.234663,0.404957,1,1,1,3,0.0
5,BS_2,BS,0.572092,0.828603,0.458456,0.462632,1,1,1,2,0.0
5,BS_3,BS,0.535023,0.786899,0.525445,0.445775,1,1,1,1,0.0
5,BS_4,BS,0.646349,0.835738,0.336416,0.631162,1,1,1,4,0.668867
5,HAP_0,HAP,0.621314,0.851452,0.375919,0.181563,1,1,1,0,0.983889
5,HAP_1,HAP,0.664504,0.917779,0.308714,0.067081,1,1,1,0,0.840404
5,HAP_2,HAP,0.626489,0.894149,0.367624,0.160232,1,1,1,0,0.945452
5,LEO_0,LEO,0.651483,0.847666,0.328504,0.173507,1,1,1,0,0.0
5,LEO_1,LEO,0.628659,0.881462,0.364167,0.20641,1,1,1,0,0.0
6,BS_0,BS,0.649258,0.833776,0.331925,0.497823,1,1,1,5,0.502292
6,BS_1,BS,0.711195,0.806388,0.240808,0.35006,1,1,1,3,0.805017
6,BS_2,BS,0.72709,0.834833,0.218705,0.39163,1,1,1,2,0.539828
6,BS_3,BS,0.487811,0.779344,0.617827,0.528389,1,1,1,3,0.561798
6,BS_4,BS,0.6485,0.833605,0.333094,0.554858,1,1,1,5,0.0
6,HAP_0,HAP,0.630264,0.857827,0.361617,0.204096,1,1,1,0,0.0
6,HAP_1,HAP,0.657524,0.913638,0.319275,0.099536,1,1,1,0,0.0
6,HAP_2,HAP,0.640516,0.893019,0.345482,0.181897,1,1,1,0,0.0
6,LEO_0,LEO,0.622317,0.847594,0.374305,0.201852,1,1,1,0,0.973095
6,LEO_1,LEO,0.656862,0.878405,0.320282,0.211289,1,1,1,0,0.902122
7,BS_0,BS,0.644286,0.831645,0.339613,0.45016,1,1,1,5,0.0
7,BS_1,BS,0.668266,0.812523,0.303069,0.321381,1,1,1,3,0.0
7,BS_2,BS,0.446132,0.818143,0.70714,0.538325,1,1,1,1,0.32162
7,BS_3,BS,0.615308,0.785717,0.385632,0.489632,1,1,1,3,0.0
7,BS_4,BS,0.578538,0.825049,0.447251,0.533901,1,1,1,3,0.67089
7,HAP_0,HAP,0.637282,0.857248,0.350544,0.218573,1,1,1,0,0.956676
7,HAP_1,HAP,0.644959,0.903131,0.338569,0.131212,1,1,1,0,0.897427
7,HAP_2,HAP,0.639596,0.885789,0.346918,0.199676,1,1,1,0,0.937155
7,LEO_0,LEO,0.633737,0.855091,0.356122,0.218552,1,1,1,0,0.0
7,LEO_1,LEO,0.645034,0.880908,0.338453,0.220579,1,1,1,0,0.0
8,BS_0,BS,0.645832,0.830083,0.337216,0.4113,1,1,1,4,0.0
8,BS_1,BS,0.611267,0.811605,0.392222,0.326332,1,1,1,2,0.770525
8,BS_2,BS,0.649345,0.827357,0.331792,0.480199,1,1,1,1,0.0
8,BS_3,BS,0.707936,0.798925,0.245401,0.418805,1,1,1,3,0.730496
8,BS_4,BS,0.740318,0.832999,0.200676,0.445243,1,1,1,3,0.0
8,HAP_0,HAP,0.634102,0.862869,0.355545,0.231744,1,1,1,0,0.0
8,HAP_1,HAP,0.65023,0.901186,0.330429,0.154102,1,1,1,0,0.0
8,HAP_2,HAP,0.639397,0.886235,0.347229,0.213996,1,1,1,0,0.0
8,LEO_0,LEO,0.643024,0.855771,0.341572,0.227344,1,1,1,0,0.935613
8,LEO_1,LEO,0.62384,0.874312,0.371862,0.23869,1,1,1,0,0.975101
9,BS_0,BS,0.608303,0.827297,0.397083,0.399993,1,1,1,3,0.0
9,BS_1,BS,0.737425,0.822032,0.20459,0.279901,1,1,1,3,0.0
9,BS_2,BS,0.677361,0.839065,0.289551,0.421887,1,1,1,2,0.0
9,BS_3,BS,0.656476,0.8065,0.32087,0.381375,1,1,1,3,0.0
9,BS_4,BS,0.681193,0.834364,0.28391,0.392466,1,1,1,5,0.961843
9,HAP_0,HAP,0.637678,0.861388,0.349921,0.240495,1,1,1,0,0.949052
9,HAP_1,HAP,0.619905,0.8901,0.378189,0.187644,1,1,1,0,0.98232
