slot,task_id,owner_ap_id,destination_id,local_cost,delay_cost,energy_cost,mission_cost,fidelity_cost
1,T1_UAV_0,HAP_1,LEO_1,137.373056,137.331411,0.000792,0.021821,0.095163
1,T1_UAV_9,BS_4,LEO_1,250.826459,250.794037,0.001515,0.011875,0.095163
1,T1_UAV_8,BS_4,LEO_1,263.981017,263.946193,0.001727,0.014064,0.095163
1,T1_UAV_17,HAP_1,LEO_1,275.926751,275.899032,0.001447,0.00724,0.095163
1,T1_UAV_14,BS_3,LEO_1,290.61621,290.591035,0.001409,0.004733,0.095163
1,T1_UAV_7,BS_3,LEO_1,310.503211,310.469248,0.001595,0.013335,0.095163
1,T1_UAV_15,BS_4,LEO_1,328.037103,327.998391,0.001962,0.017718,0.095163
1,T1_UAV_13,HAP_1,LEO_0,212.252113,212.192345,0.004928,0.035806,0.095163
1,T1_UAV_2,HAP_1,LEO_0,220.526743,220.470912,0.004989,0.03181,0.095163
1,T1_UAV_10,HAP_1,LEO_0,230.575913,230.513853,0.005899,0.037128,0.095163
1,T1_UAV_6,BS_0,LEO_0,236.086107,236.018009,0.005976,0.04309,0.095163
1,T1_UAV_3,HAP_1,LEO_1,389.056039,389.029534,0.002247,0.005226,0.095163
1,T1_UAV_16,BS_0,LEO_0,321.017274,320.958456,0.007812,0.031973,0.095163
2,T2_UAV_18,BS_3,HAP_0,77.089142,77.043335,0.002475,0.007079,0.181269
2,T2_UAV_6,BS_0,HAP_0,100.738366,100.677475,0.002441,0.022196,0.181269
2,T2_UAV_9,BS_4,HAP_0,147.247293,147.18527,0.002928,0.022841,0.181269
2,T2_UAV_19,BS_1,HAP_2,251.188735,251.115374,0.005317,0.03179,0.181269
2,T2_UAV_15,BS_4,HAP_2,315.792406,315.71397,0.005543,0.03664,0.181269
2,T2_UAV_17,HAP_1,HAP_2,317.345547,317.275377,0.007729,0.026187,0.181269
2,T2_UAV_14,BS_3,BS_2,140.058433,139.969285,0.034975,0.017919,0.181269
2,T2_UAV_1,BS_4,HAP_2,378.982344,378.909808,0.006435,0.029847,0.181269
2,T2_UAV_12,BS_3,HAP_1,326.723556,326.477874,0.030153,0.03886,0.383348
2,T2_UAV_5,HAP_1,HAP_1,329.369017,329.091936,0.028301,0.07211,0.383348
2,T2_UAV_3,HAP_1,HAP_1,347.788133,347.559646,0.028414,0.023404,0.383348
2,T2_UAV_13,HAP_1,HAP_1,377.087905,376.813969,0.029085,0.068182,0.383348
2,T2_UAV_2,HAP_1,BS_1,384.659484,384.323908,0.106023,0.031595,0.489788
2,T2_UAV_16,BS_0,BS_1,106.52585,106.270258,0.036544,0.021091,0.489788
2,T2_UAV_0,HAP_1,HAP_2,141.065742,140.979354,0.003218,0.046916,0.181269
2,T2_UAV_10,HAP_1,BS_0,114.433012,114.178634,0.03852,0.031019,0.424189
2,T2_UAV_4,HAP_1,BS_3,119.640606,119.325442,0.039806,0.069462,0.529479
3,T3_UAV_15,BS_4,LEO_0,132.978279,132.757876,0.042737,0.018022,0.298219
3,T3_UAV_18,BS_3,LEO_0,144.152224,143.896629,0.04404,0.051911,0.298219
3,T3_UAV_6,BS_0,LEO_0,162.575025,162.331259,0.044107,0.040016,0.298219
3,T3_UAV_3,HAP_1,LEO_0,187.6628,187.415659,0.044803,0.042695,0.298219
3,T3_UAV_14,BS_3,LEO_0,236.900174,236.661626,0.046109,0.032795,0.298219
3,T3_UAV_19,BS_1,BS_4,337.248957,336.928399,0.09418,0.066832,0.297734
3,T3_UAV_12,BS_3,LEO_1,285.74265,285.496953,0.041529,0.038096,0.33036
3,T3_UAV_2,HAP_1,LEO_1,176.530447,176.315962,0.041207,0.007207,0.33036
3,T3_UAV_8,BS_4,LEO_1,230.501022,230.286139,0.041752,0.00706,0.33036
3,T3_UAV_13,HAP_1,LEO_1,252.375723,252.148323,0.041786,0.019542,0.33036
3,T3_UAV_10,HAP_1,LEO_1,296.789533,296.574571,0.041885,0.007005,0.33036
3,T3_UAV_9,BS_4,BS_4,363.642868,363.339619,0.10078,0.042922,0.297734
3,T3_UAV_0,HAP_1,LOCAL,1797.464241,1797.464241,0.0,0.0,0.0
3,T3_UAV_7,BS_3,LOCAL,1741.486526,1741.486526,0.0,0.0,0.0
3,T3_UAV_11,HAP_1,LOCAL,1923.24023,1923.24023,0.0,0.0,0.0
4,T4_UAV_0,HAP_1,BS_2,168.465269,168.194846,0.052018,0.059332,0.295367
4,T4_UAV_6,BS_0,HAP_0,193.238274,193.022494,0.029279,0.020999,0.327513
4,T4_UAV_16,BS_0,BS_2,214.334464,214.078729,0.063483,0.033179,0.295367
4,T4_UAV_13,HAP_1,HAP_0,350.508457,350.281662,0.035166,0.026127,0.327513
4,T4_UAV_11,HAP_1,HAP_0,384.692973,384.479747,0.035452,0.012271,0.327513
4,T4_UAV_2,HAP_1,HAP_2,500.219689,499.96819,0.036196,0.046903,0.341998
4,T4_UAV_17,HAP_1,HAP_2,129.511117,129.287949,0.028151,0.026617,0.341998
4,T4_UAV_10,HAP_1,HAP_2,133.459513,133.204334,0.028369,0.058409,0.341998
4,T4_UAV_14,BS_3,HAP_1,107.726048,107.446929,0.026746,0.079176,0.365988
4,T4_UAV_4,HAP_1,HAP_0,109.925868,109.705452,0.027741,0.027173,0.327513
4,T4_UAV_18,BS_3,HAP_2,185.329837,185.093804,0.029933,0.0377,0.341998
4,T4_UAV_5,HAP_1,HAP_1,153.16836,152.904362,0.026546,0.064254,0.365988
4,T4_UAV_9,BS_4,HAP_1,202.234301,201.967905,0.028763,0.064436,0.365988
4,T4_UAV_7,BS_3,HAP_1,275.920988,275.694359,0.028508,0.024923,0.365988
4,T4_UAV_19,BS_1,BS_1,188.084132,187.802909,0.056917,0.038754,0.427755
4,T4_UAV_15,BS_4,BS_0,193.896104,193.571493,0.058359,0.088736,0.387578
4,T4_UAV_3,HAP_1,HAP_2,497.789841,497.575829,0.037819,0.007794,0.341998
5,T5_UAV_15,BS_4,BS_0,64.561451,64.321759,0.026062,0.056951,0.283395
5,T5_UAV_1,BS_4,LEO_1,220.1592,219.897987,0.041398,0.047231,0.362926
5,T5_UAV_16,BS_0,LEO_1,221.392481,221.147819,0.041255,0.030821,0.362926
5,T5_UAV_19,BS_1,LEO_1,315.683479,315.421049,0.041704,0.048141,0.362926
5,T5_UAV_14,BS_3,LEO_1,398.61237,398.357436,0.041992,0.040357,0.362926
5,T5_UAV_3,HAP_1,LEO_1,117.352879,117.089088,0.040701,0.050505,0.362926
5,T5_UAV_11,HAP_1,LEO_1,123.076586,122.837965,0.040653,0.025384,0.362926
5,T5_UAV_13,HAP_1,LEO_1,126.53774,126.30376,0.040804,0.020591,0.362926
5,T5_UAV_10,HAP_1,LEO_0,159.274367,159.024113,0.043593,0.034355,0.36153
5,T5_UAV_5,HAP_1,LEO_0,304.877986,304.59552,0.04703,0.06313,0.36153
5,T5_UAV_6,BS_0,LEO_0,305.255551,304.996405,0.046837,0.040003,0.36153
5,T5_UAV_0,HAP_1,LEO_0,316.473002,316.217636,0.046543,0.036517,0.36153
5,T5_UAV_18,BS_3,LEO_0,353.09905,352.832462,0.048744,0.045538,0.36153
5,T5_UAV_7,BS_3,LEO_0,379.452091,379.216206,0.049196,0.014383,0.36153
6,T6_UAV_1,BS_4,HAP_0,75.811166,75.605688,0.026524,0.006947,0.360037
6,T6_UAV_2,HAP_1,HAP_0,80.452312,80.24559,0.027461,0.007253,0.360037
6,T6_UAV_10,HAP_1,HAP_0,81.077869,80.844106,0.027704,0.034052,0.360037
6,T6_UAV_3,HAP_1,HAP_2,89.028296,88.792316,0.027771,0.034778,0.367157
6,T6_UAV_13,HAP_1,HAP_2,93.485939,93.248617,0.027619,0.036271,0.367157
6,T6_UAV_19,BS_1,HAP_1,98.593468,98.373229,0.026831,0.029911,0.317488
6,T6_UAV_12,BS_3,HAP_1,103.153867,102.913341,0.026728,0.0503,0.317488
6,T6_UAV_5,HAP_1,HAP_2,136.009292,135.790854,0.029287,0.01572,0.367157
6,T6_UAV_8,BS_4,BS_2,232.364456,232.077401,0.06798,0.051985,0.335447
6,T6_UAV_7,BS_3,HAP_1,185.849761,185.621767,0.027473,0.037024,0.317488
6,T6_UAV_4,HAP_1,BS_1,249.999044,249.718105,0.072388,0.025404,0.415734
6,T6_UAV_9,BS_4,BS_2,258.25617,257.960526,0.074448,0.054106,0.335447
6,T6_UAV_0,HAP_1,BS_3,275.825715,275.508262,0.078833,0.068576,0.350223
6,T6_UAV_16,BS_0,BS_1,297.901797,297.589436,0.08435,0.044865,0.415734
6,T6_UAV_17,HAP_1,BS_4,164.232994,163.945516,0.050956,0.042837,0.468425
6,T6_UAV_18,BS_3,BS_3,381.066949,380.778995,0.105137,0.012772,0.350223
6,T6_UAV_6,BS_0,LOCAL,1762.008259,1762.008259,0.0,0.0,0.0
6,T6_UAV_15,BS_4,LOCAL,1899.661523,1899.661523,0.0,0.0,0.0
7,T7_UAV_9,BS_4,LEO_1,95.761859,95.540788,0.04067,0.008337,0.360327
7,T7_UAV_2,HAP_1,LEO_1,126.056343,125.832521,0.040862,0.010894,0.360327
7,T7_UAV_7,BS_3,LEO_1,154.510502,154.273469,0.040889,0.024079,0.360327
7,T7_UAV_10,HAP_1,LEO_1,166.070457,165.823004,0.041059,0.034328,0.360327
7,T7_UAV_15,BS_4,LEO_0,140.910631,140.634543,0.043338,0.058743,0.370032
7,T7_UAV_14,BS_3,LEO_1,216.684554,216.457917,0.041176,0.013396,0.360327
7,T7_UAV_12,BS_3,LEO_0,182.686197,182.446455,0.046003,0.019733,0.370032
7,T7_UAV_1,BS_4,LEO_0,191.592403,191.320603,0.044456,0.053336,0.370032
7,T7_UAV_11,HAP_1,LEO_0,217.892673,217.637176,0.046339,0.03515,0.370032
7,T7_UAV_18,BS_3,BS_0,164.017425,163.757115,0.050909,0.034338,0.375317
7,T7_UAV_3,HAP_1,LOCAL,1889.24936,1889.24936,0.0,0.0,0.0
7,T7_UAV_5,HAP_1,LOCAL,1831.595562,1831.595562,0.0,0.0,0.0
7,T7_UAV_6,BS_0,LOCAL,1636.615206,1636.615206,0.0,0.0,0.0
7,T7_UAV_16,BS_0,LOCAL,1858.504363,1858.504363,0.0,0.0,0.0
8,T8_UAV_0,HAP_1,HAP_0,117.26251,117.042013,0.028245,0.02174,0.352559
8,T8_UAV_10,HAP_1,HAP_0,131.989729,131.745288,0.028929,0.045001,0.352559
8,T8_UAV_3,HAP_1,HAP_2,134.757637,134.537583,0.028766,0.016575,0.373565
8,T8_UAV_6,BS_0,HAP_0,165.098067,164.858787,0.028669,0.040098,0.352559
8,T8_UAV_7,BS_3,HAP_2,200.941729,200.720766,0.030758,0.015491,0.373565
8,T8_UAV_16,BS_0,HAP_2,219.98153,219.756878,0.03014,0.019799,0.373565
8,T8_UAV_19,BS_1,HAP_1,224.542879,224.310129,0.02887,0.033183,0.353481
8,T8_UAV_2,HAP_1,HAP_1,236.553487,236.283137,0.027537,0.072116,0.353481
8,T8_UAV_12,BS_3,HAP_1,240.706002,240.465006,0.028773,0.041527,0.353481
8,T8_UAV_4,HAP_1,HAP_2,250.838988,250.599407,0.030247,0.03462,0.373565
8,T8_UAV_1,BS_4,HAP_1,253.665532,253.395253,0.02965,0.069933,0.353481
8,T8_UAV_13,HAP_1,HAP_0,282.687793,282.450014,0.033197,0.03407,0.352559
8,T8_UAV_8,BS_4,BS_2,290.121887,289.813949,0.082407,0.051744,0.368936
8,T8_UAV_9,BS_4,BS_2,312.731356,312.409602,0.088053,0.059913,0.368936
8,T8_UAV_5,HAP_1,BS_3,161.037433,160.760277,0.05016,0.05577,0.356127
8,T8_UAV_14,BS_3,BS_1,172.77563,172.519025,0.053098,0.018538,0.424844
8,T8_UAV_15,BS_4,BS_4,189.476316,189.237669,0.057276,0.017015,0.321781
8,T8_UAV_18,BS_3,LOCAL,1908.251838,1908.251838,0.0,0.0,0.0
9,T9_UAV_1,BS_4,BS_0,74.330144,74.110401,0.028508,0.048583,0.213259
9,T9_UAV_5,HAP_1,LEO_1,159.117579,158.853686,0.041027,0.049488,0.366887
9,T9_UAV_10,HAP_1,LEO_1,206.883067,206.619483,0.041323,0.048883,0.366887
9,T9_UAV_6,BS_0,LEO_1,228.352696,228.123803,0.041339,0.014177,0.366887
9,T9_UAV_16,BS_0,LEO_1,326.705185,326.47105,0.04204,0.018717,0.366887
9,T9_UAV_18,BS_3,LEO_1,95.143982,94.891531,0.04052,0.038553,0.366887
9,T9_UAV_14,BS_3,LEO_0,97.86722,97.596565,0.042959,0.055818,0.359393
9,T9_UAV_2,HAP_1,LEO_0,137.936175,137.674917,0.043627,0.045752,0.359393
9,T9_UAV_4,HAP_1,LEO_0,162.847391,162.595063,0.043838,0.036611,0.359393
9,T9_UAV_19,BS_1,LEO_0,200.39937,200.154794,0.045558,0.02714,0.359393
9,T9_UAV_3,HAP_1,LOCAL,1800.785441,1800.785441,0.0,0.0,0.0
9,T9_UAV_12,BS_3,LOCAL,1675.696371,1675.696371,0.0,0.0,0.0
9,T9_UAV_15,BS_4,LOCAL,1886.098608,1886.098608,0.0,0.0,0.0
9,T9_UAV_17,HAP_1,LOCAL,1763.757244,1763.757244,0.0,0.0,0.0
10,T10_UAV_12,BS_3,HAP_2,110.551006,110.309791,0.028507,0.039752,0.364774
10,T10_UAV_4,HAP_1,HAP_2,178.927068,178.683519,0.029072,0.041523,0.364774
10,T10_UAV_5,HAP_1,HAP_2,179.460848,179.215964,0.030687,0.041242,0.364774
10,T10_UAV_6,BS_0,HAP_0,328.925665,328.700001,0.031861,0.019484,0.371597
10,T10_UAV_8,BS_4,HAP_0,408.228251,407.982514,0.03234,0.039078,0.371597
