slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,266.631727,0.003254,3466.212456,0.042299,0.275818,1.237114,4,4,1,1,0
2,233.700642,0.023995,3972.910914,0.407908,0.597137,5.098059,7,7,1,1,0
3,551.089601,0.041661,8266.344012,0.624915,0.374102,3.738359,10,10,1,1,3
4,234.36947,0.037026,3984.280991,0.629447,0.716784,5.890059,10,10,1,1,0
5,243.018515,0.042608,3402.259206,0.596511,0.553906,4.993055,10,10,1,1,0
6,358.926863,0.043416,6460.683533,0.78149,0.5528,5.805278,10,10,1,1,2
7,633.549149,0.031122,8869.688082,0.435701,0.292335,3.657081,10,10,1,1,4
8,304.953146,0.038043,5489.156622,0.684777,0.647136,6.159044,10,10,1,1,1
9,629.53064,0.029339,8813.428958,0.410739,0.383722,3.485264,10,10,1,1,4
10,222.028597,0.045047,3774.486146,0.765792,0.609367,6.257004,10,10,1,1,0
11,443.186421,0.039456,7090.982732,0.631302,0.443951,4.588322,10,10,1,1,3
12,263.576165,0.053479,4480.794802,0.909141,0.637024,6.133521,10,10,1,1,0
13,418.324826,0.04074,7529.846868,0.733321,0.580797,5.533146,10,10,1,1,3
14,241.796512,0.041416,3385.151162,0.579819,0.48204,5.092769,10,10,1,1,0
15,301.652768,0.052238,5128.097063,0.888052,0.625809,5.75501,10,10,1,1,1
16,458.485935,0.02261,7335.774955,0.361762,0.50886,4.365315,10,10,1,1,4
17,256.808505,0.042124,3852.127569,0.631854,0.477893,4.998321,10,10,1,1,1
18,517.734193,0.027871,9836.949666,0.529552,0.48943,5.100653,10,10,1,1,4
19,265.590664,0.060176,4780.631959,1.08317,0.632979,6.638368,10,10,1,1,0
20,404.102661,0.048093,7677.950561,0.913758,0.605187,6.064844,10,10,1,1,2
21,162.832458,0.04194,2279.654418,0.587161,0.440159,5.029995,10,10,1,1,0
22,449.198637,0.025471,7187.178187,0.407537,0.407137,4.770446,10,10,1,1,3
23,331.026931,0.042623,5296.430888,0.681966,0.54585,5.389444,10,10,1,1,1
24,195.596497,0.033955,2542.754464,0.441412,0.552041,4.744254,10,10,1,1,0
25,238.660234,0.04528,3579.903505,0.679205,0.481441,5.13511,10,10,1,1,0
26,212.296148,0.030084,2972.146073,0.421174,0.549555,4.452123,10,10,1,1,0
27,280.779348,0.064249,5334.807618,1.220735,0.684057,6.725531,9,9,1,1,0
28,405.888762,0.035255,6494.220194,0.564084,0.549401,4.763252,9,9,1,1,2
29,322.468851,0.048588,5481.97046,0.826003,0.580427,5.866454,10,10,1,1,1
30,281.190166,0.03145,3655.47216,0.408853,0.506972,4.491857,10,10,1,1,0
31,249.607737,0.060886,3993.723796,0.974183,0.446279,5.288982,10,10,1,1,0
32,175.127675,0.03158,2101.532104,0.378965,0.430796,4.566703,10,10,1,1,0
33,245.363893,0.050811,3925.82228,0.812976,0.583573,5.944331,10,10,1,1,0
34,234.390859,0.035434,2812.690312,0.425214,0.441641,4.023774,10,10,1,1,0
35,228.067982,0.043101,3421.019733,0.646514,0.422757,5.444027,10,10,1,1,0
36,254.966493,0.056774,4079.46388,0.908386,0.650977,4.946818,10,10,1,1,0
37,598.809631,0.031254,10778.573358,0.562567,0.524535,4.909657,10,10,1,1,4
38,278.064925,0.03448,2780.64925,0.344803,0.393815,3.665554,10,10,1,1,0
39,216.062023,0.040562,3673.054385,0.689556,0.634645,5.495385,10,10,1,1,0
40,353.610641,0.038956,6364.991538,0.701202,0.627734,5.665773,10,10,1,1,2
41,440.0369,0.034711,6600.553494,0.520661,0.439014,4.498975,10,10,1,1,2
42,540.592037,0.042659,9730.656671,0.76786,0.524658,5.031153,10,10,1,1,4
