slot,average_delay,average_energy,total_delay,total_energy,mission_cost,fidelity_cost,sync_trigger_count,coordination_trigger_count,one_hot_valid,resource_feasible,local_execution_count
1,122.859706,0.002698,1720.035878,0.037771,0.4075,1.332276,5,5,1,1,0
2,172.851844,0.036411,2938.481355,0.618992,0.546474,6.514956,10,10,1,1,0
3,181.57058,0.015092,3086.699855,0.256565,0.652673,4.587847,8,8,1,1,0
4,128.636516,0.022364,2186.820778,0.380183,0.618091,5.523935,8,8,1,1,0
5,189.049883,0.023219,3024.798129,0.371505,0.44912,4.660701,8,8,1,1,0
6,191.460981,0.036247,3254.836682,0.616195,0.394306,3.142543,8,7,1,1,0
7,207.116556,0.036055,3728.09801,0.64899,0.51336,4.989761,10,10,1,1,0
8,132.3986,0.028693,2383.174797,0.516474,0.556797,5.669568,8,8,1,1,0
9,141.244078,0.018845,2401.149329,0.320367,0.494348,5.37886,7,7,1,1,0
10,162.247619,0.021635,2595.9619,0.346162,0.378586,4.785283,7,7,1,1,0
11,189.56432,0.039536,3033.029117,0.632579,0.436608,3.339547,10,8,1,1,0
12,147.807201,0.019434,2217.108013,0.291517,0.392605,3.931207,7,7,1,1,0
13,159.876334,0.019847,2877.774006,0.357242,0.377115,5.684095,7,7,1,1,0
14,149.099595,0.020717,2385.593513,0.331466,0.376634,5.072367,8,8,1,1,0
15,134.447088,0.028868,2151.153406,0.461889,0.404289,3.789119,8,7,1,1,0
16,120.292095,0.026044,1684.089335,0.364613,0.310815,3.938722,8,8,1,1,0
17,166.239686,0.023338,2327.355601,0.326733,0.274745,3.587976,7,7,1,1,0
18,175.645761,0.030179,2634.686413,0.452684,0.302056,3.927882,9,9,1,1,0
19,116.892176,0.033879,1870.274811,0.54206,0.335753,5.372935,9,9,1,1,0
20,116.149044,0.02514,1393.788527,0.301676,0.222109,2.992371,9,9,1,1,0
21,150.34144,0.017512,2706.145916,0.315207,0.41004,5.478545,6,6,1,1,0
22,154.545267,0.036515,2318.17901,0.547718,0.328036,3.666181,9,9,1,1,0
23,120.980868,0.015201,1935.693888,0.243218,0.32932,4.535448,6,6,1,1,0
24,171.198018,0.025434,2910.366307,0.432375,0.301672,4.437814,8,7,1,1,0
25,130.733174,0.017789,1960.99761,0.266835,0.3607,4.906283,8,8,1,1,0
26,176.848038,0.033779,2652.720565,0.506678,0.271024,3.263648,9,8,1,1,0
27,160.84816,0.031106,2251.87424,0.435489,0.317379,3.555059,9,9,1,1,0
28,192.556067,0.011122,3080.897079,0.177948,0.270452,4.122611,7,7,1,1,0
29,209.301106,0.03412,3767.419915,0.614163,0.284785,4.565422,9,9,1,1,0
30,192.180422,0.035027,3267.067179,0.595462,0.301033,4.492905,9,8,1,1,0
31,133.233423,0.024924,1865.267924,0.348943,0.32088,3.718953,9,9,1,1,0
32,192.034685,0.028662,3264.589645,0.487261,0.433688,4.474213,9,9,1,1,0
33,139.525837,0.027602,2232.413394,0.441628,0.351214,4.906382,9,9,1,1,0
34,131.171959,0.0219,1705.235461,0.284704,0.245255,3.141117,8,8,1,1,0
35,138.556214,0.032823,2216.899431,0.525173,0.406327,4.353368,9,9,1,1,0
36,188.119865,0.033875,3574.27743,0.643631,0.41848,5.074058,8,8,1,1,0
37,279.715111,0.028511,4195.726669,0.427669,0.217462,2.959359,9,8,1,1,0
38,127.675445,0.033462,1915.131676,0.501934,0.380291,4.559632,9,9,1,1,0
39,305.809328,0.030362,5198.758584,0.516157,0.311317,3.53283,8,8,1,1,0
40,418.731282,0.03029,5862.237946,0.424066,0.22902,3.435605,9,9,1,1,0
41,127.886737,0.036365,2301.96126,0.654568,0.53772,6.09096,10,10,1,1,0
42,168.20502,0.028203,2691.280316,0.451254,0.454703,4.223264,9,9,1,1,0
43,135.790968,0.030103,2308.44645,0.511757,0.488569,4.202055,9,9,1,1,0
44,190.179403,0.032875,3042.870441,0.525997,0.391714,4.01822,9,9,1,1,0
45,125.459775,0.026523,2132.816174,0.450897,0.507603,5.22022,9,9,1,1,0
46,199.67385,0.018478,3594.129296,0.332599,0.498151,4.485801,8,8,1,1,0
47,132.616966,0.027833,1724.020555,0.361827,0.336263,3.928686,9,9,1,1,0
48,167.882257,0.027113,2853.998371,0.460918,0.430999,4.002195,9,8,1,1,0
