method,seed_index,slot,time_avg_delay,time_avg_energy_raw,time_avg_energy_scaled,time_avg_fidelity
proposed,0,1,1720.03587811,3.777123364908e-02,0.03777123,0.61885425
proposed,0,2,2329.25861665,3.283818496711e-01,0.32838185,0.62048959
proposed,0,3,2581.73902952,3.044428380133e-01,0.30444284,0.63914259
proposed,0,4,2483.00946659,3.233777746451e-01,0.32337777,0.6405328
proposed,0,5,2591.36719906,3.330032195895e-01,0.33300322,0.64194041
proposed,0,6,2701.94544625,3.802017856641e-01,0.38020179,0.65797139
proposed,0,7,2848.53866964,4.186000413966e-01,0.41860004,0.6588841
proposed,0,8,2790.36818553,4.308342714077e-01,0.43083427,0.66265678
proposed,0,9,2747.12164595,4.185601278895e-01,0.41856013,0.66283179
proposed,0,10,2732.00567139,4.113203595739e-01,0.41132036,0.66329738
proposed,0,11,2759.37143914,4.314347570185e-01,0.43143476,0.66882234
proposed,0,12,2714.18282033,4.197749267893e-01,0.41977493,0.67149479
proposed,0,13,2726.76675769,4.149647139654e-01,0.41496471,0.67073659
proposed,0,14,2702.39724025,4.090005148752e-01,0.40900051,0.67052078
proposed,0,15,2665.64765127,4.125264079982e-01,0.41252641,0.67251595
proposed,0,16,2604.30025651,4.095318179350e-01,0.40953182,0.67183682
proposed,0,17,2588.00939441,4.046612815112e-01,0.40466128,0.6698822
proposed,0,18,2590.60256208,4.073292071139e-01,0.40732921,0.66954484
proposed,0,19,2552.6905752,4.144203116410e-01,0.41442031,0.66912179
proposed,0,20,2494.74547279,4.087831105594e-01,0.40878311,0.67029777
proposed,0,21,2504.81216054,4.043271254138e-01,0.40432713,0.67074807
proposed,0,22,2496.32883551,4.108448856588e-01,0.41084489,0.67158037
proposed,0,23,2471.95340302,4.035567693471e-01,0.40355677,0.67251002
proposed,0,24,2490.22060734,4.047575456501e-01,0.40475755,0.67316481
proposed,0,25,2469.05168746,3.992406383562e-01,0.39924064,0.67151983
proposed,0,26,2476.11587507,4.033728560555e-01,0.40337286,0.67171205
proposed,0,27,2467.81062931,4.045623491647e-01,0.40456235,0.67188453
proposed,0,28,2489.70657393,3.964689829268e-01,0.39646898,0.67114589
proposed,0,29,2533.76565466,4.039756745302e-01,0.40397567,0.67113288
proposed,0,30,2558.20903879,4.103585475512e-01,0.41035855,0.67200385
proposed,0,31,2535.85609959,4.083773895113e-01,0.40837739,0.6711683
proposed,0,32,2558.62902289,4.108424894210e-01,0.41084249,0.67181098
proposed,0,33,2548.74370081,4.117753775335e-01,0.41177538,0.67174535
proposed,0,34,2523.93463494,4.080379801263e-01,0.40803798,0.67160174
proposed,0,35,2515.16220053,4.113846886795e-01,0.41138469,0.67201338
proposed,0,36,2544.58206803,4.178359793449e-01,0.41783598,0.67220385
proposed,0,37,2589.20759778,4.181017453374e-01,0.41810175,0.67249231
proposed,0,38,2571.46875772,4.203078616603e-01,0.42030786,0.67191471
proposed,0,39,2638.83516352,4.227655220429e-01,0.42276552,0.67235173
proposed,0,40,2719.42023308,4.227980317333e-01,0.42279803,0.67217249
proposed,0,41,2709.23830691,4.284509654257e-01,0.42845097,0.67170533
proposed,0,42,2708.81073571,4.289939012248e-01,0.4289939,0.67165078
proposed,0,43,2699.49993837,4.309186318397e-01,0.43091863,0.67276569
proposed,0,44,2707.30381343,4.330795000526e-01,0.4330795,0.67313859
proposed,0,45,2694.53742144,4.334754408595e-01,0.43347544,0.6726544
proposed,0,46,2714.09376654,4.312824794408e-01,0.43128248,0.67293123
proposed,0,47,2693.02837905,4.298046976420e-01,0.4298047,0.67285512
proposed,0,48,2696.38192055,4.304528947225e-01,0.43045289,0.67349698
proposed,0,49,2701.87711428,4.279982467447e-01,0.42799825,0.67434925
proposed,0,50,2696.78986937,4.278394994331e-01,0.4278395,0.67361965
proposed,0,51,2828.78974501,4.636543174934e-01,0.46365432,0.67388707
proposed,0,52,2816.07039491,4.635739944413e-01,0.46357399,0.67398269
proposed,0,53,2804.1584887,4.643079146387e-01,0.46430791,0.67441245
proposed,0,54,2799.04416482,4.649947752387e-01,0.46499478,0.67498446
proposed,0,55,2795.48709024,4.597356833213e-01,0.45973568,0.67555912
proposed,0,56,2790.12507256,4.568157338416e-01,0.45681573,0.67545879
proposed,0,57,2767.43049795,4.538237989866e-01,0.4538238,0.67563596
proposed,0,58,2774.31822242,4.539525989683e-01,0.4539526,0.67642359
proposed,0,59,2752.0066754,4.528187505270e-01,0.45281875,0.67622865
proposed,0,60,2754.91833765,4.512886667323e-01,0.45128867,0.67651688
proposed,0,61,2742.3458129,4.519011428844e-01,0.45190114,0.67684573
proposed,0,62,2741.43769418,4.514128557827e-01,0.45141286,0.67736655
proposed,0,63,2802.94819921,4.486882365481e-01,0.44868824,0.677569
proposed,0,64,2819.24723953,4.518786650091e-01,0.45187867,0.67723433
proposed,0,65,2831.75094207,4.495736705588e-01,0.44957367,0.6767817
proposed,0,66,2814.80609418,4.493159636255e-01,0.44931596,0.67615748
proposed,0,67,2816.99663433,4.493393397815e-01,0.44933934,0.67654128
proposed,0,68,2812.99058623,4.482565357014e-01,0.44825654,0.67646699
proposed,0,69,2844.90785953,4.499132575525e-01,0.44991326,0.67682762
proposed,0,70,2860.485526,4.492529707438e-01,0.44925297,0.67689453
proposed,0,71,2920.00831346,4.531352751063e-01,0.45313528,0.67665318
proposed,0,72,2953.07745541,4.550423491637e-01,0.45504235,0.67611762
proposed,0,73,3033.21559051,4.791746686959e-01,0.47917467,0.67507322
proposed,0,74,3026.43607926,4.821327068078e-01,0.48213271,0.67506792
proposed,0,75,3022.63944095,4.806791524055e-01,0.48067915,0.67558625
proposed,0,76,3018.65143776,4.808546859069e-01,0.48085469,0.67598722
proposed,0,77,3003.4596384,4.801627201510e-01,0.48016272,0.67609025
proposed,0,78,3043.29404808,4.791754420078e-01,0.47917544,0.67646615
proposed,0,79,3034.51934536,4.788180858136e-01,0.47881809,0.67663814
proposed,0,80,3025.07789421,4.805221013389e-01,0.4805221,0.67696551
proposed,0,81,3007.17332804,4.793516543123e-01,0.47935165,0.6771143
proposed,0,82,2998.71861604,4.764470518316e-01,0.47644705,0.67743566
proposed,0,83,2983.99645706,4.758408062790e-01,0.47584081,0.67741846
proposed,0,84,2978.39280488,4.754032294946e-01,0.47540323,0.67810652
proposed,0,85,2976.09998969,4.751743913423e-01,0.47517439,0.67793679
proposed,0,86,2992.41511353,4.758570472284e-01,0.47585705,0.6779771
proposed,0,87,2980.55466168,4.774198847659e-01,0.47741988,0.67806051
proposed,0,88,2975.20106993,4.754285329129e-01,0.47542853,0.67821759
proposed,0,89,2991.90823303,4.752855626967e-01,0.47528556,0.67815203
proposed,0,90,3009.95233557,4.755104742054e-01,0.47551047,0.67808147
proposed,0,91,2997.7670829,4.762871086292e-01,0.47628711,0.67729287
proposed,0,92,2999.73519734,4.761024112873e-01,0.47610241,0.67737185
proposed,0,93,3010.52972211,4.775194420511e-01,0.47751944,0.67746378
proposed,0,94,3015.05845596,4.754980924810e-01,0.47549809,0.6775035
proposed,0,95,3013.95546979,4.753262304614e-01,0.47532623,0.67715126
proposed,0,96,3006.26693349,4.757474101425e-01,0.47574741,0.67706738
proposed,0,97,2992.06888886,4.733448264838e-01,0.47334483,0.67703029
proposed,0,98,2988.36273339,4.748869535542e-01,0.47488695,0.67673675
proposed,0,99,2988.34238287,4.714550201307e-01,0.47145502,0.67685751
proposed,0,100,2979.59907939,4.711872591894e-01,0.47118726,0.67681931
proposed,0,101,2977.65716866,4.688338716094e-01,0.46883387,0.6765682
proposed,0,102,2978.39229489,4.705853919800e-01,0.47058539,0.67665889
proposed,0,103,2974.39324356,4.719176814907e-01,0.47191768,0.67683301
proposed,0,104,2971.89157428,4.716393905864e-01,0.47163939,0.67706039
proposed,0,105,2969.82717207,4.719707979049e-01,0.4719708,0.67694468
proposed,0,106,2973.81522104,4.732179306130e-01,0.47321793,0.67694939
proposed,0,107,2984.64285005,4.727021718382e-01,0.47270217,0.67732219
proposed,0,108,2978.66010385,4.731914550766e-01,0.47319146,0.67741429
proposed,0,109,2992.7892288,4.746515668635e-01,0.47465157,0.67726488
proposed,0,110,3006.79190164,4.751551001070e-01,0.4751551,0.677169
proposed,0,111,2995.25571901,4.754698275602e-01,0.47546983,0.67713804
proposed,0,112,2988.91606622,4.761156680211e-01,0.47611567,0.6774428
proposed,0,113,2987.30297063,4.743429285338e-01,0.47434293,0.6778248
proposed,0,114,3004.46998149,4.749562165526e-01,0.47495622,0.67806602
proposed,0,115,2998.70677535,4.761971407584e-01,0.47619714,0.67774341
proposed,0,116,2998.04195196,4.765780190974e-01,0.47657802,0.67790283
proposed,0,117,2991.62768432,4.779690120431e-01,0.47796901,0.67783442
proposed,0,118,3001.75914569,4.781740853315e-01,0.47817409,0.67801678
proposed,0,119,2989.98413847,4.761329295322e-01,0.47613293,0.67783712
proposed,0,120,2982.64699218,4.756232621380e-01,0.47562326,0.67771123
proposed,0,121,2990.35350466,4.732086687686e-01,0.47320867,0.67802836
proposed,0,122,3000.30814676,4.738751901613e-01,0.47387519,0.67815613
proposed,0,123,3016.2411927,4.746158276151e-01,0.47461583,0.67806592
proposed,0,124,3020.16558163,4.757728420685e-01,0.47577284,0.67795669
proposed,0,125,3044.6609199,4.780980679012e-01,0.47809807,0.67768935
proposed,0,126,3042.79090409,4.794337982744e-01,0.4794338,0.67729286
proposed,0,127,3039.18369979,4.786103083269e-01,0.47861031,0.6776081
proposed,0,128,3034.80506753,4.788276528820e-01,0.47882765,0.67724919
proposed,0,129,3029.8092807,4.783503191468e-01,0.47835032,0.67746738
proposed,0,130,3026.33340981,4.780262214192e-01,0.47802622,0.67767484
proposed,0,131,3020.98324017,4.787296614092e-01,0.47872966,0.67780609
proposed,0,132,3015.67254008,4.771018758254e-01,0.47710188,0.67790158
proposed,0,133,3013.50682716,4.762687098650e-01,0.47626871,0.67795123
proposed,0,134,3009.97430333,4.758658485459e-01,0.47586585,0.67784668
proposed,0,135,3005.23671282,4.766203239882e-01,0.47662032,0.67781877
proposed,0,136,2996.2889531,4.750630457324e-01,0.47506305,0.67785414
proposed,0,137,2986.30014285,4.730522830496e-01,0.47305228,0.67785971
proposed,0,138,2989.8774567,4.729708973982e-01,0.4729709,0.67807573
proposed,0,139,2991.56453953,4.742095809624e-01,0.47420958,0.67774663
proposed,0,140,2996.00256663,4.749875854030e-01,0.47498759,0.67745173
proposed,0,141,2992.38979642,4.736463600906e-01,0.47364636,0.6776062
proposed,0,142,3005.28199318,4.786890072077e-01,0.47868901,0.6778408
proposed,0,143,3004.93959433,4.784869272772e-01,0.47848693,0.67821793
proposed,0,144,3029.3699276,4.775956545287e-01,0.47759565,0.67824394
proposed,0,145,3034.89514055,4.782623938562e-01,0.47826239,0.67805618
proposed,0,146,3036.70689661,4.797554056506e-01,0.47975541,0.67776521
proposed,0,147,3031.71351667,4.808717134406e-01,0.48087171,0.67780226
proposed,0,148,3025.84987286,4.800406988581e-01,0.4800407,0.6777318
proposed,0,149,3023.11933604,4.809023920635e-01,0.48090239,0.67784465
proposed,0,150,3020.50030318,4.814084360410e-01,0.48140844,0.6775852
proposed,0,151,3019.52629545,4.803665362671e-01,0.48036654,0.67748975
proposed,0,152,3027.87294356,4.815403486080e-01,0.48154035,0.67705626
proposed,0,153,3023.07726648,4.817877988703e-01,0.4817878,0.67707557
proposed,0,154,3023.05006023,4.807681660822e-01,0.48076817,0.67706856
proposed,0,155,3021.59122713,4.805288754151e-01,0.48052888,0.6772757
proposed,0,156,3014.79853495,4.800406183735e-01,0.48004062,0.67738842
proposed,0,157,3010.80603425,4.800569029156e-01,0.4800569,0.67737362
proposed,0,158,3011.04791289,4.797660197466e-01,0.47976602,0.67751883
proposed,0,159,3006.96852006,4.787834445454e-01,0.47878344,0.67756433
proposed,0,160,2999.59859524,4.781556830627e-01,0.47815568,0.67765748
proposed,0,161,3002.40133305,4.769522536695e-01,0.47695225,0.67777886
